check	performed	decision	reason
residual_norm_direction_modules	False	unavailable	no_eligible_outcome_branch
gain_buffering_rerouting	False	unavailable	no_eligible_outcome_branch
emergent_lost_genes	False	unavailable	no_eligible_outcome_branch
interaction_classes	False	unavailable	no_eligible_outcome_branch
pair_held_out	False	unavailable	no_eligible_outcome_branch
leave_one_target	False	unavailable	no_eligible_outcome_branch
guide_held_out	False	unavailable	no_eligible_outcome_branch
dataset_held_out	False	unavailable	no_eligible_outcome_branch
intervention_held_out	False	unavailable	no_eligible_outcome_branch
pair_bootstrap	False	unavailable	no_eligible_outcome_branch
matched_pair_permutation	False	unavailable	no_eligible_outcome_branch
sign_preserving_permutation	False	unavailable	no_eligible_outcome_branch
random_modules	False	unavailable	no_eligible_outcome_branch
degree_preserving_rewiring	False	unavailable	no_eligible_outcome_branch
NTC_response_controls	False	unavailable	no_eligible_outcome_branch
same_target_response_controls	False	unavailable	no_eligible_outcome_branch
edge_ablation	False	unavailable	no_eligible_outcome_branch
calibration_coverage	False	unavailable	no_eligible_outcome_branch
BH_correction	False	unavailable	no_eligible_outcome_branch
influence_diagnostics	False	unavailable	no_eligible_outcome_branch
