dataset	accession	observation_key	target_a	target_b	pair_id	pair_fold	pair_cells	single_a_cells	single_b_cells	control_cells	target_a_cd4	target_b_cd4	cell_gate_pass	exclusion_reason
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|ATP5B|GSE124703	ATP5A1	ATP5B	ATP5A1|ATP5B|GSE124703	2	2	587	245	10687	False	False	False	fewer_than_50_pair_cells
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|FECH|GSE124703	ATP5A1	FECH	ATP5A1|FECH|GSE124703	3	8	587	2303	10687	False	True	False	fewer_than_50_pair_cells
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|GSR|GSE124703	ATP5A1	GSR	ATP5A1|GSR|GSE124703	5	3	587	435	10687	False	False	False	fewer_than_50_pair_cells
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|HACD2|GSE124703	ATP5A1	HACD2	ATP5A1|HACD2|GSE124703	4	3	587	1144	10687	False	True	False	fewer_than_50_pair_cells
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|HMGCS1|GSE124703	ATP5A1	HMGCS1	ATP5A1|HMGCS1|GSE124703	4	15	587	4829	10687	False	False	False	fewer_than_50_pair_cells
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|KIF1A|GSE124703	ATP5A1	KIF1A	ATP5A1|KIF1A|GSE124703	2	4	587	1252	10687	False	False	False	fewer_than_50_pair_cells
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|MAP3K12|GSE124703	ATP5A1	MAP3K12	ATP5A1|MAP3K12|GSE124703	2	4	587	1055	10687	False	False	False	fewer_than_50_pair_cells
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|MAT2A|GSE124703	ATP5A1	MAT2A	ATP5A1|MAT2A|GSE124703	3	105	587	25789	10687	False	False	True	
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|MMAB|GSE124703	ATP5A1	MMAB	ATP5A1|MMAB|GSE124703	2	23	587	8893	10687	False	True	False	fewer_than_50_pair_cells
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|MVK|GSE124703	ATP5A1	MVK	ATP5A1|MVK|GSE124703	4	16	587	3749	10687	False	False	False	fewer_than_50_pair_cells
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|NDUFA1|GSE124703	ATP5A1	NDUFA1	ATP5A1|NDUFA1|GSE124703	2	3	587	596	10687	False	False	False	fewer_than_50_pair_cells
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|PGGT1B|GSE124703	ATP5A1	PGGT1B	ATP5A1|PGGT1B|GSE124703	5	3	587	762	10687	False	False	False	fewer_than_50_pair_cells
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|PMVK|GSE124703	ATP5A1	PMVK	ATP5A1|PMVK|GSE124703	1	20	587	4576	10687	False	True	False	fewer_than_50_pair_cells
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|PPCDC|GSE124703	ATP5A1	PPCDC	ATP5A1|PPCDC|GSE124703	5	3	587	856	10687	False	True	False	fewer_than_50_pair_cells
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|PPP1R8|GSE124703	ATP5A1	PPP1R8	ATP5A1|PPP1R8|GSE124703	4	1	587	727	10687	False	False	False	fewer_than_50_pair_cells
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|PPP2R1A|GSE124703	ATP5A1	PPP2R1A	ATP5A1|PPP2R1A|GSE124703	2	152	587	39004	10687	False	False	True	
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|RAB7A|GSE124703	ATP5A1	RAB7A	ATP5A1|RAB7A|GSE124703	5	8	587	3075	10687	False	True	False	fewer_than_50_pair_cells
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|RFK|GSE124703	ATP5A1	RFK	ATP5A1|RFK|GSE124703	3	5	587	2083	10687	False	True	False	fewer_than_50_pair_cells
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|SEPSECS|GSE124703	ATP5A1	SEPSECS	ATP5A1|SEPSECS|GSE124703	3	9	587	2834	10687	False	False	False	fewer_than_50_pair_cells
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|SQLE|GSE124703	ATP5A1	SQLE	ATP5A1|SQLE|GSE124703	4	4	587	599	10687	False	True	False	fewer_than_50_pair_cells
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|TARS2|GSE124703	ATP5A1	TARS2	ATP5A1|TARS2|GSE124703	5	2	587	488	10687	False	True	False	fewer_than_50_pair_cells
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|UBA1|GSE124703	ATP5A1	UBA1	ATP5A1|UBA1|GSE124703	2	42	587	11561	10687	False	False	False	fewer_than_50_pair_cells
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|UQCRQ|GSE124703	ATP5A1	UQCRQ	ATP5A1|UQCRQ|GSE124703	3	11	587	3206	10687	False	True	False	fewer_than_50_pair_cells
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5A1|UROD|GSE124703	ATP5A1	UROD	ATP5A1|UROD|GSE124703	2	31	587	8761	10687	False	False	False	fewer_than_50_pair_cells
TianKampmann2019_iPSC	GSE124703	TianKampmann2019_iPSC|ATP5B|FECH|GSE124703	ATP5B	FECH	ATP5B|FECH|GSE124703	2	4	245	2303	10687	False	True	False	fewer_than_50_pair_cells
