dataset	screen_source	accession	accession_or_doi	organism	modality	intervention	confirmatory_intervention	combined_design_flag	catalog_cells	catalog_conditions	processed_release_available	release_bytes	provider_checksum	provider_checksum_verified_on_full_release	license	publication_url	metadata_url	release_url	cell_eligible_pairs	eligible_targets	cd4_target_overlap	both_components_cd4_pairs	control_cells	guide_metadata	replicate_metadata	expressed_gene_overlap	selected_for_outcomes	decision	exclusion_reasons	full_eligibility_pass	pair_model_power_gate	no_outcome_data_accessed	metadata_complete_for_selection	selection_priority	screen_order
TianKampmann2019_iPSC	scPerturb_metadata	GSE124703	GSE124703	Homo sapiens	RNA	CRISPRi	True	y	275708.0	39161.0	True	350848489.0	md5:8279484264b513fd0419dacdc639ecef	False	CC-BY-4.0	https://doi.org/10.1016/j.neuron.2019.07.014	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://zenodo.org/api/records/13350497/files/TianKampmann2019_iPSC.h5ad/content	101.0	26.0	10.0	11.0	10687.0	assignment_metadata_retrieved	batch_column_without_biological_unit_validation	not_examined_after_earlier_gate_failure	False	underpowered	fewer_than_20_exact_CD4_targets;harmonized_multiperturbation_assignments_not_independently_QC_validated	False	False	True	False	1	1
TianKampmann2019_day7neuron	scPerturb_metadata	GSE124703	GSE124703	Homo sapiens	RNA	CRISPRi	True	y	182790.0	41357.0	True	268921535.0	md5:74074e99e8e7c5a6297b6a684b72d754	False	CC-BY-4.0	https://doi.org/10.1016/j.neuron.2019.07.014	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://zenodo.org/api/records/13350497/files/TianKampmann2019_day7neuron.h5ad/content	82.0	26.0	10.0	13.0	15580.0	assignment_metadata_retrieved	batch_column_without_biological_unit_validation	not_examined_after_earlier_gate_failure	False	underpowered	fewer_than_20_exact_CD4_targets;harmonized_multiperturbation_assignments_not_independently_QC_validated	False	False	True	False	1	2
Replogle2020_exp6	original_repository	GSE146194	GSE146194	Homo sapiens	RNA	CRISPRi	True				True				public_GEO_no_explicit_reuse_license		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146194	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146194	36.0	26.0	10.0	0.0	4563.0	assignment_metadata_retrieved	technical_gemgroups	not_examined_after_earlier_gate_failure	False	underpowered	fewer_than_40_cell_eligible_pairs;fewer_than_20_exact_CD4_targets	False	False	True	False	1	3
SunshineHein2023	scPerturb_metadata	GSE208240	GSE208240	Homo sapiens	RNA	CRISPRi	True	y	90380.0	24194.0	True	743672579.0	md5:739f42ccb24815c4ac1d8ca6d4aa85d8	False	CC-BY-4.0	https://doi.org/10.1038/s41467-023-41788-4	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://zenodo.org/api/records/13350497/files/SunshineHein2023.h5ad/content	19.0	31.0	15.0	6.0	3536.0	assignment_metadata_retrieved	not_established	not_examined_after_earlier_gate_failure	False	underpowered	fewer_than_40_cell_eligible_pairs;fewer_than_20_exact_CD4_targets;catalog_CRISPRi_conflicts_with_processing_CRISPR_cas9_label	False	False	True	False	1	4
Pacalin2024_CRISPRi	original_repository	GSE220974	GSE220974	Homo sapiens	RNA	CRISPRi	True				True				public_GEO_no_explicit_reuse_license		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220974	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220974	2.0	4.0	0.0	0.0	3944.0	assignment_metadata_retrieved	two_batch_labels_independence_unverified	not_examined_after_earlier_gate_failure	False	underpowered	fewer_than_40_cell_eligible_pairs;fewer_than_15_eligible_targets;fewer_than_20_exact_CD4_targets	False	False	True	False	1	5
GasperiniShendure2019_lowMOI	scPerturb_metadata	GSE120861	GSE120861	Homo sapiens	RNA	CRISPRi	True	y	41284.0	16531.0	True	322716827.0	md5:f26552257c5ce060ce523e5ffcb301a5	False	CC-BY-4.0	https://doi.org/10.1016/j.cell.2018.11.029	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://zenodo.org/api/records/13350497/files/GasperiniShendure2019_lowMOI.h5ad/content	0.0	0.0	0.0	0.0	369.0	assignment_metadata_retrieved	not_established	not_examined_after_earlier_gate_failure	False	underpowered	fewer_than_40_cell_eligible_pairs;fewer_than_15_eligible_targets;fewer_than_20_exact_CD4_targets;enhancer_coperturbations_cannot_be_treated_as_gene_only_pairs	False	False	True	False	1	6
YaoCleary2023	scPerturb_metadata	GSE221321	GSE221321	Homo sapiens	RNA	CRISPR-cas9, CRISPRi	True		210131.0	38788.0	True		not_available	False	not_established	https://doi.org/10.1101/2023.01.23.525200	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221321	0.0	0.0	0.0	0.0	476.0	assignment_metadata_retrieved	not_established	not_examined_after_earlier_gate_failure	False	underpowered	fewer_than_40_cell_eligible_pairs;fewer_than_15_eligible_targets;fewer_than_20_exact_CD4_targets;KO_and_KD_not_pooled_for_inference	False	False	True	False	1	7
GasperiniShendure2019_atscale	scPerturb_metadata	GSE120861	GSE120861	Homo sapiens	RNA	CRISPRi	True	y	207324.0	203495.0	True	1866293566.0	md5:874e029adb1a344bd5ff313179084ad5	False	CC-BY-4.0	https://doi.org/10.1016/j.cell.2018.11.029	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://zenodo.org/api/records/13350497/files/GasperiniShendure2019_atscale.h5ad/content						not_established	not_established	not_examined_after_earlier_gate_failure	False	unavailable	exact_gene_pair_and_control_metadata_not_established;enhancer_coperturbations_cannot_be_treated_as_gene_only_pairs	False		True	False	1	8
GasperiniShendure2019_highMOI	scPerturb_metadata	GSE120861	GSE120861	Homo sapiens	RNA	CRISPRi	True	y	47650.0	39087.0	True	418337592.0	md5:04e1af7562c1d0d2dd2f9d1cf01e3560	False	CC-BY-4.0	https://doi.org/10.1016/j.cell.2018.11.029	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://zenodo.org/api/records/13350497/files/GasperiniShendure2019_highMOI.h5ad/content						not_established	not_established	not_examined_after_earlier_gate_failure	False	unavailable	exact_gene_pair_and_control_metadata_not_established;enhancer_coperturbations_cannot_be_treated_as_gene_only_pairs	False		True	False	1	9
Cortical2025_double_knockdown	original_repository	GSE284197	GSE284197	Homo sapiens	RNA	CRISPRi	True				True				public_GEO_no_explicit_reuse_license		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE284197	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE284197		2.0				design_metadata_only	not_established	not_examined_after_earlier_gate_failure	False	underpowered	two_target_ARX_LMO1_double_knockdown_below_target_and_pair_gates	False		True	False	1	10
