model	fit_count	decision	reason
addition	0	unavailable	dataset_gate_failed_before_model_input_contract_evaluation
stronger_single	0	unavailable	dataset_gate_failed_before_model_input_contract_evaluation
mean_template	0	unavailable	dataset_gate_failed_before_model_input_contract_evaluation
signed_magnitude_cap	0	unavailable	dataset_gate_failed_before_model_input_contract_evaluation
tanh_saturation	0	unavailable	dataset_gate_failed_before_model_input_contract_evaluation
module_composition_30	0	unavailable	dataset_gate_failed_before_model_input_contract_evaluation
covariate_ridge	0	unavailable	dataset_gate_failed_before_model_input_contract_evaluation
shallow_nonlinear	0	unavailable	dataset_gate_failed_before_model_input_contract_evaluation
network_propagation	0	unavailable	dataset_gate_failed_before_model_input_contract_evaluation
graph_model	0	unavailable	dataset_gate_failed_before_model_input_contract_evaluation
CPA	0	unavailable	dataset_gate_failed_before_model_input_contract_evaluation
GEARS	0	unavailable	dataset_gate_failed_before_model_input_contract_evaluation
