symbol	ensembl	canonical_symbol
NegCtrl02093	Non-Targeting	NegCtrl02093
NegCtrl8	Non-Targeting	NegCtrl8
HMGCR	ENSG00000113161	HMGCR
HUS1_2	ENSG00000136273	HUS1
SQLE	ENSG00000104549	SQLE
RRM2B	ENSG00000048392	RRM2B
ATR	ENSG00000175054	ATR
RAD17	ENSG00000152942	RAD17
NegCtrl4	Non-Targeting	NegCtrl4
NegCtrl1	Non-Targeting	NegCtrl1
ATM	ENSG00000149311	ATM
HUS1	ENSG00000136273	HUS1
NegCtrl5	Non-Targeting	NegCtrl5
PMVK	ENSG00000163344	PMVK
RRM1	ENSG00000167325	RRM1
NegCtrl9	Non-Targeting	NegCtrl9
FDPS	ENSG00000160752	FDPS
IDI1	ENSG00000067064	IDI1
ETAA1	ENSG00000143971	ETAA1
MVD	ENSG00000167508	MVD
RAD9A	ENSG00000172613	RAD9A
ATRIP	ENSG00000164053	ATRIP
ATP5E	ENSG00000124172	ATP5E
CHEK1	ENSG00000149554	CHEK1
TOPBP1	ENSG00000163781	TOPBP1
NHEJ1	ENSG00000187736	NHEJ1
LIG4	ENSG00000174405	LIG4
PRKDC	ENSG00000253729	PRKDC
AHCYL1	ENSG00000168710	AHCYL1
CAD	ENSG00000084774	CAD
RPL15	ENSG00000174748	RPL15
MTOR	ENSG00000198793	MTOR
HSPA5	ENSG00000044574	HSPA5
POLR1D	ENSG00000186184	POLR1D
RAD1	ENSG00000113456	RAD1
HSPE1	ENSG00000115541	HSPE1
XRCC6	ENSG00000196419	XRCC6
XRCC5	ENSG00000079246	XRCC5
RPS18	ENSG00000231500	RPS18
SEC61A1	ENSG00000058262	SEC61A1
RRM2	ENSG00000171848	RRM2
HSPA9	ENSG00000113013	HSPA9
EIF2S1	ENSG00000134001	EIF2S1
DUT	ENSG00000128951	DUT
POLR2H	ENSG00000163882	POLR2H
GATA1	ENSG00000102145	GATA1
NegCtrl3	Non-Targeting	NegCtrl3
FDPS_2	ENSG00000160752	FDPS
SREBF2	ENSG00000198911	SREBF2
SREBF1	ENSG00000072310	SREBF1
