cluster,disease,culture_condition,odds_ratio,p_adj_fdr,intersecting_gene_count
59,autoimmune disease,Stim8hr,2.5486606624519657,0.0003376196063936,37
88,Crohn's disease,Stim48hr,3.955971094541887,0.0006502217200325,15
88,inflammatory bowel disease,Stim48hr,2.9916518972329347,0.0008715367485177,20
79,rheumatoid arthritis,Stim8hr,3.0477842816807383,0.0018402815779978,19
79,asthma,Stim8hr,3.0644729828272164,0.0018402815779978,17
59,inflammatory bowel disease,Stim8hr,2.893395395630753,0.0024011483605791,18
79,celiac disease,Stim8hr,5.23463135087713,0.0029353764612172,7
79,Hashimoto's thyroiditis,Stim8hr,4.203137997100115,0.0029353764612172,9
79,autoimmune disease,Stim8hr,2.1200334683348845,0.0029353764612172,33
94,atopic eczema,Stim48hr,4.563876736586396,0.0038258963213997,10
38,rheumatoid arthritis,Rest,2.9229352160098308,0.0044809298356239,18
46,inflammatory bowel disease,Stim8hr,2.893395395630753,0.0048022967211582,18
38,autoimmune disease,Stim8hr,2.22189572669999,0.0050495701120767,34
59,ulcerative colitis,Stim8hr,3.147809161646805,0.0061127916658898,11
59,psoriasis,Stim8hr,3.1207943205379407,0.0061127916658898,11
59,multiple sclerosis,Stim8hr,3.282172259816708,0.0061127916658898,10
59,Crohn's disease,Stim8hr,3.2899252628535565,0.0061127916658898,11
79,systemic lupus erythematosus,Stim8hr,3.042362249441938,0.0066594042447026,11
38,autoimmune disease,Rest,2.097504273428922,0.006833151570421,33
8,multiple sclerosis,Stim48hr,3.82024031152292,0.0077282042060038,11
88,asthma,Stim48hr,2.562212641518753,0.0095381631107485,16
88,ulcerative colitis,Stim48hr,2.9102617602563035,0.0095381631107485,12
26,ankylosing spondylitis,Stim48hr,3.3994424835474826,0.0115188085530485,12
59,ankylosing spondylitis,Stim8hr,2.9054233770485274,0.0115782755859703,10
35,ulcerative colitis,Stim48hr,3.214651941542658,0.0116575501675805,13
88,atopic eczema,Stim48hr,3.469619501640573,0.0142433280755253,8
46,ulcerative colitis,Stim8hr,3.147809161646805,0.015680060967879,11
8,ulcerative colitis,Stim48hr,2.9102617602563035,0.0190763262214971,12
38,multiple sclerosis,Rest,3.309029609007838,0.0191580490787611,9
38,rheumatoid arthritis,Stim8hr,2.440464642042791,0.0229662673620163,16
80,autoimmune disease,Stim48hr,1.9238899201539068,0.0239248276420849,32
80,Hashimoto's thyroiditis,Stim48hr,3.985340983757351,0.0239248276420849,8
46,ankylosing spondylitis,Stim8hr,2.9054233770485274,0.0252758754865612,10
46,autoimmune disease,Stim8hr,1.8334886579123972,0.0252758754865612,30
8,asthma,Stim48hr,2.361312508864616,0.0264637528114025,15
82,type 1 diabetes mellitus,Stim48hr,3.4346886780266748,0.0277212655952825,10
38,ankylosing spondylitis,Rest,2.93484972002508,0.0290595432608765,9
59,rheumatoid arthritis,Stim8hr,2.066551382412129,0.0299083142018516,14
69,ulcerative colitis,Rest,4.153726071330966,0.0303297432407603,7
69,ankylosing spondylitis,Rest,4.622681743532321,0.0303297432407603,6
8,ankylosing spondylitis,Stim48hr,2.719852455352967,0.0311369339733759,10
94,asthma,Stim48hr,2.361312508864616,0.03176991114824,15
94,rheumatoid arthritis,Stim48hr,2.247128215617535,0.03176991114824,16
59,systemic lupus erythematosus,Stim8hr,2.394670779628528,0.035006982510608,9
82,atopic eczema,Stim48hr,3.469619501640573,0.0356083201888133,8
38,Hashimoto's thyroiditis,Stim8hr,3.112309918413376,0.0404494539420003,7
38,ankylosing spondylitis,Stim8hr,2.563610289903947,0.0404494539420003,9
38,inflammatory bowel disease,Stim8hr,2.1056404514346467,0.0404494539420003,14
38,atopic eczema,Stim8hr,2.9819486986869155,0.0404494539420003,8
79,ulcerative colitis,Stim8hr,2.476372761425111,0.0418249549650333,9
8,celiac disease,Stim48hr,3.433481726355955,0.0421606075838838,6
8,atopic eczema,Stim48hr,2.9609181756306424,0.0421606075838838,7
38,psoriasis,Rest,2.5306536268882667,0.0442403725578823,9
38,ulcerative colitis,Rest,2.45251257862092,0.0442403725578823,10
46,Crohn's disease,Stim8hr,2.586351093750117,0.0448624713027775,9
46,rheumatoid arthritis,Stim8hr,2.066551382412129,0.0448624713027775,14
79,multiple sclerosis,Stim8hr,2.51902814153309,0.0460433307910344,8
88,autoimmune disease,Stim48hr,1.6591010514938052,0.046223759924605,29
88,multiple sclerosis,Stim48hr,2.6000343948578943,0.046223759924605,8
26,rheumatoid arthritis,Stim48hr,2.247128215617535,0.0476548667223601,16
35,inflammatory bowel disease,Stim48hr,2.2364438217858287,0.049597779052426,16
38,atopic eczema,Rest,2.7640888154731518,0.0496298924091878,7
