fold,model,rows,auroc,average_precision,brier
1,size_state,336,0.7565034965034965,0.08555194805194805,0.24452064183673466
1,transfer_augmented,336,0.6820979020979021,0.08534322820037106,0.2541584062508506
2,size_state,350,0.7844099520657384,0.09829059829059827,0.2688346960366105
2,transfer_augmented,350,0.6150422278018717,0.06988625409678041,0.24366696357265402
3,size_state,350,0.7827380952380952,0.11651205936920223,0.13879652544808285
3,transfer_augmented,350,0.5714285714285714,0.07142857142857142,0.1300538778451345
4,size_state,336,0.7164458036017669,0.05881519274376417,0.19837527806465896
4,transfer_augmented,336,0.7402310567448183,0.07910052910052909,0.21990263995496434
5,size_state,336,0.550882658359294,0.07976190476190476,0.2437491411881132
5,transfer_augmented,336,0.5159916926272067,0.06547619047619047,0.2585599944753585
