cluster,disease,gene_set,odds_ratio,ci_low,ci_high,p_value,p_adj_fdr,cluster_size,in_cluster_in_disease,in_cluster_not_disease,not_cluster_in_disease,not_cluster_not_disease,intersecting_genes,negative_control_disease,culture_condition,significant,intersecting_gene_count,regulators,median_transfer_residual,median_abs_transfer_residual,amplified_fraction,buffered_fraction,median_log_response
31,age-related macular degeneration,downstream_Stim48hr,7.986287428540741,2.5982230938028485,20.800199898723143,0.0002975631428528,0.0050585734284991,100,6.0,94.0,23.0,2883.0,"['OAS3', 'NUDC', 'OAS1', 'CD55', 'IFNAR2', 'VEGFA']",True,Stim48hr,False,6,3,4.817215463669391,4.817215463669391,1.0,0.0,7.160069207596127
59,chronic kidney disease,downstream_Stim8hr,3.4925751432955776,1.2004179934771528,8.365613667502029,0.0115484464890711,0.0245404487892762,100,6.0,94.0,57.0,3121.0,"['CELF1', 'DPP4', 'ASXL1', 'RASGRP1', 'PDE4D', 'CCND1']",True,Stim8hr,False,6,3,3.051114690952135,3.051114690952135,1.0,0.0,5.318119993844216
51,chronic kidney disease,downstream_Rest,4.388633173810078,1.4839903543492752,10.770749095846693,0.0044778727381005,0.0761238365477091,100,6.0,94.0,40.0,2753.0,"['SLC7A5', 'NIBAN1', 'RASGRP1', 'NHERF1', 'SETD7', 'VEGFA']",True,Rest,False,6,16,3.114180490400751,3.114180490400751,0.75,0.0,5.56059286574027
59,chronic kidney disease,downstream_Stim48hr,3.643109530255314,1.24535059708488,8.796922247053423,0.0098459550581627,0.0836906179943831,100,6.0,94.0,50.0,2856.0,"['CALCOCO2', 'DPP4', 'CDC123', 'SOS2', 'PSD4', 'GAB2']",True,Stim48hr,False,6,2,4.38253950462674,4.38253950462674,1.0,0.0,6.041709508886951
94,chronic kidney disease,downstream_Stim48hr,2.944593617765592,0.8967395777041152,7.5724170112277935,0.0368144070906904,0.1251689841083473,100,5.0,95.0,51.0,2855.0,"['DPP4', 'SOD2', 'PDE4D', 'PHTF2', 'GATA3']",True,Stim48hr,False,5,1,0.32614668572893635,0.32614668572893635,0.0,0.0,4.787491742782046
37,age-related macular degeneration,downstream_Rest,5.4927638037121564,1.344850163004222,16.723328067252655,0.0097219620397754,0.1652733546761819,100,4.0,96.0,21.0,2772.0,"['CASP6', 'CNN2', 'TNFRSF10A', 'RASGRP1']",True,Rest,False,4,1,4.201387475341758,4.201387475341758,1.0,0.0,5.5093883366279774
27,age-related macular degeneration,downstream_Rest,5.4927638037121564,1.344850163004222,16.723328067252655,0.0097219620397754,0.1652733546761819,100,4.0,96.0,21.0,2772.0,"['HSPH1', 'NUDC', 'SORL1', 'MAP3K1']",True,Rest,False,4,86,3.9388431324009856,3.9388431324009856,0.8488372093023255,0.0,5.806638729448466
8,chronic kidney disease,downstream_Stim48hr,2.28593834715394,0.588503130556059,6.404237792485142,0.1139327269553402,0.1663555926434118,100,4.0,96.0,52.0,2854.0,"['MOB3A', 'SEC61A1', 'MYH9', 'TET2']",True,Stim48hr,False,4,3,4.120603715890791,4.120603715890791,0.6666666666666666,0.0,6.139884552226255
59,coronary artery disease,downstream_Stim48hr,1.5529929287684618,0.7086515619368987,3.053346655208283,0.1373634243315296,0.1945981844696669,100,10.0,90.0,194.0,2712.0,"['CCNL1', 'CALCOCO2', 'CAPN2', 'PSMG1', 'CDC123', 'NPEPPS', 'SOS2', 'ODC1', 'DUSP6', 'NCALD']",True,Stim48hr,False,10,2,4.38253950462674,4.38253950462674,1.0,0.0,6.041709508886951
30,coronary artery disease,downstream_Rest,1.6195232356987717,0.767478547468452,3.1049712840123687,0.1032364420463158,0.2026479033896615,100,11.0,89.0,198.0,2595.0,"['MAD1L1', 'CAPN2', 'DOCK9', 'KCNK5', 'KLF2', 'MCUB', 'PLCG1', 'MRC2', 'PPP1R16B', 'ZEB2', 'SAMD3']",True,Rest,False,11,49,3.8718917246336155,3.8718917246336155,0.9183673469387755,0.0,5.3981627015177525
80,coronary artery disease,downstream_Stim48hr,1.7369827845308825,0.8228588208659385,3.3316476819404675,0.073356406785598,0.2078431525591944,100,11.0,89.0,193.0,2713.0,"['CTSH', 'TMCC2', 'DOCK9', 'DSTYK', 'SLC5A3', 'CSF2', 'ZFP36L2', 'OSM', 'PLCG1', 'TSPAN2', 'AFAP1L2']",True,Stim48hr,False,11,1,3.3364532196898584,3.3364532196898584,1.0,0.0,4.672828834461906
100,chronic kidney disease,downstream_Stim48hr,2.944593617765592,0.8967395777041152,7.5724170112277935,0.0368144070906904,0.2086149735139122,100,5.0,95.0,51.0,2855.0,"['SLC7A5', 'ETFB', 'NIBAN1', 'DSTYK', 'TMEM154']",True,Stim48hr,False,5,5,2.5429456305391476,2.5429456305391476,0.6,0.0,5.19295685089021
38,chronic kidney disease,downstream_Rest,1.9773045512753644,0.3857214999591298,6.3511386442605415,0.2112252649704356,0.2416643092638745,100,3.0,97.0,43.0,2750.0,"['MAML3', 'PAK1', 'MAP3K1']",True,Rest,False,3,1,3.1139254842307906,3.1139254842307906,1.0,0.0,4.812184355372417
38,age-related macular degeneration,downstream_Rest,2.456685368701544,0.2769424869009255,10.177189121983076,0.2132332140563599,0.2416643092638745,100,2.0,98.0,23.0,2770.0,"['FYB1', 'MAP3K1']",True,Rest,False,2,1,3.1139254842307906,3.1139254842307906,1.0,0.0,4.812184355372417
59,age-related macular degeneration,downstream_Stim48hr,2.175303197123102,0.2472574667230525,8.865619589936516,0.2508865975712567,0.284338143914091,100,2.0,98.0,27.0,2879.0,"['HSPH1', 'NUDC']",True,Stim48hr,False,2,2,4.38253950462674,4.38253950462674,1.0,0.0,6.041709508886951
10,coronary artery disease,downstream_Rest,1.4481380386913412,0.6610201983851856,2.845972587613541,0.1820826552987848,0.3387731087516972,100,10.0,90.0,199.0,2594.0,"['PHTF1', 'SETD1B', 'ARL4C', 'BCAP29', 'DYRK2', 'KLF2', 'MAP3K1', 'DNAJC5', 'SPPL2A', 'SAMD3']",True,Rest,False,10,13,5.313718363061243,5.313718363061243,1.0,0.0,7.48605261786314
88,coronary artery disease,downstream_Stim48hr,1.3748132585791464,0.5998906830130912,2.782429129663285,0.2351864908767911,0.3459276958571765,100,9.0,91.0,195.0,2711.0,"['CDKN1A', 'MCL1', 'OSM', 'HOPX', 'FADS2', 'ACSS2', 'KDM4B', 'CXCR4', 'PSMG1']",True,Stim48hr,False,9,1,3.678162871831066,3.678162871831066,1.0,0.0,5.389071729816501
59,coronary artery disease,downstream_Stim8hr,1.2384903870245123,0.5417577588386395,2.4982434677740266,0.3258204652173432,0.3461842442934271,100,9.0,91.0,235.0,2943.0,"['CAPN2', 'PAFAH1B1', 'ASXL1', 'RASGRP1', 'FOSL2', 'NPEPPS', 'CXCR4', 'NFS1', 'NCALD']",True,Stim8hr,False,9,3,3.051114690952135,3.051114690952135,1.0,0.0,5.318119993844216
79,chronic kidney disease,downstream_Stim8hr,1.6069271918125054,0.3168063302721522,5.068396765593238,0.3015453096006922,0.3943284817855206,100,3.0,97.0,60.0,3118.0,"['SH2B3', 'TET2', 'APOL2']",True,Stim8hr,False,3,3,4.142877643313533,4.142877643313533,1.0,0.0,6.340359303727752
79,coronary artery disease,downstream_Stim8hr,1.2384903870245123,0.5417577588386395,2.4982434677740266,0.3258204652173432,0.3956391363353453,100,9.0,91.0,235.0,2943.0,"['SH2B3', 'TRIB2', 'TNIP2', 'TET2', 'HOPX', 'LRBA', 'CXCL8', 'ZC3H12D', 'AEBP2']",True,Stim8hr,False,9,3,4.142877643313533,4.142877643313533,1.0,0.0,6.340359303727752
