target,culture_condition,molecular_support_fraction,molecular_any_fraction,evidence_response_edges
AHR,Rest,0.05091430620294012,0.6285406955898172,2789
AHR,Stim48hr,0.04832509610104338,0.6265788028555739,1821
AHR,Stim8hr,0.04617117117117117,0.6283783783783784,1776
AIP,Rest,0.0,0.7184466019417476,103
AIP,Stim48hr,0.0,0.6935483870967742,248
AIP,Stim8hr,0.0,0.6887417218543046,302
ARID3A,Stim48hr,0.0,0.7142857142857143,14
ARID3A,Stim8hr,0.0,0.8571428571428571,7
ARNT,Rest,0.05476498490728762,0.6399310047434239,2319
ARNT,Stim48hr,0.05227427019687712,0.6164290563475899,2946
ARNT,Stim8hr,0.05450416351249054,0.6241483724451173,2642
ASH1L,Rest,0.0,0.3333333333333333,9
ASH1L,Stim48hr,0.0,0.8571428571428571,7
ASH1L,Stim8hr,0.0,1.0,3
ATF1,Rest,0.0,0.0,2
ATF1,Stim48hr,0.0,0.5,6
ATF1,Stim8hr,0.0,0.0,1
ATF2,Rest,0.0,0.3333333333333333,3
ATF3,Stim48hr,0.0,0.6666666666666666,9
ATF4,Rest,0.058823529411764705,0.6588235294117647,85
ATF6,Rest,0.0,1.0,1
ATF6,Stim48hr,0.0,0.0,1
ATF6,Stim8hr,0.0,0.0,2
ATF7,Rest,0.0,0.5,2
ATF7,Stim48hr,0.0,0.5,2
ATF7,Stim8hr,0.0,1.0,1
ATM,Rest,0.0,0.6875,96
ATM,Stim48hr,0.0,0.5704225352112676,142
ATM,Stim8hr,0.0,0.6714285714285714,70
BACH1,Stim8hr,0.5,1.0,2
BACH2,Stim48hr,0.0,0.3333333333333333,3
BACH2,Stim8hr,0.0,0.9333333333333333,15
BCL6,Rest,0.0,0.4375,16
BCL6,Stim48hr,0.04477611940298507,0.5671641791044776,67
BCL6,Stim8hr,0.07142857142857142,0.5714285714285714,28
BIN1,Rest,0.0,1.0,1
BMAL1,Rest,0.0,0.75,4
BMAL1,Stim48hr,0.0,1.0,1
