culture_condition,metric,n_targets,statistic,estimate,ci_low,ci_high
Rest,correlation_all,4500,median,0.07099192096956311,0.06836173902970905,0.07322620436326936
Rest,correlation_signif,762,median,0.4233161329040267,0.3825176292364793,0.4603905129350116
Rest,frac_sign_agreement_signif_union,762,median,0.6326211568525273,0.6,0.6666666666666666
Rest,significant_gene_jaccard,762,median,0.0384279769096523,0.030303030303030304,0.045454545454545456
Rest,cis_absolute_difference,4500,median,0.07032694376473425,0.06744538477999279,0.07413237597901674
Rest,count_absolute_difference,4500,median,0.4054651081081645,0.4054651081081645,0.5108256237659905
Rest,count_sign_agreement,3141,mean,0.5670168736071315,0.5488697866921363,0.5851639605221267
Stim48hr,correlation_all,5068,median,0.0667635234398149,0.06454495737709269,0.0687786635280972
Stim48hr,correlation_signif,710,median,0.4593054238312128,0.4127534259838918,0.4991396694533134
Stim48hr,frac_sign_agreement_signif_union,710,median,0.6603657464392474,0.631578947368421,0.6918328584995251
Stim48hr,significant_gene_jaccard,710,median,0.041666666666666664,0.034482758620689655,0.05263157894736842
Stim48hr,cis_absolute_difference,5068,median,0.08668310586133265,0.08194179586688422,0.09125764738182117
Stim48hr,count_absolute_difference,5068,median,0.4054651081081645,0.4054651081081645,0.4054651081081645
Stim48hr,count_sign_agreement,3521,mean,0.5964214711729622,0.5796648679352456,0.6126171542175518
Stim8hr,correlation_all,4997,median,0.0771330297644768,0.07516380663442788,0.0787714222781336
Stim8hr,correlation_signif,882,median,0.45622578631372984,0.4161050365228857,0.5020870724931019
Stim8hr,frac_sign_agreement_signif_union,882,median,0.6360082450778307,0.6153846153846154,0.66125
Stim8hr,significant_gene_jaccard,882,median,0.04,0.03125,0.045454545454545456
Stim8hr,cis_absolute_difference,4997,median,0.07599395623921035,0.07296972980977201,0.08010851508342431
Stim8hr,count_absolute_difference,4997,median,0.4054651081081645,0.4054651081081645,0.5108256237659905
Stim8hr,count_sign_agreement,3517,mean,0.5780494739835087,0.5621197042934319,0.5948251350582883
