analysis,target,leave_one_target_coefficient,change
molecular_support_fraction:correlation_all,AHR,-0.003256644230688341,-0.005037477364632824
molecular_support_fraction:correlation_all,AIP,0.00048734295292264355,-0.0012934901810218394
molecular_support_fraction:correlation_all,ARNT,-0.0063873638520246315,-0.008168196985969114
molecular_support_fraction:correlation_all,ASH1L,0.0015213089911557624,-0.00025952414278872064
molecular_support_fraction:correlation_all,ATF1,0.00466383778891305,0.002883004654968567
molecular_support_fraction:correlation_all,ATF6,0.0005760792227743668,-0.0012047539111701162
molecular_support_fraction:correlation_all,ATM,0.002201890747278128,0.000421057613333645
molecular_support_fraction:correlation_all,BACH1,7.68647907253596e-05,-0.0017039683432191234
molecular_support_fraction:correlation_all,BACH2,0.001352757606860367,-0.0004280755270841159
molecular_support_fraction:correlation_all,BCL6,0.0011286930357952262,-0.0006521400981492568
molecular_support_fraction:correlation_all,BIN1,0.0015297028657812756,-0.00025113026816320737
molecular_support_fraction:correlation_all,BRD7,0.003456818035535658,0.0016759849015911751
molecular_support_fraction:correlation_all,BRPF1,0.004186216276305207,0.0024053831423607244
molecular_support_fraction:correlation_all,BTAF1,0.0027420423123500973,0.0009612091784056143
molecular_support_fraction:correlation_all,BTG2,0.002990179742280376,0.001209346608335893
molecular_support_fraction:correlation_all,CBX5,0.002234224567559705,0.0004533914336152219
molecular_support_fraction:correlation_all,CEBPB,0.0009513518096821959,-0.0008294813242622871
molecular_support_fraction:correlation_all,CHD4,0.0024045158239504264,0.0006236826900059434
molecular_support_fraction:correlation_all,CIITA,0.001933752575948946,0.00015291944200446304
molecular_support_fraction:correlation_all,CLOCK,0.009160348742308472,0.007379515608363989
molecular_support_fraction:correlation_all,CNBP,0.001207565879699576,-0.000573267254244907
molecular_support_fraction:correlation_all,CREB1,-0.0024627357443254595,-0.0042435688782699425
molecular_support_fraction:correlation_all,CREBBP,0.002932432363666828,0.001151599229722345
molecular_support_fraction:correlation_all,CREG1,0.0016514511429988159,-0.00012938199094566713
molecular_support_fraction:correlation_all,CREM,0.0014590172939292403,-0.00032181584001524273
molecular_support_fraction:correlation_all,CUX1,0.0003299985469357881,-0.001450834587008695
molecular_support_fraction:correlation_all,DDIT3,0.0013718143534131293,-0.00040901878053135367
molecular_support_fraction:correlation_all,DEK,-0.0013100993572050836,-0.0030909324911495666
molecular_support_fraction:correlation_all,DNMT3A,0.0010468778275708468,-0.0007339553063736362
molecular_support_fraction:correlation_all,DR1,0.0015121616218103703,-0.00026867151213411274
molecular_support_fraction:correlation_all,E2F3,0.0019375588178850121,0.00015672568394052913
molecular_support_fraction:correlation_all,E2F5,0.001628114526270933,-0.00015271860767354997
molecular_support_fraction:correlation_all,E2F7,0.0026188044601494053,0.0008379713262049223
molecular_support_fraction:correlation_all,EAF1,0.0018332056007893584,5.237246684487544e-05
molecular_support_fraction:correlation_all,EGR1,0.002272275502451955,0.0004914423685074719
molecular_support_fraction:correlation_all,EGR2,0.0024337131065371217,0.0006528799725926387
molecular_support_fraction:correlation_all,EGR3,0.0017684096130396228,-1.2423520904860166e-05
molecular_support_fraction:correlation_all,EHMT2,0.0013052023123670594,-0.0004756308215774236
molecular_support_fraction:correlation_all,EIF2AK2,0.003423622147814512,0.0016427890138700288
molecular_support_fraction:correlation_all,EIF4EBP1,0.0023525469772948315,0.0005717138433503485
molecular_support_fraction:correlation_all,ELF4,0.0030751025375104187,0.0012942694035659357
molecular_support_fraction:correlation_all,ELK1,0.0004262670395645575,-0.0013545660943799255
molecular_support_fraction:correlation_all,ELK3,0.0021582931962141234,0.00037746006226964043
molecular_support_fraction:correlation_all,ELK4,0.006572120565720955,0.004791287431776472
molecular_support_fraction:correlation_all,EP300,0.0012784918554552445,-0.0005023412784892385
molecular_support_fraction:correlation_all,EPAS1,0.001843215006031896,6.238187208741294e-05
molecular_support_fraction:correlation_all,ESRRA,0.0005838095492483666,-0.0011970235846961164
molecular_support_fraction:correlation_all,ETS2,0.004185442290557686,0.0024046091566132027
molecular_support_fraction:correlation_all,ETV3,0.0020344709445702077,0.00025363781062572466
molecular_support_fraction:correlation_all,ETV6,0.0011217392499417288,-0.0006590938840027542
molecular_support_fraction:correlation_all,FOS,-0.0016683796534061879,-0.003449212787350671
molecular_support_fraction:correlation_all,FOSL2,0.0027130201930060504,0.0009321870590615674
molecular_support_fraction:correlation_all,FOXK2,0.0020758493815237478,0.00029501624757926476
molecular_support_fraction:correlation_all,FOXO4,0.0006556926489304869,-0.0011251404850139961
molecular_support_fraction:correlation_all,FOXP3,0.0011627196048020674,-0.0006181135291424156
molecular_support_fraction:correlation_all,FUBP1,0.0017323590012664342,-4.847413267804884e-05
molecular_support_fraction:correlation_all,FUS,0.0020852698181508655,0.00030443668420638247
molecular_support_fraction:correlation_all,GATA3,-0.007726336906402438,-0.00950717004034692
molecular_support_fraction:correlation_all,GTF2A1,0.0025159612715195973,0.0007351281375751143
molecular_support_fraction:correlation_all,GTF2I,0.003207995847509998,0.0014271627135655149
molecular_support_fraction:correlation_all,HBP1,0.0025428137361534027,0.0007619806022089197
molecular_support_fraction:correlation_all,HDAC1,0.0024364939408984803,0.0006556608069539973
molecular_support_fraction:correlation_all,HDAC2,-0.001101386319167303,-0.002882219453111786
molecular_support_fraction:correlation_all,HDAC5,0.0010001765548806815,-0.0007806565790638015
molecular_support_fraction:correlation_all,HEXIM1,0.001510435906393678,-0.00027039722755080493
molecular_support_fraction:correlation_all,HIC1,0.0018124583203826695,3.162518643818647e-05
molecular_support_fraction:correlation_all,HIPK2,0.0018314018902619283,5.056875631744527e-05
molecular_support_fraction:correlation_all,HLTF,0.0016691637684546944,-0.00011166936548978861
molecular_support_fraction:correlation_all,HMG20B,0.001718144677758892,-6.268845618559102e-05
molecular_support_fraction:correlation_all,HMGB2,0.0009803168795724116,-0.0008005162543720714
molecular_support_fraction:correlation_all,HMGN1,0.0013212423121594288,-0.00045959082178505424
molecular_support_fraction:correlation_all,HNRNPD,0.00108475943658848,-0.000696073697356003
molecular_support_fraction:correlation_all,HSF2,0.003290386883886957,0.0015095537499424739
molecular_support_fraction:correlation_all,HSF4,0.0017827480237126558,1.9148897681727645e-06
molecular_support_fraction:correlation_all,HTATIP2,-0.000509051624556953,-0.002289884758501436
