target,culture_condition,guide_id,downstream_genes,correlation_signif,correlation_all,n_signif_union,guide_position,pair_id,guide_mean_expr,guide_std_expr,guide_n,ntc_mean_expr,ntc_std_expr,ntc_n,t_statistic,p_value,adj_p_value,signif_knockdown,perturbed_gene_id,rank,high_confidence_no_effect_guides,gc_fraction,library_flag,bidirectional_promoter,secondary_alignment,log1p_tss_distance,log1p_guide_cells,knockdown_fraction,standardized_difference,t_scaled,response
AACS,Rest,AACS-1,3,0.1485523471371665,0.0342291709568716,11,1,AACS|Rest,0.0078149135245217,0.0684902018245764,450.0,0.1950819898387227,0.3674613547459565,313989.0,-56.840897940763455,4.817587192404721e-217,1e-16,True,ENSG00000081760,6678.0,False,0.8,0.0,0.0,0.0,1.791759469228055,6.111467339502679,0.9599403638901652,0.708515041344439,2.6795056255097536,1.3862943611198906
AACS,Rest,AACS-2,9,0.1485523471371665,0.0342291709568716,11,2,AACS|Rest,0.0038165390817788,0.0372530487878555,274.0,0.1950819898387227,0.3674613547459565,313989.0,-81.59321254929844,7.574224763752095e-217,1e-16,True,ENSG00000081760,6678.0,False,0.75,0.0,0.0,0.0,5.123963979403259,5.616771097666572,0.980436230505266,0.7323512862836374,4.929226236681624,2.302585092994046
AAGAB,Rest,AAGAB-1,1,0.7809181882449211,0.007365559719415,3,1,AAGAB|Rest,0.0918389558510428,0.2789386055202404,529.0,0.5428978569319158,0.5131512975253912,313989.0,-37.086670539044526,7.194919681380547e-150,1e-16,True,ENSG00000103591,10410.0,False,0.6,0.0,1.0,0.0,4.343805421853684,6.272877006546167,0.8308356633233861,1.0921635085890504,1.6124639364801967,0.6931471805599453
AAGAB,Rest,AAGAB-2,3,0.7809181882449211,0.007365559719415,3,2,AAGAB|Rest,0.1583826180736897,0.3552282409253463,118.0,0.5428978569319158,0.5131512975253912,313989.0,-11.753760793464847,1.5089488130094893e-21,1e-16,True,ENSG00000103591,10410.0,False,0.6,0.0,1.0,0.0,4.454347296253507,4.77912349311153,0.70826442570844,0.8713015594857986,1.0820213851312197,1.3862943611198906
AAK1,Rest,AAK1-1,2,0.6102763330113088,0.0503221168321243,4,1,AAK1|Rest,0.0744206950136827,0.2260148771699035,218.0,0.7814104102864422,0.5677931712561383,313989.0,-46.08450296161614,1.1894392419038191e-114,1e-16,True,ENSG00000115977,11471.0,False,0.7,0.0,1.0,0.0,2.833213344056216,5.389071729816501,0.904761065332618,1.6360598265382615,3.1212363855369927,1.0986122886681098
AAK1,Rest,AAK1-2,3,0.6102763330113088,0.0503221168321243,4,2,AAK1|Rest,0.0988078258829971,0.2738572598994234,1026.0,0.7814104102864422,0.5677931712561383,313989.0,-79.28452677571663,0.0,1e-16,True,ENSG00000115977,11471.0,False,0.65,0.0,1.0,0.0,2.6390573296152584,6.934397209928558,0.8735519458375567,1.5313559897212148,2.475225428536837,1.3862943611198906
AAMDC,Rest,AAMDC-1,116,-0.1088093509506849,-0.0224611685460893,118,1,AAMDC|Rest,0.0950295889479482,0.2950148998648526,117.0,0.1067088797990646,0.2693755253563752,313989.0,-0.4281520258120317,0.6693338463857502,0.7930715431176736,False,ENSG00000087884,5160.0,True,0.65,0.0,1.0,0.0,2.70805020110221,4.770684624465665,0.10945003708321914,0.04134463458194733,0.03958266878869389,4.762173934797756
AAMDC,Rest,AAMDC-2,2,-0.1088093509506849,-0.0224611685460893,118,2,AAMDC|Rest,0.0040083300883245,0.0468588968766194,259.0,0.1067088797990646,0.2693755253563752,313989.0,-34.80090292142723,3.1670882976487328e-102,1e-16,True,ENSG00000087884,5160.0,False,0.65,0.0,1.0,0.0,0.0,5.560681631015528,0.9624367709990744,0.5311977513961377,2.1624228904917717,1.0986122886681098
AARSD1,Rest,AARSD1-1,0,-1.0,0.0862597983092571,2,1,AARSD1|Rest,0.130220205589915,0.2997987793374416,209.0,0.1533678021393352,0.3184329866313403,313989.0,-1.1157995516563155,0.2657934257768395,0.3411446815286907,False,,,True,0.7,1.0,1.0,0.0,3.5553480614894135,5.3471075307174685,0.15092865794862548,0.07484924044564302,0.07718146886559547,0.0
AARSD1,Rest,AARSD1-2,2,-1.0,0.0862597983092571,2,2,AARSD1|Rest,0.1570495121260554,0.3142206267974751,562.0,0.1533678021393352,0.3184329866313403,313989.0,0.2775135882622452,0.7814876330491698,0.907773085256066,False,,,True,0.7,1.0,1.0,0.0,3.5553480614894135,6.333279628139691,-0.02400575567598821,-0.011638686011426994,-0.011706204188164267,1.0986122886681098
