culture_condition,fold,model,rows,pairs,r2,rmse,mae,calibration_slope,calibration_intercept
Rest,1,null,1800,900,-0.361526249538596,1.3101241078094454,0.831105591590135,0.3182440727123148,0.79188441831312
Rest,1,linear,1800,900,-0.3284344128858723,1.2941049177311024,0.812459258466619,0.3338117743556677,0.7738019640697593
Rest,1,spline,1800,900,-0.3212591756107377,1.290605278560418,0.8078619399255824,0.33764134931395146,0.76935377283761
Rest,1,isotonic,1800,900,-0.34390753167671595,1.301619729322848,0.8220639079465739,0.32572543276681515,0.783194545269377
Rest,1,breakpoint,1800,900,-0.32806531054552024,1.2939251232554594,0.8122471998550443,0.3340380943878525,0.7735390850835046
Rest,1,hill,1800,900,-0.3236345940792802,1.2917649113496443,0.8094979344961061,0.3363658129031339,0.7708353549820239
Rest,2,null,1800,900,-0.13431768348972462,1.2455971556292826,0.7839412249651732,0.43342543827220437,0.6749085808313745
Rest,2,linear,1800,900,-0.10175515667656154,1.227588474977793,0.7679469522636696,0.4491971077535833,0.6561212299934587
Rest,2,spline,1800,900,-0.08919403158549111,1.220570538533221,0.7636499596775084,0.4553829382540684,0.6487526145165926
Rest,2,isotonic,1800,900,-0.1205946137623295,1.2380395589439235,0.7773052096700186,0.43987572818583565,0.6672249389850419
Rest,2,breakpoint,1800,900,-0.10310715471450171,1.2283414500581262,0.766495122937235,0.44857464637015004,0.6568627114458442
Rest,2,hill,1800,900,-0.0951303597050317,1.2238921971034897,0.7647479695693248,0.4524699449384187,0.652222597670515
Rest,3,null,1800,900,-0.3098665530107403,1.2861163481992763,0.7946641872275351,0.34668591851230596,0.7578706238905106
Rest,3,linear,1800,900,-0.27954512204576387,1.2711433655637092,0.7820647889578889,0.36118387588353157,0.741052409941948
Rest,3,spline,1800,900,-0.2737915460577396,1.2682822472163722,0.7793427017986442,0.3641162432380056,0.7376507458122683
Rest,3,isotonic,1800,900,-0.2940429861020253,1.2783244157163467,0.7868392240124189,0.35350844686824795,0.7499562164590123
Rest,3,breakpoint,1800,900,-0.27838217119275477,1.2705655769097255,0.7807311945065067,0.361719618837326,0.7404309265572444
Rest,3,hill,1800,900,-0.27424665103812784,1.2685087952815008,0.7788861339550656,0.3636500049750095,0.7381916009587753
Rest,4,null,1800,900,-0.36896914003061054,1.3182425375714353,0.8039123380071019,0.3157948355190267,0.7666237996864567
Rest,4,linear,1800,900,-0.3697301845615435,1.318608908825279,0.7979565426813676,0.31780544012007783,0.764370999767745
Rest,4,spline,1800,900,-0.3696144466960334,1.3185531985086651,0.7954680744309776,0.31853446400928787,0.7635541584268413
Rest,4,isotonic,1800,900,-0.3609802543282128,1.314390479116061,0.7982196022141483,0.31925203043132633,0.7627501547075649
Rest,4,breakpoint,1800,900,-0.36901504005821795,1.3182646369964408,0.7975334282656534,0.31817407374871004,0.7639579609195394
Rest,4,hill,1800,900,-0.36842515523020913,1.317980597716314,0.7958469447341131,0.31878553557230715,0.763272843047146
Rest,5,null,1800,900,-0.32433065506006775,1.1822400764960177,0.745564565533542,0.33789903891751216,0.7415289156723611
Rest,5,linear,1800,900,-0.3043937970617989,1.173307437777397,0.7403542621438111,0.3483982459943281,0.7297701868731109
Rest,5,spline,1800,900,-0.29523973946888127,1.1691831333764793,0.7366400080413774,0.35286704210669506,0.7247652982981934
Rest,5,isotonic,1800,900,-0.309178866543107,1.1754575622593604,0.7401460859011356,0.34448394880736183,0.7341540568858137
Rest,5,breakpoint,1800,900,-0.3026748929056535,1.1725341023400342,0.7398784728005866,0.3491134268137948,0.7289692104529877
Rest,5,hill,1800,900,-0.30065542324088046,1.1716248902708266,0.7397543676619418,0.35044755777941655,0.727475032455292
Stim48hr,1,null,2028,1014,-0.1589099905367488,1.0391659166739768,0.6879231929732808,0.4210750546410523,0.6226307997328339
Stim48hr,1,linear,2028,1014,-0.07524780966383937,1.0009544711984668,0.6725398986776521,0.46276758711266114,0.5777906955988005
Stim48hr,1,spline,2028,1014,-0.07546256762866466,1.00105442593015,0.6695152624008792,0.46266243537636675,0.5779037857501008
Stim48hr,1,isotonic,2028,1014,-0.12441627189623672,1.0235842660040397,0.6785614196610453,0.4374106925586789,0.6050619052114702
Stim48hr,1,breakpoint,2028,1014,-0.07546010613912202,1.001053280336391,0.673072725416857,0.46266650791077196,0.5778994057603051
Stim48hr,1,hill,2028,1014,-0.07448084503658059,1.0005974215896976,0.6698531821760054,0.46319032322606246,0.5773360450841298
Stim48hr,2,null,2028,1014,-0.2385875598225602,1.1052589767509402,0.7183927743973333,0.3809573180312034,0.6756045658482371
Stim48hr,2,linear,2028,1014,-0.13777998539045422,1.0593265055043812,0.6932664293173844,0.4302696072754702,0.6217866163978066
Stim48hr,2,spline,2028,1014,-0.1392912970181861,1.060029823015801,0.6904397487403878,0.42969935531088177,0.6224089722420503
Stim48hr,2,isotonic,2028,1014,-0.19747261491542134,1.0867596097441132,0.7043170498294685,0.3997182638421035,0.6551294338118419
Stim48hr,2,breakpoint,2028,1014,-0.13787683557410046,1.059371590575623,0.6934129299638566,0.43022022613892646,0.6218405094851293
Stim48hr,2,hill,2028,1014,-0.13504264465256388,1.0580514418592843,0.6902162631647574,0.431727686240469,0.6201953128660572
Stim48hr,3,null,2028,1014,-0.2635096653095468,1.101473170030006,0.7159467863734768,0.3680431024402541,0.6820846390784984
Stim48hr,3,linear,2028,1014,-0.2161944281312851,1.0806527013947165,0.7068188211621458,0.39276839899963173,0.6553980959852375
Stim48hr,3,spline,2028,1014,-0.2139685367242239,1.0796633377211484,0.7031965082154364,0.39388880538447424,0.6541888173341496
Stim48hr,3,isotonic,2028,1014,-0.2401074858929666,1.0912249903827758,0.7090122889519969,0.3786927686079083,0.670590225879877
Stim48hr,3,breakpoint,2028,1014,-0.2166277338895668,1.0808451917266553,0.7075183842580055,0.3925901873632447,0.655590443628176
Stim48hr,3,hill,2028,1014,-0.21325075373755165,1.079344104339562,0.7036277550184807,0.39441158535695636,0.6536245696928553
