culture_condition,model,delta_r2_vs_null,ci_low,ci_high,paired_error_p,q_value,supported
Rest,null,0.0,0.0,0.0,1.0,1.0,False
Rest,linear,0.023251978135982343,0.010263175030749788,0.03601860669280748,2.6783004754621177e-05,4.8209408558318116e-05,True
Rest,spline,0.030213712951275618,0.01644806043627543,0.04410809242847968,0.0007742473230977738,0.0009290967877173286,True
Rest,isotonic,0.01400309250359677,0.009975089905430006,0.017955868335585604,8.738778308435723e-17,5.243266985061434e-16,True
Rest,breakpoint,0.023703210846496514,0.009398146102844795,0.03694023327510374,0.0002715529907051075,0.00034913955947799534,True
Rest,hill,0.027658146434780484,0.013957912312455589,0.041756238689337435,0.00016660522590258723,0.00023068415894204384,True
Stim48hr,null,0.0,0.0,0.0,1.0,1.0,False
Stim48hr,linear,0.0713301449243462,0.05051293035407829,0.0908876670102672,2.9730107274313674e-05,4.864926644887692e-05,True
Stim48hr,spline,0.07274156455699998,0.052846952916924,0.09293131131308464,5.240395293953247e-07,1.1790889411394806e-06,True
Stim48hr,isotonic,0.03126538706115434,0.02578254842217958,0.03745896554277117,1.8863333971048537e-25,3.395400114788737e-24,True
Stim48hr,breakpoint,0.07108656522704249,0.051472862077526924,0.09162216633947291,4.006382655821859e-05,6.009573983732788e-05,True
Stim48hr,hill,0.07460862532942358,0.05325772609849387,0.09535288155933763,6.863198053654275e-07,1.372639610730855e-06,True
Stim8hr,null,0.0,0.0,0.0,1.0,1.0,False
Stim8hr,linear,0.0441437138459706,0.02964375463171439,0.0601258845181537,3.694724986664914e-08,9.500721394281209e-08,True
Stim8hr,spline,0.04620235263518646,0.030553098530802993,0.062328818561281724,1.5031161893020874e-10,6.764022851859394e-10,True
Stim8hr,isotonic,0.02073226030293185,0.016143842360046623,0.025621725936649176,3.255888883805895e-22,2.9302999954253055e-21,True
Stim8hr,breakpoint,0.04387090729310272,0.0298577299313483,0.059888918674785456,1.6578178849348555e-08,4.973453654804567e-08,True
Stim8hr,hill,0.04724615987212544,0.030711222126699796,0.06290201416861528,3.6465739578336975e-09,1.3127666248201311e-08,True
