culture_condition,model,rows,pairs,r2,rmse,mae,calibration_slope,calibration_intercept
Rest,breakpoint,9000,4500,-0.27176531108705904,1.2577805613107722,0.7793770836730053,0.3645300278687102,0.7311981847161672
Rest,hill,9000,4500,-0.26781037549877507,1.255823315557588,0.7777466700833101,0.36653787377348535,0.728887873694173
Rest,isotonic,9000,4500,-0.2814654294299588,1.2625681758505363,0.7849148059488591,0.35889561880548193,0.7376813701689169
Rest,linear,9000,4500,-0.2722165437975732,1.2580036769253033,0.7801563609026713,0.3642955679948248,0.731467964000307
Rest,null,9000,4500,-0.29546852193355555,1.2694477302683072,0.7918375814646974,0.352758128785922,0.744743421497581
Rest,spline,9000,4500,-0.26525480898227993,1.2545569751794436,0.776592536774818,0.3678450008114109,0.7273838389494327
Stim48hr,breakpoint,10136,5068,-0.1547495747779859,1.095083314570666,0.7054881661567588,0.4229016943403461,0.6355826544786572
Stim48hr,hill,10136,5068,-0.1512275146756048,1.093412002099756,0.7017538590366565,0.42462658993760277,0.6336829543553827
Stim48hr,isotonic,10136,5068,-0.19457075294387405,1.1138050819129786,0.712242836319933,0.40176284393983575,0.6588637601731652
Stim48hr,linear,10136,5068,-0.1545059950806822,1.0949678115490804,0.7052950153039165,0.4230123327476332,0.6354608037438662
Stim48hr,null,10136,5068,-0.22583614000502839,1.1282866948770716,0.7224973790482564,0.3874088355431526,0.6746724337902954
Stim48hr,spline,10136,5068,-0.1530945754480284,1.0942982906869663,0.7017482686263269,0.42368410543137325,0.6347209522119012
Stim8hr,breakpoint,9994,4997,-0.15494854259059854,1.2624737743276155,0.7789582112225389,0.4227513741167856,0.6836647146812743
Stim8hr,hill,9994,4997,-0.15157329001157582,1.260627680973357,0.7765434500922765,0.424408254230258,0.6817023878445408
Stim8hr,isotonic,9994,4997,-0.1780871895807694,1.2750574829914854,0.789156533410833,0.41035455095797185,0.6983468987312706
Stim8hr,linear,9994,4997,-0.15467573603773066,1.2623246631567657,0.7794539100199246,0.42285680813365795,0.6835398438477542
Stim8hr,null,9994,4997,-0.19881944988370126,1.2862279356183617,0.800133006866002,0.4007546894060897,0.7097164998261281
Stim8hr,spline,9994,4997,-0.1526170972485148,1.2611988796390297,0.7761299713613572,0.42392886339741065,0.6822701546304004
