culture_condition,fold,model,knots,breakpoint,hill_exponent,hill_half
Rest,1,null,,,,
Rest,1,linear,,,,
Rest,1,spline,5.0,,,
Rest,1,isotonic,,,,
Rest,1,breakpoint,,0.8785329983461058,,
Rest,1,hill,,,2.0,0.8785329983461058
Rest,2,null,,,,
Rest,2,linear,,,,
Rest,2,spline,5.0,,,
Rest,2,isotonic,,,,
Rest,2,breakpoint,,0.8787157512698491,,
Rest,2,hill,,,2.0,0.8787157512698491
Rest,3,null,,,,
Rest,3,linear,,,,
Rest,3,spline,5.0,,,
Rest,3,isotonic,,,,
Rest,3,breakpoint,,0.8784670289446868,,
Rest,3,hill,,,2.0,0.8784670289446868
Rest,4,null,,,,
Rest,4,linear,,,,
Rest,4,spline,5.0,,,
Rest,4,isotonic,,,,
Rest,4,breakpoint,,0.8792811151581567,,
Rest,4,hill,,,2.0,0.7290652560805038
Rest,5,null,,,,
Rest,5,linear,,,,
Rest,5,spline,5.0,,,
Rest,5,isotonic,,,,
Rest,5,breakpoint,,0.878296680957993,,
Rest,5,hill,,,2.0,0.925882504504771
Stim48hr,1,null,,,,
Stim48hr,1,linear,,,,
Stim48hr,1,spline,5.0,,,
Stim48hr,1,isotonic,,,,
Stim48hr,1,breakpoint,,0.8498385904018753,,
Stim48hr,1,hill,,,2.0,0.6610080567929901
Stim48hr,2,null,,,,
Stim48hr,2,linear,,,,
Stim48hr,2,spline,5.0,,,
Stim48hr,2,isotonic,,,,
Stim48hr,2,breakpoint,,0.850714635166141,,
Stim48hr,2,hill,,,2.0,0.6679522708339894
Stim48hr,3,null,,,,
Stim48hr,3,linear,,,,
Stim48hr,3,spline,5.0,,,
Stim48hr,3,isotonic,,,,
Stim48hr,3,breakpoint,,0.8505994726386483,,
Stim48hr,3,hill,,,2.0,0.6603457662689178
Stim48hr,4,null,,,,
Stim48hr,4,linear,,,,
Stim48hr,4,spline,5.0,,,
Stim48hr,4,isotonic,,,,
Stim48hr,4,breakpoint,,0.8478174263438962,,
Stim48hr,4,hill,,,2.0,0.6581304874615924
Stim48hr,5,null,,,,
Stim48hr,5,linear,,,,
Stim48hr,5,spline,5.0,,,
Stim48hr,5,isotonic,,,,
Stim48hr,5,breakpoint,,0.8493622553702234,,
Stim48hr,5,hill,,,2.0,0.6615140380017542
Stim8hr,1,null,,,,
Stim8hr,1,linear,,,,
Stim8hr,1,spline,5.0,,,
Stim8hr,1,isotonic,,,,
Stim8hr,1,breakpoint,,0.8799199858503229,,
Stim8hr,1,hill,,,2.0,0.7163017922071149
Stim8hr,2,null,,,,
Stim8hr,2,linear,,,,
Stim8hr,2,spline,5.0,,,
Stim8hr,2,isotonic,,,,
Stim8hr,2,breakpoint,,0.8786888261293775,,
Stim8hr,2,hill,,,2.0,0.7181129068170502
Stim8hr,3,null,,,,
Stim8hr,3,linear,,,,
Stim8hr,3,spline,5.0,,,
Stim8hr,3,isotonic,,,,
Stim8hr,3,breakpoint,,0.8795398440214355,,
Stim8hr,3,hill,,,2.0,0.720974223434945
Stim8hr,4,null,,,,
Stim8hr,4,linear,,,,
Stim8hr,4,spline,5.0,,,
Stim8hr,4,isotonic,,,,
Stim8hr,4,breakpoint,,0.8784282446492963,,
Stim8hr,4,hill,,,2.0,0.7191483167330274
Stim8hr,5,null,,,,
Stim8hr,5,linear,,,,
Stim8hr,5,spline,5.0,,,
Stim8hr,5,isotonic,,,,
Stim8hr,5,breakpoint,,0.8782935633627391,,
Stim8hr,5,hill,,,2.0,0.7152951050927848
