culture_condition,model,mean_r2,se_r2,best_model,within_one_se
Rest,breakpoint,-0.2762489138833296,0.0458101762988649,spline,True
Rest,hill,-0.2724184366587058,0.046942580244798957,spline,True
Rest,isotonic,-0.2857408504824781,0.04297433899884015,spline,True
Rest,linear,-0.276771734646308,0.04621243247629429,spline,True
Rest,spline,-0.2698197878837766,0.047902294922627923,spline,True
Stim48hr,breakpoint,-0.15602035176538717,0.039562834783689126,hill,True
Stim48hr,hill,-0.1526109537790496,0.03913482030795937,hill,True
Stim48hr,isotonic,-0.19668369279754408,0.04315540920834124,hill,False
Stim48hr,linear,-0.15577390177026668,0.03951892983742564,hill,True
Stim48hr,spline,-0.15449892560869732,0.03937412050867149,hill,True
Stim8hr,breakpoint,-0.16632739005250727,0.07430156785019093,hill,True
Stim8hr,hill,-0.16303750528116193,0.07443040400351499,hill,True
Stim8hr,isotonic,-0.18807646088882718,0.06920809500166608,hill,True
Stim8hr,linear,-0.1660249606606984,0.07413995560594126,hill,True
Stim8hr,spline,-0.16422125553163208,0.07525299952100133,hill,True
