culture_condition,model,delta_r2_vs_linear,ci_low,ci_high,paired_error_p,q_value,supported
Rest,spline,0.0069617348152932745,0.000631214786459905,0.013644429839070991,0.06537916677865423,0.15691000026877014,False
Rest,isotonic,-0.009248885632385573,-0.018160121547901607,0.00010201139645986579,0.9984599889424348,0.9998661318282972,False
Rest,breakpoint,0.00045123271051417113,-0.0012801026132294446,0.0021449570219506386,0.0968882924637231,0.1665918628618295,False
Rest,hill,0.004406168298798141,0.0017028704037997833,0.007303111637033164,0.23483732378790234,0.3522559856818535,False
Stim48hr,spline,0.0014114196326537876,-0.0034052510043548314,0.0059354076230854575,0.007075714438602533,0.028302857754410132,False
Stim48hr,isotonic,-0.04006475786319186,-0.05507187760493037,-0.025476231543055304,0.9787537073305378,0.9998661318282972,False
Stim48hr,breakpoint,-0.00024357969730370854,-0.0005609283326272918,6.194849103725027e-05,0.9667601410657134,0.9998661318282972,False
Stim48hr,hill,0.0032784804050773886,-0.0009051366336707556,0.0074138721724608435,0.0018015923707332606,0.021619108448799128,False
Stim8hr,spline,0.002058638789215861,-0.0013466662408561925,0.005709185283568441,0.038545146523621385,0.11563543957086415,False
Stim8hr,isotonic,-0.02341145354303875,-0.0345741258394814,-0.01234000072870613,0.9998661318282973,0.9998661318282972,False
Stim8hr,breakpoint,-0.0002728065528678769,-0.0013993712545402603,0.0008184384640909591,0.09717858666940055,0.1665918628618295,False
Stim8hr,hill,0.003102446026154837,0.0003216219572635793,0.005890105611972484,0.005778135057469595,0.028302857754410132,True
