culture_condition,model,dose,relative_log1p_downstream,knots,breakpoint,hill_exponent,hill_half
Rest,null,-0.0683184194214374,0.0,,,,
Rest,null,-0.05934095371201356,0.0,,,,
Rest,null,-0.05036348800258972,0.0,,,,
Rest,null,-0.04138602229316587,0.0,,,,
Rest,null,-0.032408556583742025,0.0,,,,
Rest,null,-0.023431090874318182,0.0,,,,
Rest,null,-0.014453625164894332,0.0,,,,
Rest,null,-0.005476159455470489,0.0,,,,
Rest,null,0.003501306253953354,0.0,,,,
Rest,null,0.012478771963377197,0.0,,,,
Rest,null,0.02145623767280104,0.0,,,,
Rest,null,0.030433703382224883,0.0,,,,
Rest,null,0.03941116909164874,0.0,,,,
Rest,null,0.04838863480107258,0.0,,,,
Rest,null,0.057366100510496426,0.0,,,,
Rest,null,0.06634356621992027,0.0,,,,
Rest,null,0.07532103192934411,0.0,,,,
Rest,null,0.08429849763876796,0.0,,,,
Rest,null,0.0932759633481918,0.0,,,,
Rest,null,0.10225342905761564,0.0,,,,
Rest,null,0.11123089476703948,0.0,,,,
Rest,null,0.12020836047646333,0.0,,,,
Rest,null,0.12918582618588717,0.0,,,,
Rest,null,0.138163291895311,0.0,,,,
Rest,null,0.14714075760473488,0.0,,,,
Rest,null,0.15611822331415873,0.0,,,,
Rest,null,0.16509568902358257,0.0,,,,
Rest,null,0.1740731547330064,0.0,,,,
Rest,null,0.18305062044243026,0.0,,,,
Rest,null,0.19202808615185407,0.0,,,,
Rest,null,0.20100555186127794,0.0,,,,
Rest,null,0.20998301757070176,0.0,,,,
Rest,null,0.21896048328012563,0.0,,,,
Rest,null,0.2279379489895495,0.0,,,,
Rest,null,0.23691541469897331,0.0,,,,
Rest,null,0.24589288040839719,0.0,,,,
Rest,null,0.254870346117821,0.0,,,,
Rest,null,0.26384781182724487,0.0,,,,
Rest,null,0.2728252775366687,0.0,,,,
Rest,null,0.28180274324609256,0.0,,,,
Rest,null,0.2907802089555164,0.0,,,,
Rest,null,0.29975767466494024,0.0,,,,
Rest,null,0.30873514037436406,0.0,,,,
Rest,null,0.31771260608378793,0.0,,,,
Rest,null,0.32669007179321174,0.0,,,,
Rest,null,0.3356675375026356,0.0,,,,
Rest,null,0.34464500321205943,0.0,,,,
Rest,null,0.3536224689214833,0.0,,,,
Rest,null,0.3625999346309072,0.0,,,,
Rest,null,0.371577400340331,0.0,,,,
Rest,null,0.38055486604975486,0.0,,,,
Rest,null,0.3895323317591787,0.0,,,,
Rest,null,0.39850979746860254,0.0,,,,
Rest,null,0.40748726317802636,0.0,,,,
Rest,null,0.41646472888745023,0.0,,,,
Rest,null,0.42544219459687405,0.0,,,,
Rest,null,0.4344196603062979,0.0,,,,
Rest,null,0.44339712601572173,0.0,,,,
Rest,null,0.45237459172514555,0.0,,,,
Rest,null,0.4613520574345695,0.0,,,,
