record_id	record_type	candidate_id	disease	accession	provider	role_id	official_metadata_url	data_url_or_manifest	files	file_count	format	genome_build	ancestry_or_state	terms	terms_url	file_size_bytes	size_scope	provider_checksum	checksum_algorithm	checksum_state	final_sha256_state	complete_statistics_gate	required_variant_qc_metadata_gate	ancestry_match_gate	immune_t_cell_eqtl_gate	state_chromatin_gate	negative_control_gate	independence_gate	novelty_gate	results_gate	role_lock_state	outcome_opening_order	outcome_unopened	opened_in_audit	causal_gate_state	decision	blocker	metadata_retrieval_date	hash_basis	provisional_metadata_sha256
G01	candidate_gwas	IMMUNE002	asthma	GCST90475259	EMBL-EBI GWAS Catalog	gwas_asthma	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90475259	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90475001-GCST90476000/GCST90475259/GCST90475259.tsv.gz	GCST90475259.tsv.gz	1	GWAS-SSF v1.0 gzip TSV	GRCh38	European, United States; 26657 cases and 289011 controls	EMBL-EBI terms of use	https://www.ebi.ac.uk/about/terms-of-use	581977346	provider data file	c80a48ba8c999d70546beb54fa68e571	MD5	listed_not_verified	unavailable_outcome_unopened	pass_metadata_only	post_opening_schema_QC_pending	pass	pass_metadata_available	pass_state_relevant_metadata_available	pending_protocol_lock	pass_independent_GWAS	pass	capable_after_protocol_and_resource_lock	not_locked_pending_protocol_and_resource_capacity	not_assigned	true	false	not_evaluated_pending_outcome_opening	STOP_PENDING_PROTOCOL_AND_RESOURCE_LOCK	Sequential execution may fit within 170.03 GiB, but negative controls, exact baseline-LD, and a peak-space plan remain unlocked	2026-09-14	genetic_access_metadata_v1	d327f1f90dee8e0a6945ca7dabc35bc25fa0c53915ec4f084f3250017366882d
G02	candidate_gwas	IMMUNE007	Hashimoto's thyroiditis	GCST90627754	EMBL-EBI GWAS Catalog	gwas_hashimoto	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90627754	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90627001-GCST90628000/GCST90627754/GCST90627754.tsv	GCST90627754.tsv	1	GWAS-SSF v1.0 TSV	GRCh38	European, Finland, Latvia, Norway, United Kingdom, United States; 15106 cases and 1405552 controls	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	1330469250	provider data file	492522fe6a5267be3fde2184e49d3047	MD5	listed_not_verified	unavailable_outcome_unopened	pass_metadata_only	post_opening_schema_QC_pending	pass	pass_metadata_available	pass_state_relevant_metadata_available	pending_protocol_lock	pass_independent_GWAS	pass	capable_after_protocol_and_resource_lock	not_locked_pending_protocol_and_resource_capacity	not_assigned	true	false	not_evaluated_pending_outcome_opening	STOP_PENDING_PROTOCOL_AND_RESOURCE_LOCK	Sequential execution may fit within 170.03 GiB, but negative controls, exact baseline-LD, and a peak-space plan remain unlocked	2026-09-14	genetic_access_metadata_v1	2726e803fc95b8283d21c33254e191cff065c75d84a335af08b36d7bc2c13daf
G03	candidate_gwas	IMMUNE009	multiple sclerosis	GCST90475833	EMBL-EBI GWAS Catalog	gwas_multiple_sclerosis	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90475833	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90475001-GCST90476000/GCST90475833/GCST90475833.tsv.gz	GCST90475833.tsv.gz	1	GWAS-SSF v1.0 gzip TSV	GRCh38	European, United States; 2762 cases and 447721 controls	EMBL-EBI terms of use	https://www.ebi.ac.uk/about/terms-of-use	599875485	provider data file	3fb63d2e1d177f6f4d89554442eb491a	MD5	listed_not_verified	unavailable_outcome_unopened	pass_metadata_only	post_opening_schema_QC_pending	pass	pass_metadata_available	pass_state_relevant_metadata_available	pending_protocol_lock	pass_independent_GWAS	pass	capable_after_protocol_and_resource_lock	not_locked_pending_protocol_and_resource_capacity	not_assigned	true	false	not_evaluated_pending_outcome_opening	STOP_PENDING_PROTOCOL_AND_RESOURCE_LOCK	Sequential execution may fit within 170.03 GiB, but negative controls, exact baseline-LD, and a peak-space plan remain unlocked	2026-09-14	genetic_access_metadata_v1	8710172e4470340cf21ef85bbb9a8a6b4af70a52c8f2b7f4560ec8db0c789b30
G04	candidate_gwas	IMMUNE013	type 1 diabetes mellitus	GCST90475661	EMBL-EBI GWAS Catalog	gwas_type_1_diabetes	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90475661	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90475001-GCST90476000/GCST90475661/GCST90475661.tsv.gz	GCST90475661.tsv.gz	1	GWAS-SSF v1.0 gzip TSV	GRCh38	European, United States; 16971 cases and 418767 controls	EMBL-EBI terms of use	https://www.ebi.ac.uk/about/terms-of-use	587891021	provider data file	69682f19801f032bb53f4e1a70449da6	MD5	listed_not_verified	unavailable_outcome_unopened	pass_metadata_only	post_opening_schema_QC_pending	pass	pass_metadata_available	pass_state_relevant_metadata_available	pending_protocol_lock	pass_independent_GWAS	pass	capable_after_protocol_and_resource_lock	not_locked_pending_protocol_and_resource_capacity	not_assigned	true	false	not_evaluated_pending_outcome_opening	STOP_PENDING_PROTOCOL_AND_RESOURCE_LOCK	Sequential execution may fit within 170.03 GiB, but negative controls, exact baseline-LD, and a peak-space plan remain unlocked	2026-09-14	genetic_access_metadata_v1	448153a09ebd04ce8ba7adf3654aeb0f188a2bc8b22b9a650933b31be266d5a1
G05	candidate_gwas	IMMUNE014	ulcerative colitis	GCST90476067	EMBL-EBI GWAS Catalog	gwas_ulcerative_colitis	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90476067	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90476001-GCST90477000/GCST90476067/GCST90476067.tsv.gz	GCST90476067.tsv.gz	1	GWAS-SSF v1.0 gzip TSV	GRCh38	European, United States; 5229 cases and 442102 controls	EMBL-EBI terms of use	https://www.ebi.ac.uk/about/terms-of-use	595948811	provider data file	5970617ed4fd1eef28ab2b8fd7de56c3	MD5	listed_not_verified	unavailable_outcome_unopened	pass_metadata_only	post_opening_schema_QC_pending	pass	pass_metadata_available	pass_state_relevant_metadata_available	pending_protocol_lock	pass_independent_GWAS	pass	capable_after_protocol_and_resource_lock	not_locked_pending_protocol_and_resource_capacity	not_assigned	true	false	not_evaluated_pending_outcome_opening	STOP_PENDING_PROTOCOL_AND_RESOURCE_LOCK	Sequential execution may fit within 170.03 GiB, but negative controls, exact baseline-LD, and a peak-space plan remain unlocked	2026-09-14	genetic_access_metadata_v1	14e21ed36d9bd852954df8f5256395626df2dc00aa1d4055429d5f00fbf259b3
S01	shared_ld	NA	NA	1000G_NYGC_3202_PHASED	International Genome Sample Resource	ld_european_autosomes	https://www.internationalgenome.org/data-portal/data-collections/1000genomes_30x/	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/working/20220422_3202_phased_SNV_INDEL_SV/20220804_manifest.txt	manifest-defined chr1-chr22 VCF and TBI files	44	bgzip VCF and tabix	GRCh38	3202 multi-ancestry samples; intended 503 unrelated EUR samples from the 2504 phase 3 panel	IGSR data reuse policy	https://www.internationalgenome.org/data-portal/data-collections/1000genomes_30x/	29767081443	22 autosomal VCF files and 22 indexes	20220804_manifest.txt_has_44_MD5_values	MD5	listed_not_verified	unavailable_outcome_unopened	not_applicable	pass_population_and_pedigree_metadata	pass_after_fixed_EUR_subset	unavailable_shared_bundle	unavailable_shared_bundle	pending_protocol_lock	pass_independent_reference	pass_infrastructure	pass_capable_of_LD_estimation	not_locked_pending_protocol_and_resource_capacity	not_assigned	true	false	not_evaluated_pending_outcome_opening	STOP_PENDING_PROTOCOL_AND_RESOURCE_LOCK	Sequential execution is feasible in principle, but the exact baseline-LD bundle, peak-space plan, and final file hashes remain pending	2026-09-14	genetic_access_metadata_v1	67456f0277e7496275e0eb28b87c5dd7e8b39d5b710bc0b2bcd0c9f1f736d1cb
S02	shared_ld_metadata	NA	NA	integrated_call_samples_v3.20130502.ALL.panel	International Genome Sample Resource	ld_european_sample_panel	https://www.internationalgenome.org/data-portal/data-collections/1000genomes_30x/	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/release/20130502/integrated_call_samples_v3.20130502.ALL.panel	integrated_call_samples_v3.20130502.ALL.panel	1	TSV	GRCh38-compatible sample identifiers	2504 unrelated samples; EUR codes CEU, FIN, GBR, IBS, TSI	IGSR data reuse policy	https://www.internationalgenome.org/data-portal/data-collections/1000genomes_30x/	55156	HTTP Content-Length	HTTP_ETag_d774-5029fd78dbfc0	ETag	provider_checksum_unavailable_local_SHA256_required	unavailable_not_downloaded	not_applicable	pass_population_mapping_declared	pass_fixed_EUR_codes	unavailable_shared_bundle	unavailable_shared_bundle	pending_protocol_lock	pass_reference_metadata	pass_infrastructure	pass_capable_of_EUR_subset_definition	not_locked_pending_protocol_and_resource_capacity	not_assigned	true	false	not_evaluated_pending_outcome_opening	STOP_PENDING_PROTOCOL_AND_RESOURCE_LOCK	Local SHA256 and the complete role bundle remain pending	2026-09-14	genetic_access_metadata_v1	b1241c53e4f48f3a6f241ee9ea4df8d09ba65112f46c844de8831761e45af414
S03	shared_ld_metadata	NA	NA	1kGP.3202_samples.pedigree_info.txt	International Genome Sample Resource	ld_pedigree_filter	https://www.internationalgenome.org/data-portal/data-collections/1000genomes_30x/	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/working/1kGP.3202_samples.pedigree_info.txt	1kGP.3202_samples.pedigree_info.txt	1	space-delimited text	GRCh38 sample callset	3202 samples with father, mother, and sex fields	IGSR data reuse policy	https://www.internationalgenome.org/data-portal/data-collections/1000genomes_30x/	52119	HTTP Content-Length	HTTP_ETag_cb97-5cdac99aeec00	ETag	provider_checksum_unavailable_local_SHA256_required	unavailable_not_downloaded	not_applicable	pass_relatedness_metadata_declared	pass_after_unrelated_filter	unavailable_shared_bundle	unavailable_shared_bundle	pending_protocol_lock	pass_reference_metadata	pass_infrastructure	pass_capable_of_relatedness_filter	not_locked_pending_protocol_and_resource_capacity	not_assigned	true	false	not_evaluated_pending_outcome_opening	STOP_PENDING_PROTOCOL_AND_RESOURCE_LOCK	Local SHA256 and the complete role bundle remain pending	2026-09-14	genetic_access_metadata_v1	fcd46bef9f26bceaf87f8d780bebe662dea33172b5cba00419641277a4db8ad6
S04	shared_eqtl	NA	NA	QTD000689	eQTL Catalogue	eqtl_cd4_unstimulated_sumstats	https://www.ebi.ac.uk/eqtl/Studies/	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000041/QTD000689/	QTD000689.all.tsv.gz;QTD000689.all.tsv.gz.tbi	2	bgzip TSV and tabix	GRCh38	combined naive CD4 T cells, unstimulated 16h, 105 donors	CC BY 4.0	https://www.ebi.ac.uk/eqtl/License/	2721454367	HTTP Content-Length sum	unavailable	unavailable	provider_checksum_unavailable_local_SHA256_required	unavailable_outcome_unopened	complete_gene_cis_eqtl_metadata	pass_gene_expression_eQTL_schema	pass_European_ancestry_not_declared_at_dataset_row	pass	partial_no_exact_8h_or_48h_match	pending_protocol_lock	pass_independent_cohort	pass_independent_eQTL	capable_with_stated_time_limit_after_lock	not_locked_pending_protocol_and_resource_capacity	not_assigned	true	false	not_evaluated_pending_outcome_opening	STOP_PENDING_PROTOCOL_AND_RESOURCE_LOCK	Provider checksum is absent; local full SHA256, exact role, and state interpretation must be locked before opening	2026-09-14	genetic_access_metadata_v1	6408de0c406a5d133ce24dfb3a1203b232018a2a5bb4df5eb80babb595b9d8cc
S05	shared_eqtl	NA	NA	QTD000689_SUSIE	eQTL Catalogue	eqtl_cd4_unstimulated_finemap	https://www.ebi.ac.uk/eqtl/Data_access/	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/susie/QTS000041/QTD000689/	QTD000689.credible_sets.tsv.gz;QTD000689.lbf_variable.txt.gz	2	gzip TSV and gzip text	GRCh38	combined naive CD4 T cells, unstimulated 16h, 105 donors	CC BY 4.0	https://www.ebi.ac.uk/eqtl/License/	333651070	HTTP Content-Length sum	unavailable	unavailable	provider_checksum_unavailable_local_SHA256_required	unavailable_outcome_unopened	fine_mapping_files_listed	pass_SuSiE_file_roles_declared	pass_European_ancestry_not_declared_at_dataset_row	pass	partial_no_exact_8h_or_48h_match	pending_protocol_lock	pass_independent_cohort	pass_independent_finemap	capable_with_stated_time_limit_after_lock	not_locked_pending_protocol_and_resource_capacity	not_assigned	true	false	not_evaluated_pending_outcome_opening	STOP_PENDING_PROTOCOL_AND_RESOURCE_LOCK	Provider checksum is absent; local full SHA256, exact role, and state interpretation must be locked before opening	2026-09-14	genetic_access_metadata_v1	dd087c69a35efb0cf7b8e28dbb9d67401d85c4b412147db7ff84c12aaeee9a2c
