candidate_id	disease	reported_trait	phenotype_definition_type	phenotype_match_reason	efo_id	gwas_accession	gwas_release	gwas_pubmed	metadata_url	full_summary_statistics_url	full_summary_statistics_metadata_url	full_summary_statistics_file_name	full_summary_statistics_file_format	full_summary_statistics_build	full_summary_statistics_file_size_bytes	file_metadata_variant_count	catalog_reported_variant_count	imputed	provider_md5	provider_md5_status	completeness_reason	cohort	ancestry_label	sample_description	license	license_url	trait_match_gate	complete_gwas_gate	ancestry_label_gate	ancestry_matched_ld_gate	immune_cell_eqtl_gate	state_relevant_chromatin_gate	fine_mapping_credible_set_status	independent_molecular_convergence_gate	mhc_primary_plan_gate	negative_control_plan_gate	novelty_gate	results_gate	outcomes_inspected_before_freeze	outcome_unopened	outcome_columns_opened	provider_checksum_verification_gate	final_full_file_sha256_gate	checksum_lock_status	outcome_opening_gate	h27_opening_gate	h28_colocalization_gate	h28_instrument_strength_gate	h28_directionality_gate	h28_heterogeneity_gate	h28_pleiotropy_gate	h28_leave_one_instrument_gate	h28_mediation_gate	selection_eligible	selection_rank	decision	decision_reason	hash_basis	provisional_metadata_sha256
IMMUNE001	ankylosing spondylitis	ICD M45: Ankylosing spondylitis - B27 positive	direct_disease_subset	Direct ICD diagnosis restricted to HLA-B27-positive cases.	MONDO_0005306	GCST90079532	GWAS_Catalog_2026-09-04	34662886	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90079532	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90079001-GCST90080000/GCST90079532/GCST90079532_buildGRCh38.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90079001-GCST90080000/GCST90079532/GCST90079532_buildGRCh38.tsv.gz-meta.yaml	GCST90079532_buildGRCh38.tsv.gz	pre-GWAS-SSF	GRCh38	2254849	unavailable	65200	false	e4e8b79f2503f1a90b4366d4ba5edd98	listed_not_verified	Official file and checksum exist, but companion file metadata reports no variant count and the catalog describes a sparse non-imputed set; genome-wide completeness cannot be established without opening outcomes.	UK Biobank	European - United Kingdom	526 cases and 30652 controls	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	pass	unavailable	pass	pass	pass	pass	unavailable_due_unverified_complete_statistics	pass	pass	pass	pass	pass	false	true	false	unavailable	unavailable	not_locked_outcome_unopened	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	false		UNAVAILABLE	Genome-wide completeness is unavailable from outcome-free file metadata, so the frozen H27 opening gate cannot pass.	candidate_metadata_v2	8eed54f9733d4546e2c2913e79de3627a593b731c403d6272e3ee7e1b90238c4
IMMUNE002	asthma	Asthma	direct_disease	Direct asthma case-control trait with no family-history or medication proxy.	MONDO_0004979	GCST90475259	GWAS_Catalog_2026-09-04	39024449	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90475259	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90475001-GCST90476000/GCST90475259/GCST90475259.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90475001-GCST90476000/GCST90475259/GCST90475259.tsv.gz-meta.yaml	GCST90475259.tsv.gz	GWAS-SSF v1.0	GRCh38	581977346	unavailable	44300000	true	c80a48ba8c999d70546beb54fa68e571	listed_not_verified	Official download index and companion metadata identify the full data file, GWAS file format, build, byte size, and provider MD5; catalog metadata labels the dense imputed study as full summary statistics.	Million Veteran Program	European - United States	26657 cases and 289011 controls	EMBL-EBI terms of use	https://www.ebi.ac.uk/about/terms-of-use	pass	pass	pass	pass	pass	pass	derivable_after_opening	pass	pass	pass	pass	pass	false	true	false	unavailable	unavailable	not_locked_outcome_unopened	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	true	1	ADVANCE_TO_CHECKSUM_AND_ROLE_LOCK	Metadata capability gates pass; provider MD5 is listed but unverified, full-file SHA256 and locked role are required before outcome opening, and H28 empirical gates remain unavailable.	candidate_metadata_v2	1026225e80adbce5fd25f75bf31e30316f6759410cde1ec776ecc32df7fae1da
IMMUNE003	atopic eczema	ICD10 L20: Atopic dermatitis	direct_disease	Direct ICD10 L20 atopic dermatitis phenotype.	MONDO_0004980	GCST90080337	GWAS_Catalog_2026-09-04	34662886	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90080337	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90080001-GCST90081000/GCST90080337/GCST90080337_buildGRCh38.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90080001-GCST90081000/GCST90080337/GCST90080337_buildGRCh38.tsv.gz-meta.yaml	GCST90080337_buildGRCh38.tsv.gz	pre-GWAS-SSF	GRCh38	16637121	unavailable	502637	false	4e58c6a4158b5af844111034cc2d5c75	listed_not_verified	Official file and checksum exist, but companion file metadata reports no variant count and the catalog describes a sparse non-imputed set; genome-wide completeness cannot be established without opening outcomes.	UK Biobank	European - United Kingdom	2972 cases and 375981 controls	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	pass	unavailable	pass	pass	pass	pass	unavailable_due_unverified_complete_statistics	pass	pass	pass	pass	pass	false	true	false	unavailable	unavailable	not_locked_outcome_unopened	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	false		UNAVAILABLE	Genome-wide completeness is unavailable from outcome-free file metadata, so the frozen H27 opening gate cannot pass.	candidate_metadata_v2	74252773e219e857c2ea511baf185357161da1e8541455522715bdd2bcd98a25
IMMUNE004	autoimmune disease	Dilute Russell Viper Venom Time normalized lupus anticoagulant screen	biomarker_proxy	Coagulation-screen biomarker rather than the frozen autoimmune disease phenotype.	MONDO_0007179	GCST90012738	GWAS_Catalog_2026-09-04	33441150	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90012738	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012738/GCST90012738_buildGRCh37.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012738/GCST90012738_buildGRCh37.tsv.gz-meta.yaml	GCST90012738_buildGRCh37.tsv.gz	pre-GWAS-SSF	GRCh37	140083256	unavailable	6240610	true	c5a36796ed12c768c64bb1926e41e3bf	listed_not_verified	Official download index and companion metadata identify the full data file, GWAS file format, build, byte size, and provider MD5; catalog metadata labels the dense imputed study as full summary statistics.	BioVU	European - United States	1876 participants	EMBL-EBI terms of use	https://www.ebi.ac.uk/about/terms-of-use	fail	pass	pass	pass	pass	pass	derivable_after_opening	pass	pass	pass	fail	fail	false	true	false	unavailable	unavailable	not_locked_outcome_unopened	unavailable	fail	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	false		STOP	Coagulation-screen biomarker rather than the frozen autoimmune disease phenotype.	candidate_metadata_v2	26fa902a948bb67abb2b9c254dfb4f952c09cc0a2a5970d6c5e244954d040cf9
IMMUNE005	celiac disease	ICD10 K90: malabsorption coeliac disease	direct_disease	Direct ICD10 coeliac disease phenotype.	MONDO_0005130	GCST90077860	GWAS_Catalog_2026-09-04	34662886	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90077860	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077860/GCST90077860_buildGRCh38.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077860/GCST90077860_buildGRCh38.tsv.gz-meta.yaml	GCST90077860_buildGRCh38.tsv.gz	pre-GWAS-SSF	GRCh38	15746373	unavailable	456275	false	d451fe43a40efd102a7ff31ac8af7dd7	listed_not_verified	Official file and checksum exist, but companion file metadata reports no variant count and the catalog describes a sparse non-imputed set; genome-wide completeness cannot be established without opening outcomes.	UK Biobank	European - United Kingdom	1766 cases and 327286 controls	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	pass	unavailable	pass	pass	pass	pass	unavailable_due_unverified_complete_statistics	pass	pass	pass	pass	pass	false	true	false	unavailable	unavailable	not_locked_outcome_unopened	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	false		UNAVAILABLE	Genome-wide completeness is unavailable from outcome-free file metadata, so the frozen H27 opening gate cannot pass.	candidate_metadata_v2	7eeef045fab214fe20a3f4c5d5e0f1909db9e7497e8b57946a7352f4c1e59144
IMMUNE006	Crohn's disease	ICD10 K50: crohns disease	direct_disease	Direct ICD10 Crohn disease phenotype.	MONDO_0005011	GCST90077870	GWAS_Catalog_2026-09-04	34662886	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90077870	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077870/GCST90077870_buildGRCh38.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077870/GCST90077870_buildGRCh38.tsv.gz-meta.yaml	GCST90077870_buildGRCh38.tsv.gz	pre-GWAS-SSF	GRCh38	15500456	unavailable	456275	false	eb70c29a5a0ea6eab4ac7913d7fa3783	listed_not_verified	Official file and checksum exist, but companion file metadata reports no variant count and the catalog describes a sparse non-imputed set; genome-wide completeness cannot be established without opening outcomes.	UK Biobank	European - United Kingdom	1250 cases and 327802 controls	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	pass	unavailable	pass	pass	pass	pass	unavailable_due_unverified_complete_statistics	pass	pass	pass	pass	pass	false	true	false	unavailable	unavailable	not_locked_outcome_unopened	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	false		UNAVAILABLE	Genome-wide completeness is unavailable from outcome-free file metadata, so the frozen H27 opening gate cannot pass.	candidate_metadata_v2	5965e77c16e8756be0f5a77bae418f99c1f0c899b65005626a4d42e211b234e6
IMMUNE007	Hashimoto's thyroiditis	Lymphocytic thyroiditis	direct_clinical_synonym	Lymphocytic thyroiditis is the direct clinical disease phenotype used for Hashimoto thyroiditis.	MONDO_0007699	GCST90627754	GWAS_Catalog_2026-09-04	41644669	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90627754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90627001-GCST90628000/GCST90627754/GCST90627754.tsv	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90627001-GCST90628000/GCST90627754/GCST90627754.tsv-meta.yaml	GCST90627754.tsv	GWAS-SSF v1.0	GRCh38	1330469250	unavailable	17889297	true	492522fe6a5267be3fde2184e49d3047	listed_not_verified	Official download index and companion metadata identify the full data file, GWAS file format, build, byte size, and provider MD5; catalog metadata labels the dense imputed study as full summary statistics.	All of Us; Copenhagen Hospital Biobank; Estonian Biobank; FinnGen; HUNT; Michigan Genomics Initiative; Million Veteran Program; UK Biobank	European - Finland, Latvia, Norway, United Kingdom, United States	15106 cases and 1405552 controls	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	pass	pass	pass	pass	pass	pass	derivable_after_opening	pass	pass	pass	pass	pass	false	true	false	unavailable	unavailable	not_locked_outcome_unopened	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	true	5	ADVANCE_TO_CHECKSUM_AND_ROLE_LOCK	Metadata capability gates pass; provider MD5 is listed but unverified, full-file SHA256 and locked role are required before outcome opening, and H28 empirical gates remain unavailable.	candidate_metadata_v2	1a81b45c82860ff73b764b0706885e0227ed5df3c527955149cb86c40df84489
IMMUNE008	inflammatory bowel disease	Inflammatory bowel disease - loose composite	broad_composite	Loose composite does not isolate a confirmed inflammatory bowel disease phenotype.	MONDO_0005265	GCST90081487	GWAS_Catalog_2026-09-04	34662886	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90081487	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90081001-GCST90082000/GCST90081487/GCST90081487_buildGRCh38.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90081001-GCST90082000/GCST90081487/GCST90081487_buildGRCh38.tsv.gz-meta.yaml	GCST90081487_buildGRCh38.tsv.gz	pre-GWAS-SSF	GRCh38	16232530	unavailable	489186	false	626c031959946ea5010f354f7b6e4050	listed_not_verified	Official file and checksum exist, but companion file metadata reports no variant count and the catalog describes a sparse non-imputed set; genome-wide completeness cannot be established without opening outcomes.	UK Biobank	European - United Kingdom	5509 cases and 358527 controls	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	fail	unavailable	pass	pass	pass	pass	unavailable_due_unverified_complete_statistics	pass	pass	pass	fail	fail	false	true	false	unavailable	unavailable	not_locked_outcome_unopened	unavailable	fail	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	false		STOP	Loose composite does not isolate a confirmed inflammatory bowel disease phenotype.	candidate_metadata_v2	e319a3bb0be834d4b48a40f16ebef41ba15964d31256cd7ff3d34fe743089104
IMMUNE009	multiple sclerosis	Multiple sclerosis	direct_disease	Direct multiple sclerosis case-control phenotype.	MONDO_0005301	GCST90475833	GWAS_Catalog_2026-09-04	39024449	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90475833	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90475001-GCST90476000/GCST90475833/GCST90475833.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90475001-GCST90476000/GCST90475833/GCST90475833.tsv.gz-meta.yaml	GCST90475833.tsv.gz	GWAS-SSF v1.0	GRCh38	599875485	unavailable	44300000	true	3fb63d2e1d177f6f4d89554442eb491a	listed_not_verified	Official download index and companion metadata identify the full data file, GWAS file format, build, byte size, and provider MD5; catalog metadata labels the dense imputed study as full summary statistics.	Million Veteran Program	European - United States	2762 cases and 447721 controls	EMBL-EBI terms of use	https://www.ebi.ac.uk/about/terms-of-use	pass	pass	pass	pass	pass	pass	derivable_after_opening	pass	pass	pass	pass	pass	false	true	false	unavailable	unavailable	not_locked_outcome_unopened	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	true	3	ADVANCE_TO_CHECKSUM_AND_ROLE_LOCK	Metadata capability gates pass; provider MD5 is listed but unverified, full-file SHA256 and locked role are required before outcome opening, and H28 empirical gates remain unavailable.	candidate_metadata_v2	c218d2f3a800e12ceabf5a703e65d4ee3420d2124e6448ebcec0d97601dc479b
IMMUNE010	psoriasis	Psoriasis and related disorder (PheCode 696)	broad_phecode	PheCode 696 includes psoriasis and related disorders and does not isolate the frozen phenotype.	MONDO_0005083	GCST90476186	GWAS_Catalog_2026-09-04	39024449	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90476186	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90476001-GCST90477000/GCST90476186/GCST90476186.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90476001-GCST90477000/GCST90476186/GCST90476186.tsv.gz-meta.yaml	GCST90476186.tsv.gz	GWAS-SSF v1.0	GRCh38	588055445	unavailable	44300000	true	72c556837df9e1d3df092a484d3a4449	listed_not_verified	Official download index and companion metadata identify the full data file, GWAS file format, build, byte size, and provider MD5; catalog metadata labels the dense imputed study as full summary statistics.	Million Veteran Program	European - United States	16702 cases and 427092 controls	EMBL-EBI terms of use	https://www.ebi.ac.uk/about/terms-of-use	fail	pass	pass	pass	pass	pass	derivable_after_opening	pass	pass	pass	fail	fail	false	true	false	unavailable	unavailable	not_locked_outcome_unopened	unavailable	fail	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	false		STOP	PheCode 696 includes psoriasis and related disorders and does not isolate the frozen phenotype.	candidate_metadata_v2	01188d69dd8e734acf4e6bd9a45fe80caf983e9f021880c587e06b4070e9e49e
