source_id	source_type	accession	version	provider	official_url	publication	population_or_state	genome_build	data_availability	fine_mapping_availability	license	license_url	local_outcome_available	full_summary_statistics_url	full_summary_statistics_metadata_url	full_summary_statistics_file_name	full_summary_statistics_file_format	full_summary_statistics_file_size_bytes	file_metadata_variant_count	catalog_reported_variant_count	provider_checksum	provider_checksum_algorithm	checksum_status	outcomes_inspected_before_freeze	outcome_unopened	opened_in_this_screen	source_gate_status	failure_reason	metadata_retrieval_date	hash_basis	provisional_metadata_sha256
SRC001	metadata_service	GWAS_CATALOG_API_V2	data_release_2026-09-04;api_release_2025-08-01	EMBL-EBI GWAS Catalog	https://www.ebi.ac.uk/gwas/rest/api/v2/metadata		GRCh38.p14; dbSNP 156; EFO 3.93.0; Ensembl 116	GRCh38.p14	study_metadata_only	not_applicable	Apache 2.0 API code; EMBL-EBI terms	https://www.ebi.ac.uk/about/terms-of-use	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable		not_applicable	not_applicable	false	true	false	pass		2026-09-14	source_metadata_v2	d40c72a5a9259ac35a99e1acd4d3e665b2448f3fc1b33492843e53134415fa12
SRC002	gwas_summary_statistics	GCST90079532	GWAS_Catalog_2026-09-04	EMBL-EBI GWAS Catalog	https://www.ebi.ac.uk/gwas/studies/GCST90079532	PMID:34662886	European - United Kingdom	GRCh38	official_file_listed_genome_wide_completeness_unavailable	unavailable_due_unverified_complete_statistics	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	false	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90079001-GCST90080000/GCST90079532/GCST90079532_buildGRCh38.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90079001-GCST90080000/GCST90079532/GCST90079532_buildGRCh38.tsv.gz-meta.yaml	GCST90079532_buildGRCh38.tsv.gz	pre-GWAS-SSF	2254849	unavailable	65200	e4e8b79f2503f1a90b4366d4ba5edd98	MD5	provider_md5_listed_not_verified	false	true	false	unavailable	Genome-wide completeness is unavailable from outcome-free file metadata, so the frozen H27 opening gate cannot pass.	2026-09-14	source_metadata_v2	5e06fdea7a58c71906a5c7232a025d14635ade27d08f27caef29b6577ddfa31d
SRC003	gwas_summary_statistics	GCST90475259	GWAS_Catalog_2026-09-04	EMBL-EBI GWAS Catalog	https://www.ebi.ac.uk/gwas/studies/GCST90475259	PMID:39024449	European - United States	GRCh38	official_full_summary_file_metadata_verified_outcome_unopened	derivable_after_opening	EMBL-EBI terms of use	https://www.ebi.ac.uk/about/terms-of-use	false	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90475001-GCST90476000/GCST90475259/GCST90475259.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90475001-GCST90476000/GCST90475259/GCST90475259.tsv.gz-meta.yaml	GCST90475259.tsv.gz	GWAS-SSF v1.0	581977346	unavailable	44300000	c80a48ba8c999d70546beb54fa68e571	MD5	provider_md5_listed_not_verified	false	true	false	pass		2026-09-14	source_metadata_v2	71e2dd874c7840bd249970d498380f789add09d62d88b3cb78ddf000d972fe0a
SRC004	gwas_summary_statistics	GCST90080337	GWAS_Catalog_2026-09-04	EMBL-EBI GWAS Catalog	https://www.ebi.ac.uk/gwas/studies/GCST90080337	PMID:34662886	European - United Kingdom	GRCh38	official_file_listed_genome_wide_completeness_unavailable	unavailable_due_unverified_complete_statistics	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	false	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90080001-GCST90081000/GCST90080337/GCST90080337_buildGRCh38.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90080001-GCST90081000/GCST90080337/GCST90080337_buildGRCh38.tsv.gz-meta.yaml	GCST90080337_buildGRCh38.tsv.gz	pre-GWAS-SSF	16637121	unavailable	502637	4e58c6a4158b5af844111034cc2d5c75	MD5	provider_md5_listed_not_verified	false	true	false	unavailable	Genome-wide completeness is unavailable from outcome-free file metadata, so the frozen H27 opening gate cannot pass.	2026-09-14	source_metadata_v2	f18e0d5a1cd19115e7fdbe602e3594ec568c06888ce68d56392914279ca11fcb
SRC005	gwas_summary_statistics	GCST90012738	GWAS_Catalog_2026-09-04	EMBL-EBI GWAS Catalog	https://www.ebi.ac.uk/gwas/studies/GCST90012738	PMID:33441150	European - United States	GRCh37	official_full_summary_file_metadata_verified_outcome_unopened	derivable_after_opening	EMBL-EBI terms of use	https://www.ebi.ac.uk/about/terms-of-use	false	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012738/GCST90012738_buildGRCh37.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012738/GCST90012738_buildGRCh37.tsv.gz-meta.yaml	GCST90012738_buildGRCh37.tsv.gz	pre-GWAS-SSF	140083256	unavailable	6240610	c5a36796ed12c768c64bb1926e41e3bf	MD5	provider_md5_listed_not_verified	false	true	false	fail	Coagulation-screen biomarker rather than the frozen autoimmune disease phenotype.	2026-09-14	source_metadata_v2	055c0e2f6c3fe967e13e82970334a3269028020ed9377db04aed3ae50b878162
SRC006	gwas_summary_statistics	GCST90077860	GWAS_Catalog_2026-09-04	EMBL-EBI GWAS Catalog	https://www.ebi.ac.uk/gwas/studies/GCST90077860	PMID:34662886	European - United Kingdom	GRCh38	official_file_listed_genome_wide_completeness_unavailable	unavailable_due_unverified_complete_statistics	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	false	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077860/GCST90077860_buildGRCh38.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077860/GCST90077860_buildGRCh38.tsv.gz-meta.yaml	GCST90077860_buildGRCh38.tsv.gz	pre-GWAS-SSF	15746373	unavailable	456275	d451fe43a40efd102a7ff31ac8af7dd7	MD5	provider_md5_listed_not_verified	false	true	false	unavailable	Genome-wide completeness is unavailable from outcome-free file metadata, so the frozen H27 opening gate cannot pass.	2026-09-14	source_metadata_v2	5b1a3368f988b69ece6e22c897f73266550287a3c7e2369741ede82ee56b1ac8
SRC007	gwas_summary_statistics	GCST90077870	GWAS_Catalog_2026-09-04	EMBL-EBI GWAS Catalog	https://www.ebi.ac.uk/gwas/studies/GCST90077870	PMID:34662886	European - United Kingdom	GRCh38	official_file_listed_genome_wide_completeness_unavailable	unavailable_due_unverified_complete_statistics	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	false	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077870/GCST90077870_buildGRCh38.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077870/GCST90077870_buildGRCh38.tsv.gz-meta.yaml	GCST90077870_buildGRCh38.tsv.gz	pre-GWAS-SSF	15500456	unavailable	456275	eb70c29a5a0ea6eab4ac7913d7fa3783	MD5	provider_md5_listed_not_verified	false	true	false	unavailable	Genome-wide completeness is unavailable from outcome-free file metadata, so the frozen H27 opening gate cannot pass.	2026-09-14	source_metadata_v2	50d487cc0b81ed6d4c2f787491530aa891a0f6a6961830c6e1ae60c3b4d4164f
SRC008	gwas_summary_statistics	GCST90627754	GWAS_Catalog_2026-09-04	EMBL-EBI GWAS Catalog	https://www.ebi.ac.uk/gwas/studies/GCST90627754	PMID:41644669	European - Finland, Latvia, Norway, United Kingdom, United States	GRCh38	official_full_summary_file_metadata_verified_outcome_unopened	derivable_after_opening	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	false	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90627001-GCST90628000/GCST90627754/GCST90627754.tsv	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90627001-GCST90628000/GCST90627754/GCST90627754.tsv-meta.yaml	GCST90627754.tsv	GWAS-SSF v1.0	1330469250	unavailable	17889297	492522fe6a5267be3fde2184e49d3047	MD5	provider_md5_listed_not_verified	false	true	false	pass		2026-09-14	source_metadata_v2	c57b3c0532b492ae22a8f16039951d1fc0b983a4b606b330ca0a838c168f264a
SRC009	gwas_summary_statistics	GCST90081487	GWAS_Catalog_2026-09-04	EMBL-EBI GWAS Catalog	https://www.ebi.ac.uk/gwas/studies/GCST90081487	PMID:34662886	European - United Kingdom	GRCh38	official_file_listed_genome_wide_completeness_unavailable	unavailable_due_unverified_complete_statistics	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	false	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90081001-GCST90082000/GCST90081487/GCST90081487_buildGRCh38.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90081001-GCST90082000/GCST90081487/GCST90081487_buildGRCh38.tsv.gz-meta.yaml	GCST90081487_buildGRCh38.tsv.gz	pre-GWAS-SSF	16232530	unavailable	489186	626c031959946ea5010f354f7b6e4050	MD5	provider_md5_listed_not_verified	false	true	false	fail	Loose composite does not isolate a confirmed inflammatory bowel disease phenotype.	2026-09-14	source_metadata_v2	2fac2db5ca2e7f31286b3781a97ef95df4ca5e443602f07faa1625a9ccff38b2
SRC010	gwas_summary_statistics	GCST90475833	GWAS_Catalog_2026-09-04	EMBL-EBI GWAS Catalog	https://www.ebi.ac.uk/gwas/studies/GCST90475833	PMID:39024449	European - United States	GRCh38	official_full_summary_file_metadata_verified_outcome_unopened	derivable_after_opening	EMBL-EBI terms of use	https://www.ebi.ac.uk/about/terms-of-use	false	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90475001-GCST90476000/GCST90475833/GCST90475833.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90475001-GCST90476000/GCST90475833/GCST90475833.tsv.gz-meta.yaml	GCST90475833.tsv.gz	GWAS-SSF v1.0	599875485	unavailable	44300000	3fb63d2e1d177f6f4d89554442eb491a	MD5	provider_md5_listed_not_verified	false	true	false	pass		2026-09-14	source_metadata_v2	b06671fc5e0aefa0ec945d69e41e9cd28610cbbce6b6c3b8890dd15a72b6e001
