route_id	route	authority	source_url	version_pin	format	population_scope	outcome_blind	all_genes	single_cell_counts	guide_ids	ntc_cells	cell_minimum_gate	access_mode	provider_checksum	local_integrity	transfer_bytes	storage_bytes	compute_profile	scientific_losslessness	selection_risk	supports_h18_h20	supports_guide_holdout_same_download	route_decision	closest_actionable	exact_blocker	outcome_content_opened	free_space_snapshot_bytes	free_space_snapshot_retrieved_utc	metadata_hash_basis	metadata_sha256	study_final_decision
R01	Figshare complete QC object	official_provider	https://api.figshare.com/v2/articles/27261219	article_27261219_v1_file_64650261	h5ad	full_post_basic_QC_population	yes	yes	yes	yes	yes	yes_after_object_open	full_GET	md5_afd30fde1e6ad32969c29868394385d1_supplied_and_computed	local_SHA256_requires_full_byte_scan	189393177972	at_least_189393177972_plus_outputs	32_CPU_256_GB_sufficient_by_author_64_CPU_1_TB_recommended	yes	low	yes_in_principle	yes	STOP	no	timestamped_free_space_182568767488_bytes_is_6824410484_bytes_less_than_the_object_and_no_output_workspace_remains_earlier_snapshot_182763712512_bytes_was_also_below_the_object	false	182568767488	2026-09-13T20:58:49.9958938Z	route_id=R01;version_pin=article_27261219_v1_file_64650261;transfer_bytes=189393177972;scientific_losslessness=yes;selection_risk=low;supports_h18_h20=yes_in_principle;supports_guide_holdout_same_download=yes;route_decision=STOP;free_space_snapshot_bytes=182568767488;free_space_snapshot_retrieved_utc=2026-09-13T20:58:49.9958938Z;exact_blocker=timestamped_free_space_182568767488_bytes_is_6824410484_bytes_less_than_the_object_and_no_output_workspace_remains_earlier_snapshot_182763712512_bytes_was_also_below_the_object	070d4e751e9c93a307165dbc92b5b7f7a502603c75d77c55020c713334f3fae6	STOP
R02	Figshare remote HDF5 range access	official_provider	https://docs.figshare.com/old_docs/api/articles/	article_27261219_v1_file_64650261	h5ad_remote_ranges	full_population_if_supported	yes	yes	possible	possible	possible	unknown_before_object_open	undocumented	md5_afd30fde1e6ad32969c29868394385d1	no_full_local_SHA256_without_complete_read	unknown_sparse_to_near_full	cache_dependent	many_high_latency_HDF5_range_reads	unverified	medium	not_authorized	not_authorized	STOP	no	official_documentation_exposes_full_GET_only_HEAD_returned_403_and_range_or_chunk_layout_cannot_be_verified_without_opening_the_outcome_object	false	not_applicable	not_applicable	route_id=R02;version_pin=article_27261219_v1_file_64650261;transfer_bytes=unknown_sparse_to_near_full;scientific_losslessness=unverified;selection_risk=medium;supports_h18_h20=not_authorized;supports_guide_holdout_same_download=not_authorized;route_decision=STOP;exact_blocker=official_documentation_exposes_full_GET_only_HEAD_returned_403_and_range_or_chunk_layout_cannot_be_verified_without_opening_the_outcome_object	442a5e9ddba78b694c05c633483576b3c4acb11b50ab12aa58207856760a561e	STOP
R03	Figshare strong perturbation object	official_provider	https://api.figshare.com/v2/articles/27261219	article_27261219_v1_file_64650852	h5ad	1655_strength_selected_perturbations_plus_controls	no	yes	yes	yes	yes	unknown	full_GET	md5_28bcfff0679e7c6c35bdd584f3626362	local_SHA256_possible_after_download	46718752086	at_least_46718752086_plus_outputs	moderate	yes_for_selected_subset	high	not_eligible	possible_for_selected_subset	STOP	no	membership_is_defined_by_observed_perturbation_strength_and_is_forbidden_by_the_frozen_outcome_blind_selection_rule	false	not_applicable	not_applicable	route_id=R03;version_pin=article_27261219_v1_file_64650852;transfer_bytes=46718752086;scientific_losslessness=yes_for_selected_subset;selection_risk=high;supports_h18_h20=not_eligible;supports_guide_holdout_same_download=possible_for_selected_subset;route_decision=STOP;exact_blocker=membership_is_defined_by_observed_perturbation_strength_and_is_forbidden_by_the_frozen_outcome_blind_selection_rule	0d4fb085f56b362b414d0be6d9daf272b4168d51e172471b5734b252a7d49b66	STOP
R04	Figshare pilot QC objects	official_provider	https://api.figshare.com/v2/articles/27261219	files_64680606_and_64680708	h5ad	targeted_chromatin_and_metabolic_pilot_panels	yes	yes	yes	yes	yes	possible	full_GET	md5_246eda29efaf8ae8da86c39840678582_and_b5e17ab928cf263f679cf63bbb311a25	local_SHA256_possible_after_download	11620044010	at_least_11620044010_plus_outputs	moderate	yes_for_pilot_panels	medium	no	possible_for_pilot_panels	STOP	no	these_are_distinct_targeted_pilot_panels_not_an_alternate_encoding_of_the_frozen_pan_genome_population_and_substitution_would_change_the_locked_dataset_role	false	not_applicable	not_applicable	route_id=R04;version_pin=files_64680606_and_64680708;transfer_bytes=11620044010;scientific_losslessness=yes_for_pilot_panels;selection_risk=medium;supports_h18_h20=no;supports_guide_holdout_same_download=possible_for_pilot_panels;route_decision=STOP;exact_blocker=these_are_distinct_targeted_pilot_panels_not_an_alternate_encoding_of_the_frozen_pan_genome_population_and_substitution_would_change_the_locked_dataset_role	375e8849a1638611c31085c92db2d89a9793406a5a6fd12342d0e1b8d449d76d	STOP
R05	SRA reconstruction	official_archive	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1173491	PRJNA1173491_public_record	raw_FASTQ	full_experiment_if_every_run_and_reference_is_available	yes	yes	yes	yes	yes	possible_after_reprocessing	run_downloads	per_run_archive_checksums	local_hashes_possible_per_run	at_least_16720000000000	multiple_tens_of_TB_with_intermediates	large_alignment_and_guide_calling_reprocessing	potentially_yes	medium	yes_only_after_exact_reproduction	yes_only_after_exact_reproduction	STOP	no	raw_volume_is_16.72_TB_some_sequence_access_requires_external_permission_and_reprocessing_would_not_be_the_frozen_provider_processed_object	false	not_applicable	not_applicable	route_id=R05;version_pin=PRJNA1173491_public_record;transfer_bytes=at_least_16720000000000;scientific_losslessness=potentially_yes;selection_risk=medium;supports_h18_h20=yes_only_after_exact_reproduction;supports_guide_holdout_same_download=yes_only_after_exact_reproduction;route_decision=STOP;exact_blocker=raw_volume_is_16.72_TB_some_sequence_access_requires_external_permission_and_reprocessing_would_not_be_the_frozen_provider_processed_object	a39a45b272638494c29327248c7c4b6b01268362017b009d638b8c32360828aa	STOP
R06	Author web row matrix	author_repository	https://github.com/y-doctor/KOLF2.1J_Perturbation_Cell_Atlas/tree/main/docs/data/panel/all	repository_main_tree_reviewed_2026_09_14	int8_binary_and_JSON	10167_post_basic_QC_targets_by_38606_genes	yes	yes	no	no	no	no	HTTP_ranges_by_target_row	Git_blob_identifiers	local_SHA256_possible_for_downloaded_rows_or_chunks	393110481_for_all_chunks_and_metadata	about_393110481	light	no	low	no	no	STOP	no	values_are_aggregate_NTC_z_scores_quantized_at_0.04_and_the_release_omits_control_cells_cell_counts_uncertainty_guides_and_batches_required_for_H18_to_H20	false	not_applicable	not_applicable	route_id=R06;version_pin=repository_main_tree_reviewed_2026_09_14;transfer_bytes=393110481_for_all_chunks_and_metadata;scientific_losslessness=no;selection_risk=low;supports_h18_h20=no;supports_guide_holdout_same_download=no;route_decision=STOP;exact_blocker=values_are_aggregate_NTC_z_scores_quantized_at_0.04_and_the_release_omits_control_cells_cell_counts_uncertainty_guides_and_batches_required_for_H18_to_H20	9e4c60212090b44fee6f24ab8e419fa0f32a55d1fbf7d6e0c1abf73272be25ac	STOP
R07	Author web top gene summaries	author_repository	https://github.com/y-doctor/KOLF2.1J_Perturbation_Cell_Atlas/tree/main/docs/data/perts	repository_main_tree_reviewed_2026_09_14	JSON	top_50_up_top_50_down_and_histogram_per_target	yes	no	no	no	no	no	full_GET	Git_blob_identifiers	local_SHA256_possible	22473104	about_22473104	light	no	low	no	no	STOP	no	top_gene_truncation_and_histogram_aggregation_discard_the_complete_response_vector_controls_uncertainty_and_guide_structure	false	not_applicable	not_applicable	route_id=R07;version_pin=repository_main_tree_reviewed_2026_09_14;transfer_bytes=22473104;scientific_losslessness=no;selection_risk=low;supports_h18_h20=no;supports_guide_holdout_same_download=no;route_decision=STOP;exact_blocker=top_gene_truncation_and_histogram_aggregation_discard_the_complete_response_vector_controls_uncertainty_and_guide_structure	7bd2af6cc302efc7972550b3db1944bc5b6d4cc8f557628584e360a89ccdcdfa	STOP
R08	Author internal aggregate Parquet	author_code_reference	https://raw.githubusercontent.com/y-doctor/KOLF2.1J_Perturbation_Cell_Atlas/main/psp/notebooks/mde_webapp/webapp_build/build_panel_all_perts.py	repository_main_tree_reviewed_2026_09_14	parquet	all_post_basic_QC_target_aggregate_z_scores	yes	yes	no	no	no	no	unpublished_internal_path	none_public	none_public	unknown	unknown	unknown	no	low	no	no	STOP	no	the_script_references_an_unpublished_internal_parquet_and_its_aggregate_values_still_lack_cells_controls_guide_structure_and_validated_uncertainty	false	not_applicable	not_applicable	route_id=R08;version_pin=repository_main_tree_reviewed_2026_09_14;transfer_bytes=unknown;scientific_losslessness=no;selection_risk=low;supports_h18_h20=no;supports_guide_holdout_same_download=no;route_decision=STOP;exact_blocker=the_script_references_an_unpublished_internal_parquet_and_its_aggregate_values_still_lack_cells_controls_guide_structure_and_validated_uncertainty	a30efb2a259afbce00147211e2f76ebe6b7f5ee04450ac7fc1e73d18019818f3	STOP
R09	Hugging_Face_Xet_mirror	third_party_mirror	https://huggingface.co/datasets/Boom5426/KOLF	revision_3d63c3832205c0ff6ea483b5732372de44c2ac43	h5ad	claimed_exact_copy_of_full_QC_object	yes	yes	yes	yes	yes	possible_after_object_open	byte_ranges_supported	declared_Figshare_MD5_and_same_size	LFS_SHA256_3e7b0eaae92cc4aacc1d85f6a416998d44445dd296aa44dab4f39d16de0dec79	189393177972_full_or_unknown_sparse	full_copy_exceeds_current_space_range_cache_is_smaller	backed_remote_reads_are_latency_sensitive	unverified_exact_copy	medium	not_authorized	not_authorized	STOP	no	mirror_is_not_author_or_institution_attested_and_no_verified_cross_hash_links_its_SHA256_to_the_official_Figshare_MD5_without_reading_the_complete_object	false	not_applicable	not_applicable	route_id=R09;version_pin=revision_3d63c3832205c0ff6ea483b5732372de44c2ac43;transfer_bytes=189393177972_full_or_unknown_sparse;scientific_losslessness=unverified_exact_copy;selection_risk=medium;supports_h18_h20=not_authorized;supports_guide_holdout_same_download=not_authorized;route_decision=STOP;exact_blocker=mirror_is_not_author_or_institution_attested_and_no_verified_cross_hash_links_its_SHA256_to_the_official_Figshare_MD5_without_reading_the_complete_object	2407b090bc3947693e13f6a14fd8b3d0fd31ba5e0dfba05e9649eccfc6be728e	STOP
R10	Perturb_Seqr_signatures	institutional_secondary	https://perturbseqr.maayanlab.cloud/download	CM4AI_listing_reviewed_2026_09_14	GMT_and_reported_limma_h5ad	gene_sets_and_differential_expression_summaries	yes	unclear	no	no	no	no	full_GET	S3_ETag_for_GMT	local_SHA256_possible_for_available_small_files	45605170_for_GMT_full_signature_link_unavailable	under_50000000_for_available_files	light	no	medium	no	no	STOP	no	the_full_signature_link_returns_404_and_the_available_GMT_is_a_truncated_summary_without_cells_controls_per_target_counts_uncertainty_or_guides	false	not_applicable	not_applicable	route_id=R10;version_pin=CM4AI_listing_reviewed_2026_09_14;transfer_bytes=45605170_for_GMT_full_signature_link_unavailable;scientific_losslessness=no;selection_risk=medium;supports_h18_h20=no;supports_guide_holdout_same_download=no;route_decision=STOP;exact_blocker=the_full_signature_link_returns_404_and_the_available_GMT_is_a_truncated_summary_without_cells_controls_per_target_counts_uncertainty_or_guides	a442eaab69fd08a40b62a6fc940cba7dc90b505b540b004bb765f932d0b5e555	STOP
