candidate_id	bundle_id	accession	source_key	evidence_family	assay_or_resource	version	species	cell_type	primary_cell_flag	cell_state	activation_time_hours	stimulus	genome_build	identifier_scheme	factor_targets	frozen_perturbed_tf_denominator	frozen_perturbed_tf_coverage_n	frozen_secondary_tf_denominator	frozen_secondary_tf_coverage_n	factor_coverage_status	donor_count	biological_replicates	technical_replicates	qc_metadata	build_gate	identifier_gate	peak_quality_gate	state_gate	time_gate	license	provider_checksum	checksum_algorithm	physical_evidence	perturbational_evidence	alternative_cascade_capable	chromatin_context_only	motif_only	correlated_family	outcome_unopened	outcome_fields_opened	metadata_complete	metadata_rank_score	selection_rank	decision	stop_reason	metadata_hash_basis	provisional_metadata_sha256
M01	ENCODE_CTCF_CD4	ENCSR470KCE	S01	tf_specific_occupancy	TF ChIP-seq	ENCODE4 released record	Homo sapiens	primary CD4-positive alpha-beta T cell	true	Rest	0	untreated	GRCh38	ENCODE accession; HGNC symbol	CTCF	284	0	133	0	verified	1	1	3	released; audit warning present	pass	pass	unavailable	pass	pass	unavailable	unavailable	unavailable	true	false	false	false	false	none	true	false	false	13	4	STOP	CTCF is absent from both frozen factor lists; peak-quality and checksum gates are unavailable	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	aad9faa68996b73749f5d0c7ad337fc824da63cff5a4ace8fc21bca163974a36
M02	ENCODE_CTCF_CD4	ENCSR806WWX	S02	tf_specific_occupancy	TF ChIP-seq	ENCODE4 released record	Homo sapiens	primary activated CD4-positive alpha-beta T cell	true	activated	36	anti-CD3/CD28 beads	GRCh38	ENCODE accession; HGNC symbol	CTCF	284	0	133	0	verified	1	1	3	released; audit not-compliant warning present	pass	pass	unavailable	pass	fail	unavailable	unavailable	unavailable	true	false	false	false	false	none	true	false	false	9	7	STOP	CTCF coverage is 0/284 and 0/133; 36 hours is not frozen Stim48hr and no Stim8hr record exists	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	6b5b8742351d1eef5891ba76d2b5613e6f13ac04085e7e10af59483badfac4b0
M03	ENCODE_ATAC_CD4	ENCSR841LHT	S03	chromatin_context	ATAC-seq	ENCODE released record	Homo sapiens	primary CD4-positive alpha-beta T cell	true	Rest	0	untreated	GRCh38	ENCODE accession	not_applicable	284	unavailable	133	unavailable	not_applicable	1	1	unavailable	released; audit warning present	pass	pass	unavailable	pass	pass	unavailable	unavailable	unavailable	false	false	false	true	false	none	true	false	false	7	10	STOP	Accessibility is chromatin context only and cannot establish TF-specific physical evidence	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	cde32a6620bbd80b02f5171972e2cc17951b4da4f491e7b98e6f54300e69bca6
M04	ENCODE_ATAC_CD4	ENCSR991PBP	S04	chromatin_context	ATAC-seq	ENCODE released record	Homo sapiens	primary activated CD4-positive alpha-beta T cell	true	activated	36	anti-CD3/CD28 beads	GRCh38	ENCODE accession	not_applicable	284	unavailable	133	unavailable	not_applicable	1	1	unavailable	unreplicated; audit warning present	pass	pass	unavailable	pass	fail	unavailable	unavailable	unavailable	false	false	false	true	false	none	true	false	false	3	20	STOP	Accessibility only; 36 hours does not match frozen Stim48hr	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	afe5847a3b958f3a970c50dec1bc5661360f894977bdee36fd6001051f06aac4
M05	ENCODE_H3K27AC_CD4	ENCSR396RXX	S05	chromatin_context	H3K27ac Mint-ChIP	ENCODE released record	Homo sapiens	primary CD4-positive alpha-beta T cell	true	Rest	0	untreated	GRCh38	ENCODE accession; H3K27ac	not_applicable	284	unavailable	133	unavailable	not_applicable	1	1	2	released; experiment-level record only	pass	pass	unavailable	pass	pass	unavailable	unavailable	unavailable	false	false	false	true	false	none	true	false	false	7	8	STOP	Active chromatin context lacks TF-specific occupancy and a verified checksum	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	36a85a0f6b0fe8777612c1958d661aa8eaa96f253ed91d37db2dc1b4497be0c3
M06	ENCODE_H3K27AC_CD4	ENCSR561KOM	S06	chromatin_context	H3K27ac Histone ChIP-seq	Roadmap-derived ENCODE record	Homo sapiens	primary CD4-positive alpha-beta T cell	true	Rest	0	untreated	GRCh38	ENCODE accession; H3K27ac	not_applicable	284	unavailable	133	unavailable	not_applicable	1	1	unavailable	released; audit warning present	pass	pass	unavailable	pass	pass	unavailable	unavailable	unavailable	false	false	false	true	false	none	true	false	false	7	9	STOP	Active chromatin context lacks TF-specific occupancy and a verified checksum	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	d3a98654f27a168a9185eb32a50a43d64f6a412c4cd537dcef5924c2d90f22ca
M07	ENCODE_H3K27AC_CD4	ENCSR120WKZ	S07	chromatin_context	H3K27ac Histone ChIP-seq	Roadmap-derived ENCODE record	Homo sapiens	primary naive CD4-positive alpha-beta T cell	true	naive	0	untreated	GRCh38	ENCODE accession; H3K27ac	not_applicable	284	unavailable	133	unavailable	not_applicable	unavailable	unavailable	unavailable	audit error and not-compliant status	pass	pass	fail	fail	pass	unavailable	unavailable	unavailable	false	false	false	true	false	none	true	false	false	3	19	STOP	Naive subset is not the frozen Rest state; audit error and no TF-specific occupancy	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	6f34d70148e52c40323de8f6573b9bddf1df3253772dae27ea945057e967c646
M08	ENCODE_H3K27AC_CD4	ENCSR003SWN	S08	chromatin_context	H3K27ac Mint-ChIP	ENCODE released record	Homo sapiens	primary activated memory CD4-positive alpha-beta T cell	true	activated memory	36	anti-CD3/CD28 beads	GRCh38	ENCODE accession; H3K27ac	not_applicable	284	unavailable	133	unavailable	not_applicable	1	1	2	unreplicated; matched control recorded	pass	pass	unavailable	fail	fail	unavailable	unavailable	unavailable	false	false	false	true	false	none	true	false	false	-1	21	STOP	Memory subset and 36-hour timing do not match frozen states; no TF-specific occupancy	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	d6ceb7ac66b742915964d28d31cf82e6060a48fefd2134222db0bf12c0a956ff
M09	ENCODE_CHIAPET_CD4	ENCSR093CTT	S09	enhancer_gene_physical_link	CTCF ChIA-PET	ENCODE released record	Homo sapiens	primary activated CD4-positive alpha-beta T cell	true	activated	36	anti-CD3/CD28 beads	GRCh38	ENCODE accession; HGNC symbol	CTCF	284	0	133	0	verified	2	2	unavailable	released; audit warning present	pass	pass	unavailable	pass	fail	unavailable	unavailable	unavailable	true	false	false	false	false	none	true	false	false	9	6	STOP	Physical links are CTCF-based with 0/284 and 0/133 coverage; 36 hours is not Stim48hr	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	a2cf78688ece7e48f886c7a077a56312c0fb7616f1fef6fe5558e652ee24a373
M10	PRIMARY_CD4_PCHIC	EGAS00001001911	S10	enhancer_gene_physical_link	promoter-capture Hi-C	Javierre 2016 processed map	Homo sapiens	primary blood naive and total CD4 T cells	true	nonactivated; activated	0;4	T-cell receptor activation	GRCh37	Ensembl release 75 baits; CHiCAGO links	not_applicable	284	unavailable	133	unavailable	not_applicable	unavailable	unavailable	unavailable	CHiCAGO processed links; replicate metadata unavailable	fail	pass	not_applicable	fail	fail	unavailable	unavailable	unavailable	true	false	false	false	false	none	true	false	false	5	13	STOP	GRCh37 and 4-hour activation require remapping and do not match frozen times; checksum unavailable	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	0f030b0a6031cd0448442caae09b6822bf35599eef5da6029d56753bddbe0ec7
M11	GSE271090	GSE244035	S11	chromatin_context	H3K27ac CUT&RUN	GEO public release 2024-10-24	Homo sapiens	primary human CD4 Teff and Treg	true	Rest; Stim48hr	0;48	anti-CD3/CD28/CD2	GRCh38	GEO accession; HGNC symbols	H3K27ac; MED11,MED12,MED24,ATXN7L3,BATF,TAF5L,USP22,ZNF217	284	0	133	0	verified	2	2 per KO-cell-state stratum	unavailable	SEACR 1.3; matched IgG; blacklist removal; E. coli spike-in	pass	pass	pass	pass	pass	unavailable	unavailable	unavailable	false	true	true	true	false	none	true	false	false	12	5	STOP	Exact Rest/48hr context, but enumerated perturbation targets have 0/284 and 0/133 overlap and no TF-specific occupancy	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	5438af59b68fc23740146b9d840c1f89c9c52ffd65c14b565620aadd07cfc323
M12	GSE271090	GSE271089	S12	tf_specific_occupancy	ChIP-seq	GEO public release 2024-10-24	Homo sapiens	primary human CD4 Teff and Treg	true	Rest; Stim48hr	0;48	anti-CD3/CD28/CD2	GRCh38	GEO accession; HGNC symbols	MED12; CXXC1; RNA polymerase II	284	0	133	0	verified	2	2 per target-condition	unavailable	MACS2 q=0.05; blacklist filtering; spike-in described	pass	pass	pass	pass	pass	unavailable	unavailable	unavailable	true	false	true	false	false	none	true	false	false	15	1	STOP	State-compatible occupancy targets have 0/284 and 0/133 overlap; no eligible occupancy factor remains	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	cb3cc422afb3234a58a931f8c8631882959563ec0576c3600b1d9532fbfa3d29
M13	GSE271090	GSE278572	S13	independent_perturbation	Perturb-CITE-seq	GEO public subseries	Homo sapiens	primary human CD4 Teff and Treg	true	Rest; Stim48hr	0;48	anti-CD3/CD28/CD2	GRCh38	GEO accession; guide-to-gene mapping	MED11; MED12; MED24; ATXN7L3; BATF; TAF5L; USP22; ZNF217	284	0	133	0	verified	unavailable	unavailable	unavailable	guide calls described; cell-level QC unavailable without outcomes	pass	pass	not_applicable	pass	pass	unavailable	unavailable	unavailable	false	true	true	false	false	none	true	false	false	15	3	STOP	Perturbation targets have 0/284 and 0/133 overlap; donor and checksum metadata unavailable	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	f78b03d03ec72febc5661ddf62eb1b7b36618f7ee17ed2404101c2710c51ce0a
M14	GSE271090	GSE276096	S14	independent_perturbation	bulk RNA-seq perturbation metadata	GEO public subseries	Homo sapiens	primary human CD4 Teff and Treg	true	Rest; Stim48hr	0;48	anti-CD3/CD28/CD2	GRCh38	GEO accession; HGNC symbols	MED11; MED12; MED24	284	0	133	0	verified	3	3 donors	unavailable	sample-level metadata present; outcomes unopened	pass	pass	not_applicable	pass	pass	unavailable	unavailable	unavailable	false	true	true	false	false	none	true	false	false	15	2	STOP	Perturbation targets have 0/284 and 0/133 overlap; cannot test frozen eligible cascades	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	5623d07de39bd81f65db7b17942ed2e66d9cfeaf71f88fe4a7bb597923701f42
