source_key	provider	record_type	version_or_accession	url	publication_doi	metadata_retrieved_utc	provider_checksum	checksum_algorithm	license	provider_record_status	source_metadata_hash_basis	source_metadata_sha256
S01	ENCODE	experiment	ENCSR470KCE	https://www.encodeproject.org/experiments/ENCSR470KCE/	unavailable	2026-09-14T00:00:00Z	unavailable	unavailable	unavailable	screened	all_columns_except_source_metadata_sha256;utf8_lf;header=value	61051f6810e273d036635e80415a0b318767fbfcb75c47d2d6f0f61741f529ea
S02	ENCODE	experiment	ENCSR806WWX	https://www.encodeproject.org/experiments/ENCSR806WWX/	unavailable	2026-09-14T00:00:00Z	unavailable	unavailable	unavailable	screened	all_columns_except_source_metadata_sha256;utf8_lf;header=value	896099046a67f6b5dfdeed096c00db4980c83f7c39ff0b5d80606ef826483ee3
S03	ENCODE	experiment	ENCSR841LHT	https://www.encodeproject.org/experiments/ENCSR841LHT/	unavailable	2026-09-14T00:00:00Z	unavailable	unavailable	unavailable	screened	all_columns_except_source_metadata_sha256;utf8_lf;header=value	3aaa20b7a238c2ee92afab165c082e57605b148552fe6a3841914a25aa1a783f
S04	ENCODE	experiment	ENCSR991PBP	https://www.encodeproject.org/experiments/ENCSR991PBP/	unavailable	2026-09-14T00:00:00Z	unavailable	unavailable	unavailable	screened	all_columns_except_source_metadata_sha256;utf8_lf;header=value	5e351ea91d7020d50a4edde82d104595c2179db25ae8e86cb17a04e93e672359
S05	ENCODE	experiment	ENCSR396RXX	https://www.encodeproject.org/experiments/ENCSR396RXX/	unavailable	2026-09-14T00:00:00Z	unavailable	unavailable	unavailable	screened	all_columns_except_source_metadata_sha256;utf8_lf;header=value	c80388e1cf8289d6a8fdcfe9b75ab73b50d1769af1269256aadc30c124634a64
S06	ENCODE	experiment	ENCSR561KOM	https://www.encodeproject.org/experiments/ENCSR561KOM/	unavailable	2026-09-14T00:00:00Z	unavailable	unavailable	unavailable	screened	all_columns_except_source_metadata_sha256;utf8_lf;header=value	a4dd48841d10966561bdf69c438b84abb4055706f29cebad0c3ae563e512b457
S07	ENCODE	experiment	ENCSR120WKZ	https://www.encodeproject.org/experiments/ENCSR120WKZ/	unavailable	2026-09-14T00:00:00Z	unavailable	unavailable	unavailable	screened	all_columns_except_source_metadata_sha256;utf8_lf;header=value	c7074fa4748e94304fda02efe60ae8129b8ede718d1532ee23d55598d93f96a4
S08	ENCODE	experiment	ENCSR003SWN	https://www.encodeproject.org/experiments/ENCSR003SWN/	unavailable	2026-09-14T00:00:00Z	unavailable	unavailable	unavailable	screened	all_columns_except_source_metadata_sha256;utf8_lf;header=value	0fb121e8adb727dbe9b0193f8e43b4f1618304fab3e907a4f10f0a841ce878ef
S09	ENCODE	experiment	ENCSR093CTT	https://www.encodeproject.org/experiments/ENCSR093CTT/	unavailable	2026-09-14T00:00:00Z	unavailable	unavailable	unavailable	screened	all_columns_except_source_metadata_sha256;utf8_lf;header=value	1cd28b31dbd9727a40765ab258aed5b848c693b9df218209297fed1042dd4acd
S10	EGA	study	EGAS00001001911	https://ega-archive.org/studies/EGAS00001001911	10.1016/j.cell.2016.09.037	2026-09-14T00:00:00Z	unavailable	unavailable	unavailable	screened	all_columns_except_source_metadata_sha256;utf8_lf;header=value	048f6d368b8f07db7eb4bebe427a6c130df537c2295c63bb58d7e34a0e6d598d
S11	NCBI GEO	series	GSE244035	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE244035	10.1038/s41586-024-08314-y	2026-09-14T00:00:00Z	unavailable	unavailable	unavailable	screened	all_columns_except_source_metadata_sha256;utf8_lf;header=value	1e14041f92a51d5c3e150146ba73a1706802efea354a4616ee7e5ea42f866e95
S12	NCBI GEO	series	GSE271089	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE271089	10.1038/s41586-024-08314-y	2026-09-14T00:00:00Z	unavailable	unavailable	unavailable	screened	all_columns_except_source_metadata_sha256;utf8_lf;header=value	377bea70474b2b3ec405165ee773eba49ad373bdb8c44d2bdec02c854c8f8056
S13	NCBI GEO	series	GSE278572	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE278572	10.1038/s41586-024-08314-y	2026-09-14T00:00:00Z	unavailable	unavailable	unavailable	screened	all_columns_except_source_metadata_sha256;utf8_lf;header=value	808076d0e6fc0b20a8c0baf5b1a639f2bf806d31e3c11655e0a42a7ff9ea17be
S14	NCBI GEO	series	GSE276096	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276096	10.1038/s41586-024-08314-y	2026-09-14T00:00:00Z	unavailable	unavailable	unavailable	screened	all_columns_except_source_metadata_sha256;utf8_lf;header=value	9af9ce680c0654241c2798d4e1469d7d59e87a6102f965b7d08e9d18d796837d
S15	NCBI GEO	series	GSE171737	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171737	10.1038/s41588-022-01106-y	2026-09-14T00:00:00Z	unavailable	unavailable	unavailable	screened	all_columns_except_source_metadata_sha256;utf8_lf;header=value	46c4f4735f5abb80d4c9a21b70f6c4533d997a2ecd771119a1aaa8dccc0aa8d3
S16	NCBI GEO	series	GSE190604	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190604	10.1126/science.abj4008	2026-09-14T00:00:00Z	unavailable	unavailable	unavailable	screened	all_columns_except_source_metadata_sha256;utf8_lf;header=value	59a127a31575695641942804d6f19aa871f259e27db55f4223b019c616941b15
S17	NCBI GEO	exclusion registry record	GSE314342	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE314342	unavailable	2026-09-14T00:00:00Z	unavailable	unavailable	unavailable	permanently_excluded	all_columns_except_source_metadata_sha256;utf8_lf;header=value	b757570e5043a1f2e078ad30df04d1870f159f9940a33c15e816d73472d3c812
S18	JASPAR	release	JASPAR 2026	https://jaspar.elixir.no/	10.1093/nar/gkae1065	2026-09-14T00:00:00Z	unavailable	unavailable	CC-BY-4.0	screened	all_columns_except_source_metadata_sha256;utf8_lf;header=value	40c733b8ebf1664f67794384c65b0c1705a19cf45b817cefebb48efe405a95d6
S19	HOCOMOCO	release	v12	https://hocomoco12.autosome.org/	10.1093/nar/gkad1077	2026-09-14T00:00:00Z	unavailable	unavailable	unavailable	screened	all_columns_except_source_metadata_sha256;utf8_lf;header=value	c69d3945a3c73c66623f18b5bed1334b6ee6ee11323f4f6d801b74737011da93
S20	DoRothEA	software and embedded network	package 1.7.3; network snapshot unavailable	https://github.com/saezlab/dorothea	unavailable	2026-09-14T00:00:00Z	unavailable	unavailable	unavailable	screened	all_columns_except_source_metadata_sha256;utf8_lf;header=value	1a7ca65aa446bd24fb3ae45b17925351f3b93135eedd693e7b59d8dbc4becf7b
S21	TRRUST	database release	v2; 2018-04-16	https://www.grnpedia.org/trrust/	10.1093/nar/gkx1013	2026-09-14T00:00:00Z	unavailable	unavailable	unavailable	screened	all_columns_except_source_metadata_sha256;utf8_lf;header=value	c77d230f431276c1e1524b061737c4193bf2a148be63e4d8f5f6fe471eb909b8
