"candidate_id"	"denominator_weight"	"record_group"	"dataset_accession"	"dataset_version"	"provider_url"	"publication_url"	"cell_context"	"primary_human_t_cell"	"perturbation_modality"	"processed_counts"	"provider_checksum"	"license"	"mapping_status"	"mapped_cd4_targets"	"mapping_sha256"	"non_targeting_controls"	"guide_assignments"	"guides_per_target"	"donor_count"	"activation_state_count"	"matched_states"	"repeated_units"	"min_cells_per_target"	"min_cells_per_target_state"	"common_genes"	"validated_pseudobulk_uncertainty"	"outcomes_inspected_before_freeze"	"portability_decision"	"portability_reason"	"tcell_reason"	"guide_donor_reason"	"guide_holdout_reuse_decision"	"two_state_core_reuse_decision"	"novelty_gate"	"selection_rank"	"outcome_opening_decision"	"source_ids"	"species"	"assay"	"current_outcome_artifacts_opened"	"inspection_scope"	"tcell_decision"	"guide_donor_decision"	"provisional_metadata_hash_basis"	"provisional_metadata_sha256"
"KOLF2.1J_Perturbation_Cell_Atlas"	"1"	"named_candidate"	"PRJNA1173491"	"Figshare_27261219_v1_2026-06-10"	"https://api.figshare.com/v2/articles/27261219"	"https://doi.org/10.1038/s41587-026-03199-w"	"KOLF2.1J_human_iPSC"	"no"	"CRISPRi"	"yes_full_non_outcome_selected_h5ad"	"md5:afd30fde1e6ad32969c29868394385d1"	"CC-BY-4.0_data;MIT_code"	"exact_author_symbols_to_frozen_CD4_symbols"	"5084"	"c22383a1e28fed9cd2e7c667c711a997f9373fd80c8f909628f150d21a8c481a"	"yes_478_original_guides_236_post_QC_whitelist"	"yes"	"3"	"not_applicable_cell_line"	"1"	"no"	"3_screen_batches"	"dataset_level_sufficient_published_88_percent_over_100;per_target_below_50_exclusions_to_be_frozen"	"not_applicable"	">=500_full_GRCh38_transcriptome"	"not_needed_for_large_eligible_subset"	"false"	"ADVANCE"	"stage_1_metadata_gates_pass_and_large_eligible_subset_exceeds_100_mapped_targets"	"not_primary_T_cells"	"no_donors_and_no_3_independently_supported_guide_efficacies"	"ADVANCE"	"STOP"	"ADVANCE_materially_distinct_untouched_portability_context"	"1"	"STOP_pending_full_file_SHA256_provider_checksum_verification_mapping_and_role_lock"	"kolf_paper;kolf_bioproject;kolf_figshare;kolf_github;kolf_pubmed;frozen_cd4_targets"	"Homo_sapiens_or_explicit_mixed_for_aggregate"	"single_cell_transcriptome_or_explicit_record_value"	"false"	"metadata_methods_file_inventory_checksums_only"	"STOP"	"STOP"	"candidate_id=KOLF2.1J_Perturbation_Cell_Atlas;dataset_accession=PRJNA1173491;dataset_version=Figshare_27261219_v1_2026-06-10;cell_context=KOLF2.1J_human_iPSC;perturbation_modality=CRISPRi;processed_counts=yes_full_non_outcome_selected_h5ad;mapped_cd4_targets=5084;non_targeting_controls=yes_478_original_guides_236_post_QC_whitelist;guide_assignments=yes;guides_per_target=3;donor_count=not_applicable_cell_line;activation_state_count=1;repeated_units=3_screen_batches;min_cells_per_target=dataset_level_sufficient_published_88_percent_over_100;per_target_below_50_exclusions_to_be_frozen;min_cells_per_target_state=not_applicable;common_genes=>=500_full_GRCh38_transcriptome;validated_pseudobulk_uncertainty=not_needed_for_large_eligible_subset;portability_decision=ADVANCE;tcell_decision=STOP;guide_donor_decision=STOP;novelty_gate=ADVANCE_materially_distinct_untouched_portability_context"	"4f71eec6c39c5fb5dec74afff6ab2b9b08341ac4b9ebaf81de8bacb44bb69e26"
"ARC_Virtual_Cell_Challenge_H1_arch1"	"1"	"named_candidate"	"arch1"	"ARC_VCC_2025_full_release_available_2026"	"https://github.com/ArcInstitute/arc-virtual-cell-atlas/tree/main/virtual-cell-challenge"	"https://arcinstitute.org/news/behind-the-data-virtual-cell-challenge"	"H1_hESC"	"no"	"CRISPRi_dual_guide_construct"	"yes_h5ad"	"not_stated"	"not_stated_for_dataset"	"not_frozen_after_early_novelty_stop"	"unknown_of_300"	"not_available"	"yes"	"yes"	"2_paired"	"not_applicable_cell_line"	"1"	"no"	"unknown"	"median_about_1000_not_minimum"	"not_applicable"	">=500_full_transcriptome"	"no"	"false"	"STOP"	"outcome_selected_target_and_split_design"	"not_primary_T_cells"	"no_donors_and_fewer_than_3_guides"	"STOP"	"STOP"	"STOP_outcome_selected_dataset_without_substitution"	"not_selected"	"STOP"	"arc_readme;arc_data_design;arc_full_release"	"Homo_sapiens_or_explicit_mixed_for_aggregate"	"single_cell_transcriptome_or_explicit_record_value"	"false"	"metadata_methods_file_inventory_checksums_only"	"STOP"	"STOP"	"candidate_id=ARC_Virtual_Cell_Challenge_H1_arch1;dataset_accession=arch1;dataset_version=ARC_VCC_2025_full_release_available_2026;cell_context=H1_hESC;perturbation_modality=CRISPRi_dual_guide_construct;processed_counts=yes_h5ad;mapped_cd4_targets=unknown_of_300;non_targeting_controls=yes;guide_assignments=yes;guides_per_target=2_paired;donor_count=not_applicable_cell_line;activation_state_count=1;repeated_units=unknown;min_cells_per_target=median_about_1000_not_minimum;min_cells_per_target_state=not_applicable;common_genes=>=500_full_transcriptome;validated_pseudobulk_uncertainty=no;portability_decision=STOP;tcell_decision=STOP;guide_donor_decision=STOP;novelty_gate=STOP_outcome_selected_dataset_without_substitution"	"1334a030ec0e5983166440a1e7b15422158aa1c4f244ecabe9581154e65729b9"
"FOXP3_Perturb_icCITEseq"	"1"	"named_candidate"	"PRJDB16517"	"DDBJ_public_paper_version_2025-03-26"	"https://ddbj.nig.ac.jp/search/entry/bioproject/PRJDB16517"	"https://doi.org/10.1038/s41586-025-08795-5"	"primary_human_naive_CD4_T_cells_iTreg_polarization"	"yes"	"CRISPR_Cas9"	"no_raw_NGS_only"	"not_stated"	"not_stated"	"candidate_panel_reported_but_no_frozen_metadata_mapping"	"unknown"	"not_available"	"yes"	"raw_reads_and_processing_scripts_exist"	"unknown"	"unknown"	"1"	"no"	"single_reported_Perturb_icCITE_seq_replicate"	"unknown"	"unknown"	"unknown_without_processed_release"	"no"	"false"	"STOP"	"primary_T_cell_system_and_no_processed_counts"	"no_processed_transcriptome_two_matched_states_or_3_repeated_units"	"donor_labels_3_efficacies_and_30_cells_per_guide_donor_not_established"	"STOP"	"STOP"	"STOP_hard_processed_state_and_repeated_unit_gates"	"not_selected"	"STOP"	"foxp3_paper;prjdb16517;foxp3_github"	"Homo_sapiens_or_explicit_mixed_for_aggregate"	"single_cell_transcriptome_or_explicit_record_value"	"false"	"metadata_methods_file_inventory_checksums_only"	"STOP"	"STOP"	"candidate_id=FOXP3_Perturb_icCITEseq;dataset_accession=PRJDB16517;dataset_version=DDBJ_public_paper_version_2025-03-26;cell_context=primary_human_naive_CD4_T_cells_iTreg_polarization;perturbation_modality=CRISPR_Cas9;processed_counts=no_raw_NGS_only;mapped_cd4_targets=unknown;non_targeting_controls=yes;guide_assignments=raw_reads_and_processing_scripts_exist;guides_per_target=unknown;donor_count=unknown;activation_state_count=1;repeated_units=single_reported_Perturb_icCITE_seq_replicate;min_cells_per_target=unknown;min_cells_per_target_state=unknown;common_genes=unknown_without_processed_release;validated_pseudobulk_uncertainty=no;portability_decision=STOP;tcell_decision=STOP;guide_donor_decision=STOP;novelty_gate=STOP_hard_processed_state_and_repeated_unit_gates"	"f7f93ee88963e2fa0547058b591346e19d6457c90b151f386e9554370b5a2f77"
"FrangiehIzar2021_RNA"	"1"	"catalog_detailed"	"not_resolved"	"scPerturb_v1.4_Zenodo_13350497"	"https://zenodo.org/records/13350497"	"https://doi.org/10.1038/s41588-021-00779-1"	"patient_derived_melanoma_models"	"no"	"CRISPR_Cas9"	"yes"	"md5:dc438f53c476a3dd562898654d48ed15"	"CC-BY-4.0"	"exact_mapping_and_minimum_not_established"	"unknown"	"not_available"	"yes"	"yes"	"unknown"	"not_applicable_model"	"multiple_conditions_not_independent_states"	"no"	"unknown"	"unknown"	"unknown"	">=500_full_transcriptome"	"no"	"false"	"STOP"	"official_accession_exact_mapping_and_50_cell_minimum_not_established;lower_ranked_than_KOLF"	"not_primary_T_cells"	"no_donor_resolved_guide_design_for_claim"	"STOP"	"STOP"	"STOP_metadata_incomplete"	"not_selected"	"STOP"	"scperturb_v1_4;prior_metadata_audit"	"Homo_sapiens_or_explicit_mixed_for_aggregate"	"single_cell_transcriptome_or_explicit_record_value"	"false"	"metadata_methods_file_inventory_checksums_only"	"STOP"	"STOP"	"candidate_id=FrangiehIzar2021_RNA;dataset_accession=not_resolved;dataset_version=scPerturb_v1.4_Zenodo_13350497;cell_context=patient_derived_melanoma_models;perturbation_modality=CRISPR_Cas9;processed_counts=yes;mapped_cd4_targets=unknown;non_targeting_controls=yes;guide_assignments=yes;guides_per_target=unknown;donor_count=not_applicable_model;activation_state_count=multiple_conditions_not_independent_states;repeated_units=unknown;min_cells_per_target=unknown;min_cells_per_target_state=unknown;common_genes=>=500_full_transcriptome;validated_pseudobulk_uncertainty=no;portability_decision=STOP;tcell_decision=STOP;guide_donor_decision=STOP;novelty_gate=STOP_metadata_incomplete"	"18479abfb1a6009b3f955cae6db67d61a96b7f9dea9d6fed5f49f01297c0daa6"
"GSE241882_ChromosomeLoss_CROPseq"	"1"	"named_candidate"	"GSE241882_PRJNA1010684"	"GEO_public_2023-11-18"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241882"	"https://doi.org/10.1016/j.cell.2023.08.041"	"primary_human_T_cells"	"yes"	"CRISPR_Cas9_low_MOI"	"yes"	"not_stated"	"GEO_no_dataset_specific_license"	"small_panel_not_frozen_after_state_failure"	"<50"	"not_available"	"unknown"	"yes"	"unknown"	"unknown"	"1"	"no"	"unknown"	"unknown"	"unknown"	">=500_full_transcriptome"	"no"	"false"	"STOP"	"primary_T_cell_system_excluded_from_portability"	"one_activation_state_and_target_panel_below_50"	"donors_efficacies_controls_and_per_guide_donor_minimum_not_established"	"STOP"	"STOP"	"STOP_hard_state_and_target_gates"	"not_selected"	"STOP"	"gse241882;prjna1010684;gse241882_paper"	"Homo_sapiens_or_explicit_mixed_for_aggregate"	"single_cell_transcriptome_or_explicit_record_value"	"false"	"metadata_methods_file_inventory_checksums_only"	"STOP"	"STOP"	"candidate_id=GSE241882_ChromosomeLoss_CROPseq;dataset_accession=GSE241882_PRJNA1010684;dataset_version=GEO_public_2023-11-18;cell_context=primary_human_T_cells;perturbation_modality=CRISPR_Cas9_low_MOI;processed_counts=yes;mapped_cd4_targets=<50;non_targeting_controls=unknown;guide_assignments=yes;guides_per_target=unknown;donor_count=unknown;activation_state_count=1;repeated_units=unknown;min_cells_per_target=unknown;min_cells_per_target_state=unknown;common_genes=>=500_full_transcriptome;validated_pseudobulk_uncertainty=no;portability_decision=STOP;tcell_decision=STOP;guide_donor_decision=STOP;novelty_gate=STOP_hard_state_and_target_gates"	"246fc9c35aa4a9cd438ce51144a5def65fc7639515ae29b6961775365081d023"
"GSE278572_Primary_CD4_Treg_Teff"	"1"	"named_candidate"	"GSE278572"	"GEO_public_2024-11"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE278572"	"https://doi.org/10.1038/s41586-024-08314-y"	"primary_human_CD4_Treg_Teff_resting_and_stimulated"	"yes"	"CRISPR_Cas9"	"yes"	"not_stated"	"GEO_no_dataset_specific_license"	"not_frozen_after_repeated_unit_failure"	"unknown"	"not_available"	"yes"	"yes"	"unknown"	"2"	"2"	"yes"	"2_donors"	"unknown"	"unknown"	">=500_full_transcriptome"	"no"	"false"	"STOP"	"primary_T_cell_system_excluded_from_portability"	"only_2_donors_below_3_repeated_units"	"only_2_donors_and_per_guide_donor_minimum_unknown"	"STOP"	"STOP"	"STOP_hard_repeated_unit_gate"	"not_selected"	"STOP"	"gse278572;gse278572_paper"	"Homo_sapiens_or_explicit_mixed_for_aggregate"	"single_cell_transcriptome_or_explicit_record_value"	"false"	"metadata_methods_file_inventory_checksums_only"	"STOP"	"STOP"	"candidate_id=GSE278572_Primary_CD4_Treg_Teff;dataset_accession=GSE278572;dataset_version=GEO_public_2024-11;cell_context=primary_human_CD4_Treg_Teff_resting_and_stimulated;perturbation_modality=CRISPR_Cas9;processed_counts=yes;mapped_cd4_targets=unknown;non_targeting_controls=yes;guide_assignments=yes;guides_per_target=unknown;donor_count=2;activation_state_count=2;repeated_units=2_donors;min_cells_per_target=unknown;min_cells_per_target_state=unknown;common_genes=>=500_full_transcriptome;validated_pseudobulk_uncertainty=no;portability_decision=STOP;tcell_decision=STOP;guide_donor_decision=STOP;novelty_gate=STOP_hard_repeated_unit_gate"	"3402726b262f490462596fe19356eba9b79228ff97669606d1d02494e199593a"
"GSE314342_Current_Primary_CD4_Source"	"1"	"named_permanent_exclusion"	"GSE314342"	"frozen_development_source"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE314342"	"Central_control_of_dynamic_gene_circuits_governs_T_cell_rest_and_activation"	"primary_human_CD4_T_cells"	"yes"	"CRISPRi"	"yes"	"recorded_elsewhere"	"recorded_elsewhere"	"frozen_development_mapping"	"6105"	"not_available"	"yes"	"yes"	"generally_2"	"4"	"3"	"yes"	"4_donors"	"not_reassessed"	"not_reassessed"	"18129"	"existing_development_analysis"	"true"	"STOP"	"permanent_exclusion_development_outcomes_inspected"	"permanent_exclusion_not_independent"	"permanent_exclusion_outcomes_inspected"	"STOP"	"STOP"	"STOP_permanent_exclusion"	"not_selected"	"STOP"	"frozen_role_registry;project_data_manifest"	"Homo_sapiens_or_explicit_mixed_for_aggregate"	"single_cell_transcriptome_or_explicit_record_value"	"false"	"metadata_methods_file_inventory_checksums_only"	"STOP"	"STOP"	"candidate_id=GSE314342_Current_Primary_CD4_Source;dataset_accession=GSE314342;dataset_version=frozen_development_source;cell_context=primary_human_CD4_T_cells;perturbation_modality=CRISPRi;processed_counts=yes;mapped_cd4_targets=6105;non_targeting_controls=yes;guide_assignments=yes;guides_per_target=generally_2;donor_count=4;activation_state_count=3;repeated_units=4_donors;min_cells_per_target=not_reassessed;min_cells_per_target_state=not_reassessed;common_genes=18129;validated_pseudobulk_uncertainty=existing_development_analysis;portability_decision=STOP;tcell_decision=STOP;guide_donor_decision=STOP;novelty_gate=STOP_permanent_exclusion"	"666280fd13fa8dba044ddb52c9f2fd9c8f50a1ba412216d52096a231fe6bfaac"
"Nadig_GSE264667_HepG2"	"1"	"catalog_detailed"	"GSE264667_PRJNA1100571"	"GEO_public_2025-04-21"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE264667"	"https://doi.org/10.1038/s41588-025-02169-3"	"HepG2"	"no"	"CRISPRi_dual_sgRNA_same_gene"	"yes"	"scPerturb_md5:af2be47f7477cf32fa6e4bec1c6a4868"	"CC-BY-4.0_scPerturb_copy;GEO_no_dataset_specific_license"	"exact_official_target_list_not_available_as_metadata_file"	"unknown"	"not_available"	"yes_5_percent_library"	"yes_in_sealed_release"	"2_paired_same_gene"	"not_applicable_cell_line"	"1"	"no"	"56_GEM_groups_not_validated_as_independent_units"	"unknown_minimum"	"not_applicable"	">=500_full_transcriptome"	"no"	"false"	"STOP"	"exact_mapping_and_50_cell_minimum_not_established_without_opening_sealed_data"	"not_primary_T_cells"	"no_donors_or_3_supported_guide_efficacies"	"STOP"	"STOP"	"STOP_hard_metadata_gate"	"not_selected"	"STOP"	"nadig_paper;gse264667;prjna1100571;scperturb_v1_4"	"Homo_sapiens_or_explicit_mixed_for_aggregate"	"single_cell_transcriptome_or_explicit_record_value"	"false"	"metadata_methods_file_inventory_checksums_only"	"STOP"	"STOP"	"candidate_id=Nadig_GSE264667_HepG2;dataset_accession=GSE264667_PRJNA1100571;dataset_version=GEO_public_2025-04-21;cell_context=HepG2;perturbation_modality=CRISPRi_dual_sgRNA_same_gene;processed_counts=yes;mapped_cd4_targets=unknown;non_targeting_controls=yes_5_percent_library;guide_assignments=yes_in_sealed_release;guides_per_target=2_paired_same_gene;donor_count=not_applicable_cell_line;activation_state_count=1;repeated_units=56_GEM_groups_not_validated_as_independent_units;min_cells_per_target=unknown_minimum;min_cells_per_target_state=not_applicable;common_genes=>=500_full_transcriptome;validated_pseudobulk_uncertainty=no;portability_decision=STOP;tcell_decision=STOP;guide_donor_decision=STOP;novelty_gate=STOP_hard_metadata_gate"	"c57a38324b1d084c53696fab1b6916535a86963aaf6a79e783fe76fb86674e05"
"Nadig_GSE264667_Jurkat"	"1"	"catalog_detailed"	"GSE264667_PRJNA1100571"	"GEO_public_2025-04-21"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE264667"	"https://doi.org/10.1038/s41588-025-02169-3"	"Jurkat"	"no"	"CRISPRi_dual_sgRNA_same_gene"	"yes"	"scPerturb_md5:d8b05d00bfbd686d37ffdd4293bc6c8c"	"CC-BY-4.0_scPerturb_copy;GEO_no_dataset_specific_license"	"exact_official_target_list_not_available_as_metadata_file"	"unknown"	"not_available"	"yes_5_percent_library"	"yes_in_sealed_release"	"2_paired_same_gene"	"not_applicable_cell_line"	"1"	"no"	"unknown_independent_units"	"unknown_minimum"	"not_applicable"	">=500_full_transcriptome"	"no"	"false"	"STOP"	"exact_mapping_and_50_cell_minimum_not_established_without_opening_sealed_data"	"not_primary_T_cells"	"no_donors_or_3_supported_guide_efficacies"	"STOP"	"STOP"	"STOP_hard_metadata_gate"	"not_selected"	"STOP"	"nadig_paper;gse264667;prjna1100571;scperturb_v1_4"	"Homo_sapiens_or_explicit_mixed_for_aggregate"	"single_cell_transcriptome_or_explicit_record_value"	"false"	"metadata_methods_file_inventory_checksums_only"	"STOP"	"STOP"	"candidate_id=Nadig_GSE264667_Jurkat;dataset_accession=GSE264667_PRJNA1100571;dataset_version=GEO_public_2025-04-21;cell_context=Jurkat;perturbation_modality=CRISPRi_dual_sgRNA_same_gene;processed_counts=yes;mapped_cd4_targets=unknown;non_targeting_controls=yes_5_percent_library;guide_assignments=yes_in_sealed_release;guides_per_target=2_paired_same_gene;donor_count=not_applicable_cell_line;activation_state_count=1;repeated_units=unknown_independent_units;min_cells_per_target=unknown_minimum;min_cells_per_target_state=not_applicable;common_genes=>=500_full_transcriptome;validated_pseudobulk_uncertainty=no;portability_decision=STOP;tcell_decision=STOP;guide_donor_decision=STOP;novelty_gate=STOP_hard_metadata_gate"	"0e738d6e306ef7250ffedc8e7f3f3971ff96c833511fee45ff5408a4db637bbf"
"NormanWeissman2019_filtered"	"1"	"catalog_detailed"	"GSE133344"	"scPerturb_v1.4_Zenodo_13350497"	"https://zenodo.org/records/13350497"	"https://doi.org/10.1126/science.aax4438"	"K562"	"no"	"CRISPRa"	"yes"	"md5:c870e6967d91c017d9da827bab183cd6"	"CC-BY-4.0"	"legacy_exact_symbol_overlap"	"27"	"not_available"	"yes"	"yes"	"unknown"	"not_applicable_cell_line"	"1"	"no"	"technical_lanes_only"	"unknown"	"unknown"	">=500_full_transcriptome"	"no"	"false"	"STOP"	"K562_forbidden_system_and_only_27_exact_CD4_targets"	"not_primary_T_cells"	"no_donors"	"STOP"	"STOP"	"STOP_forbidden_system"	"not_selected"	"STOP"	"scperturb_v1_4;prior_metadata_audit"	"Homo_sapiens_or_explicit_mixed_for_aggregate"	"single_cell_transcriptome_or_explicit_record_value"	"false"	"metadata_methods_file_inventory_checksums_only"	"STOP"	"STOP"	"candidate_id=NormanWeissman2019_filtered;dataset_accession=GSE133344;dataset_version=scPerturb_v1.4_Zenodo_13350497;cell_context=K562;perturbation_modality=CRISPRa;processed_counts=yes;mapped_cd4_targets=27;non_targeting_controls=yes;guide_assignments=yes;guides_per_target=unknown;donor_count=not_applicable_cell_line;activation_state_count=1;repeated_units=technical_lanes_only;min_cells_per_target=unknown;min_cells_per_target_state=unknown;common_genes=>=500_full_transcriptome;validated_pseudobulk_uncertainty=no;portability_decision=STOP;tcell_decision=STOP;guide_donor_decision=STOP;novelty_gate=STOP_forbidden_system"	"4edf959e9f8db6f72eecff9e8d2b5dafcf219641e8204bb45ab88d60fecbf5d3"
