source_id	source_type	title_or_accession	version	url	license	checksum_or_inventory	metadata_used	inspection_scope	current_outcome_artifacts_opened	retrieved_utc_date
kolf_paper	original_paper	A genome-scale CRISPRi perturbation atlas of human induced pluripotent stem cells	version_of_record_2026	https://doi.org/10.1038/s41587-026-03199-w	publisher_terms	publication_metadata	study_design;target_count;cell_coverage;controls;guides	methods_and_data_availability_only	false	2026-09-14
kolf_pubmed	official_index	PMID_39574586	2026_record	https://pubmed.ncbi.nlm.nih.gov/39574586/	NCBI_terms	metadata_record	publication_linkage;design_metadata	bibliographic_metadata_only	false	2026-09-14
kolf_bioproject	official_repository	PRJNA1173491	NCBI_record_2026-09-14	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1173491	NCBI_terms	192_BioSamples;16.72_TB_raw	accession;raw_inventory;batches;genome_build	repository_metadata_only	false	2026-09-14
kolf_figshare	official_repository	Figshare_27261219	version_1_modified_2026-06-10	https://api.figshare.com/v2/articles/27261219	CC-BY-4.0	full_h5ad_md5:afd30fde1e6ad32969c29868394385d1;bytes:189393177972	processed_file_inventory;license;provider_checksum	repository_metadata_and_file_inventory_only	false	2026-09-14
kolf_github	author_repository	KOLF2.1J_Perturbation_Cell_Atlas	commit_8f84531a784f24b14d7e2c9b80c375d7e78fd46c	https://github.com/y-doctor/KOLF2.1J_Perturbation_Cell_Atlas	MIT	gene_ids_git_blob:5cd88;NTC_whitelist_git_blob:62a5	target_symbols;NTC_whitelist;code_license	small_design_metadata_files_only	false	2026-09-14
frozen_cd4_targets	frozen_local_metadata	analyses/external_benchmark/target_folds.tsv	d03e3f3	analyses/external_benchmark/target_folds.tsv	project	mapping_sha256:c22383a1e28fed9cd2e7c667c711a997f9373fd80c8f909628f150d21a8c481a	frozen_CD4_target_symbols	local_metadata_only	false	2026-09-14
song_paper	original_paper	Decoding heterogeneous single-cell perturbation responses	version_of_record_2025	https://doi.org/10.1038/s41556-025-01626-9	publisher_terms	publication_metadata	design;high_MOI;cell_count;states	methods_and_data_availability_only	false	2026-09-14
gse249595	official_repository	GSE249595	public_2024-08-22	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249595	GEO_no_dataset_specific_license	RAW_tar_bytes:3753820160	processed_file_inventory;states;controls	repository_metadata_and_file_inventory_only	false	2026-09-14
prjna1049794	official_repository	PRJNA1049794	NCBI_record_2026-09-14	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1049794	NCBI_terms	repository_inventory	accession;study_design	repository_metadata_only	false	2026-09-14
song_guide_reference	official_repository_file	GSE249595_guides_reference.fa.gz	GEO_public_2024-08-22	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE249nnn/GSE249595/suppl/GSE249595_guides_reference.fa.gz	GEO_no_dataset_specific_license	sha256:99e99d6c14907a2cc60c4c11ed3d93e9da5cc113740489b7e8d1e8c0abe00ca6;mapping_sha256:0cb392d8c454cee3614e8f1ad11389e30866676c7992193528da1f54cfb2502e	guide_to_target_labels;NTC_count;mapping	guide_reference_metadata_only	false	2026-09-14
arc_readme	author_repository	ARC_virtual_cell_challenge_README	main_2026-09-14	https://github.com/ArcInstitute/arc-virtual-cell-atlas/tree/main/virtual-cell-challenge	not_stated_for_dataset	file_inventory	cell_type;assay;release_location	repository_metadata_only	false	2026-09-14
arc_data_design	official_institute_page	Behind_the_data_Virtual_Cell_Challenge	2025	https://arcinstitute.org/news/behind-the-data-virtual-cell-challenge	publisher_terms	publication_metadata	target_selection;split_selection;cell_count;controls	methods_metadata_only	false	2026-09-14
arc_full_release	official_institute_page	Virtual_Cell_Challenge_2026	2026	https://arcinstitute.org/news/virtual-cell-challenge-2026	publisher_terms	release_notice	full_release_availability	release_metadata_only	false	2026-09-14
nadig_paper	original_paper	Transcriptome-wide analysis of differential expression in perturbation atlases	version_of_record_2025-04-21	https://doi.org/10.1038/s41588-025-02169-3	publisher_terms	publication_metadata	design;controls;GEM_groups;availability	methods_and_data_availability_only	false	2026-09-14
gse264667	official_repository	GSE264667	GEO_public_2025-04-21	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE264667	GEO_no_dataset_specific_license	224_samples;processed_h5ad_inventory	cell_lines;processed_release;guide_design	repository_metadata_and_file_inventory_only	false	2026-09-14
prjna1100571	official_repository	PRJNA1100571	NCBI_record_2026-09-14	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1100571	NCBI_terms	raw_inventory	accession;raw_release	repository_metadata_only	false	2026-09-14
scperturb_v1_4	official_catalog_release	scPerturb_single-cell_perturbation_data	version_1.4	https://doi.org/10.5281/zenodo.13350497	CC-BY-4.0	provider_MD5s_recorded_per_file	67_entry_denominator;processed_file_inventory;licenses;checksums	catalog_metadata_and_file_inventory_only	false	2026-09-14
prior_metadata_audit	frozen_local_metadata	analyses/compositionality/results/dataset_eligibility.tsv	d03e3f3	analyses/compositionality/results/dataset_eligibility.tsv	project	67_rows	prior_denominator;metadata exclusions	local_metadata_only	false	2026-09-14
schmidt_paper	original_paper	CRISPR activation and interference screens decode stimulation responses in primary human T cells	version_of_record_2022	https://doi.org/10.1126/science.abj4008	publisher_terms	publication_metadata	primary_cell;states;targets;guides;donors	methods_and_data_availability_only	false	2026-09-14
prjna787633	official_repository	PRJNA787633	NCBI_record_2026-09-14	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA787633	NCBI_terms	16_experiments;0.23_TB	accession;study_design;GEO_link	repository_metadata_only	false	2026-09-14
gse190604	official_repository	GSE190604	GEO_public	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190604	GEO_no_dataset_specific_license	processed_release_inventory	processed_release;sample design	repository_metadata_and_file_inventory_only	false	2026-09-14
shifrut_paper	original_paper	Genome-wide CRISPR screens in primary human T cells reveal key regulators of immune function	version_of_record_2018	https://doi.org/10.1016/j.cell.2018.10.024	publisher_terms	publication_metadata	primary_cell;states;guide_panel;donors	methods_and_data_availability_only	false	2026-09-14
