state	model	nominal_mass	observed_label_set_coverage	ci_low	ci_high	targets	tie_rule	interval_type
Rest	nearest_centroid	0.5	0.4999999999999996	0.4999999999999996	0.4999999999999996	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Rest	nearest_centroid	0.8	0.7999999999999994	0.7999999999999994	0.7999999999999994	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Rest	nearest_centroid	0.95	0.949999999999999	0.949999999999999	0.949999999999999	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Rest	RNA_fingerprint_cosine	0.5	0.5515966069202071	0.539806512712736	0.562898619320639	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Rest	RNA_fingerprint_cosine	0.8	0.7850711037653143	0.7756115205690776	0.7942579564879586	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Rest	RNA_fingerprint_cosine	0.95	0.9335891869862777	0.9274496673788577	0.9391702311489317	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Rest	frozen_module_decoder	0.5	0.5423867346072078	0.5309120351548136	0.5534686188227905	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Rest	frozen_module_decoder	0.8	0.795695325843043	0.7860972433734107	0.8043122842201946	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Rest	frozen_module_decoder	0.95	0.9375085246646961	0.9317339167992723	0.9430560922937027	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Stim8hr	nearest_centroid	0.5	0.4999999999999996	0.4999999999999996	0.4999999999999996	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Stim8hr	nearest_centroid	0.8	0.7999999999999994	0.7999999999999994	0.7999999999999994	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Stim8hr	nearest_centroid	0.95	0.949999999999999	0.949999999999999	0.949999999999999	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Stim8hr	RNA_fingerprint_cosine	0.5	0.5530654403025137	0.5418576223693813	0.5641093601390814	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Stim8hr	RNA_fingerprint_cosine	0.8	0.770152762936004	0.7599332372787553	0.7796374560977912	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Stim8hr	RNA_fingerprint_cosine	0.95	0.9233243785685353	0.9167442888696844	0.9296418285035455	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Stim8hr	frozen_module_decoder	0.5	0.5478929069979561	0.5365950935617816	0.55948733850935	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Stim8hr	frozen_module_decoder	0.8	0.7841201427263772	0.7746264267435071	0.7934019422553308	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Stim8hr	frozen_module_decoder	0.95	0.9287083578000356	0.9228538344195079	0.935201330597435	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Stim48hr	nearest_centroid	0.5	0.4999999999999996	0.4999999999999996	0.4999999999999996	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Stim48hr	nearest_centroid	0.8	0.7999999999999994	0.7999999999999994	0.7999999999999994	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Stim48hr	nearest_centroid	0.95	0.949999999999999	0.949999999999999	0.949999999999999	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Stim48hr	RNA_fingerprint_cosine	0.5	0.5427063457359116	0.5316489637842825	0.5528581481957869	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Stim48hr	RNA_fingerprint_cosine	0.8	0.7693571613602395	0.7595539793733518	0.7789236835929619	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Stim48hr	RNA_fingerprint_cosine	0.95	0.9194572255996204	0.9127882703344523	0.9258471661499769	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Stim48hr	frozen_module_decoder	0.5	0.5408692479253489	0.5296665188952557	0.551977237785933	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Stim48hr	frozen_module_decoder	0.8	0.787232864809773	0.7785239115503766	0.7970258119977099	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
Stim48hr	frozen_module_decoder	0.95	0.936212775630825	0.9301770288701974	0.9419535689929527	4399	randomized_boundary_inclusion	posterior_label_set_not_conformal
