feature_id	gene_ids	gene_name	excluded_target_feature	reason
ENSG00000000419	ENSG00000000419	DPM1	False	retained_non_target_gene
ENSG00000000457	ENSG00000000457	SCYL3	False	retained_non_target_gene
ENSG00000000460	ENSG00000000460	C1orf112	False	retained_non_target_gene
ENSG00000000971	ENSG00000000971	CFH	False	retained_non_target_gene
ENSG00000001036	ENSG00000001036	FUCA2	True	cohort_cis_feature_global_mask
ENSG00000001084	ENSG00000001084	GCLC	False	retained_non_target_gene
ENSG00000001460	ENSG00000001460	STPG1	False	retained_non_target_gene
ENSG00000001461	ENSG00000001461	NIPAL3	False	retained_non_target_gene
ENSG00000001561	ENSG00000001561	ENPP4	True	cohort_cis_feature_global_mask
ENSG00000001629	ENSG00000001629	ANKIB1	False	retained_non_target_gene
ENSG00000001630	ENSG00000001630	CYP51A1	False	retained_non_target_gene
ENSG00000001631	ENSG00000001631	KRIT1	False	retained_non_target_gene
ENSG00000002016	ENSG00000002016	RAD52	False	retained_non_target_gene
ENSG00000002330	ENSG00000002330	BAD	False	retained_non_target_gene
ENSG00000002549	ENSG00000002549	LAP3	True	cohort_cis_feature_global_mask
ENSG00000002586	ENSG00000002586	CD99	True	cohort_cis_feature_global_mask
ENSG00000002587	ENSG00000002587	HS3ST1	False	retained_non_target_gene
ENSG00000002822	ENSG00000002822	MAD1L1	False	retained_non_target_gene
ENSG00000002834	ENSG00000002834	LASP1	True	cohort_cis_feature_global_mask
ENSG00000002919	ENSG00000002919	SNX11	True	cohort_cis_feature_global_mask
ENSG00000003056	ENSG00000003056	M6PR	True	cohort_cis_feature_global_mask
ENSG00000003096	ENSG00000003096	KLHL13	False	retained_non_target_gene
ENSG00000003147	ENSG00000003147	ICA1	False	retained_non_target_gene
ENSG00000003393	ENSG00000003393	ALS2	True	cohort_cis_feature_global_mask
ENSG00000003400	ENSG00000003400	CASP10	True	cohort_cis_feature_global_mask
ENSG00000003509	ENSG00000003509	NDUFAF7	False	retained_non_target_gene
ENSG00000003756	ENSG00000003756	RBM5	True	cohort_cis_feature_global_mask
ENSG00000004059	ENSG00000004059	ARF5	False	retained_non_target_gene
ENSG00000004139	ENSG00000004139	SARM1	False	retained_non_target_gene
ENSG00000004142	ENSG00000004142	POLDIP2	False	retained_non_target_gene
ENSG00000004399	ENSG00000004399	PLXND1	False	retained_non_target_gene
ENSG00000004468	ENSG00000004468	CD38	True	cohort_cis_feature_global_mask
ENSG00000004478	ENSG00000004478	FKBP4	False	retained_non_target_gene
ENSG00000004487	ENSG00000004487	KDM1A	True	cohort_cis_feature_global_mask
ENSG00000004534	ENSG00000004534	RBM6	True	cohort_cis_feature_global_mask
ENSG00000004660	ENSG00000004660	CAMKK1	False	retained_non_target_gene
ENSG00000004700	ENSG00000004700	RECQL	False	retained_non_target_gene
ENSG00000004766	ENSG00000004766	VPS50	True	cohort_cis_feature_global_mask
ENSG00000004777	ENSG00000004777	ARHGAP33	False	retained_non_target_gene
ENSG00000004779	ENSG00000004779	NDUFAB1	False	retained_non_target_gene
ENSG00000004864	ENSG00000004864	SLC25A13	True	cohort_cis_feature_global_mask
ENSG00000004866	ENSG00000004866	ST7	True	cohort_cis_feature_global_mask
ENSG00000004897	ENSG00000004897	CDC27	False	retained_non_target_gene
ENSG00000004961	ENSG00000004961	HCCS	False	retained_non_target_gene
ENSG00000004975	ENSG00000004975	DVL2	True	cohort_cis_feature_global_mask
ENSG00000005020	ENSG00000005020	SKAP2	False	retained_non_target_gene
ENSG00000005022	ENSG00000005022	SLC25A5	True	cohort_cis_feature_global_mask
ENSG00000005059	ENSG00000005059	MCUB	True	cohort_cis_feature_global_mask
ENSG00000005156	ENSG00000005156	LIG3	True	cohort_cis_feature_global_mask
ENSG00000005175	ENSG00000005175	RPAP3	False	retained_non_target_gene
ENSG00000005187	ENSG00000005187	ACSM3	False	retained_non_target_gene
ENSG00000005189	ENSG00000005189	REXO5	False	retained_non_target_gene
ENSG00000005206	ENSG00000005206	SPPL2B	False	retained_non_target_gene
ENSG00000005238	ENSG00000005238	ATOSB	False	retained_non_target_gene
ENSG00000005249	ENSG00000005249	PRKAR2B	False	retained_non_target_gene
ENSG00000005302	ENSG00000005302	MSL3	False	retained_non_target_gene
ENSG00000005339	ENSG00000005339	CREBBP	True	cohort_cis_feature_global_mask
ENSG00000005379	ENSG00000005379	TSPOAP1	False	retained_non_target_gene
ENSG00000005436	ENSG00000005436	GCFC2	True	cohort_cis_feature_global_mask
ENSG00000005448	ENSG00000005448	WDR54	True	cohort_cis_feature_global_mask
ENSG00000005469	ENSG00000005469	CROT	True	cohort_cis_feature_global_mask
ENSG00000005483	ENSG00000005483	KMT2E	True	cohort_cis_feature_global_mask
ENSG00000005486	ENSG00000005486	RHBDD2	True	cohort_cis_feature_global_mask
ENSG00000005700	ENSG00000005700	IBTK	True	cohort_cis_feature_global_mask
ENSG00000005801	ENSG00000005801	ZNF195	False	retained_non_target_gene
ENSG00000005810	ENSG00000005810	MYCBP2	False	retained_non_target_gene
ENSG00000005812	ENSG00000005812	FBXL3	True	cohort_cis_feature_global_mask
ENSG00000005844	ENSG00000005844	ITGAL	True	cohort_cis_feature_global_mask
ENSG00000005882	ENSG00000005882	PDK2	True	cohort_cis_feature_global_mask
ENSG00000005884	ENSG00000005884	ITGA3	True	cohort_cis_feature_global_mask
ENSG00000005889	ENSG00000005889	ZFX	False	retained_non_target_gene
ENSG00000005893	ENSG00000005893	LAMP2	True	cohort_cis_feature_global_mask
ENSG00000005961	ENSG00000005961	ITGA2B	False	retained_non_target_gene
ENSG00000006007	ENSG00000006007	GDE1	True	cohort_cis_feature_global_mask
ENSG00000006025	ENSG00000006025	OSBPL7	False	retained_non_target_gene
ENSG00000006042	ENSG00000006042	TMEM98	False	retained_non_target_gene
ENSG00000006062	ENSG00000006062	MAP3K14	False	retained_non_target_gene
ENSG00000006125	ENSG00000006125	AP2B1	True	cohort_cis_feature_global_mask
ENSG00000006194	ENSG00000006194	ZNF263	False	retained_non_target_gene
ENSG00000006282	ENSG00000006282	SPATA20	False	retained_non_target_gene
ENSG00000006327	ENSG00000006327	TNFRSF12A	False	retained_non_target_gene
ENSG00000006432	ENSG00000006432	MAP3K9	True	cohort_cis_feature_global_mask
ENSG00000006451	ENSG00000006451	RALA	False	retained_non_target_gene
ENSG00000006453	ENSG00000006453	BAIAP2L1	False	retained_non_target_gene
ENSG00000006459	ENSG00000006459	KDM7A	True	cohort_cis_feature_global_mask
ENSG00000006530	ENSG00000006530	AGK	True	cohort_cis_feature_global_mask
ENSG00000006555	ENSG00000006555	TTC22	False	retained_non_target_gene
ENSG00000006576	ENSG00000006576	PHTF2	False	retained_non_target_gene
ENSG00000006607	ENSG00000006607	FARP2	True	cohort_cis_feature_global_mask
ENSG00000006625	ENSG00000006625	GGCT	True	cohort_cis_feature_global_mask
ENSG00000006634	ENSG00000006634	DBF4	False	retained_non_target_gene
ENSG00000006638	ENSG00000006638	TBXA2R	False	retained_non_target_gene
ENSG00000006652	ENSG00000006652	IFRD1	True	cohort_cis_feature_global_mask
ENSG00000006695	ENSG00000006695	COX10	False	retained_non_target_gene
ENSG00000006704	ENSG00000006704	GTF2IRD1	False	retained_non_target_gene
ENSG00000006712	ENSG00000006712	PAF1	False	retained_non_target_gene
ENSG00000006715	ENSG00000006715	VPS41	False	retained_non_target_gene
ENSG00000006744	ENSG00000006744	ELAC2	False	retained_non_target_gene
ENSG00000006747	ENSG00000006747	SCIN	False	retained_non_target_gene
ENSG00000006757	ENSG00000006757	PNPLA4	True	cohort_cis_feature_global_mask
ENSG00000006831	ENSG00000006831	ADIPOR2	False	retained_non_target_gene
ENSG00000007038	ENSG00000007038	PRSS21	False	retained_non_target_gene
