heldout_state	model	inner_training_state	inner_validation_state	inverse_temperature	log_loss	targets
Rest	nearest_centroid	Stim8hr	Stim48hr	0.0	8.389132521348719	4399
Rest	nearest_centroid	Stim8hr	Stim48hr	0.1	8.542042296109477	4399
Rest	nearest_centroid	Stim8hr	Stim48hr	0.3	9.070764671138559	4399
Rest	nearest_centroid	Stim8hr	Stim48hr	1.0	11.259530274766654	4399
Rest	nearest_centroid	Stim8hr	Stim48hr	3.0	18.23986372118615	4399
Rest	nearest_centroid	Stim8hr	Stim48hr	10.0	44.391992751763006	4399
Rest	nearest_centroid	Stim8hr	Stim48hr	30.0	120.85290018651152	4399
Rest	nearest_centroid	Stim48hr	Stim8hr	0.0	8.389132521348719	4399
Rest	nearest_centroid	Stim48hr	Stim8hr	0.1	8.518761767965891	4399
Rest	nearest_centroid	Stim48hr	Stim8hr	0.3	9.019810791965803	4399
Rest	nearest_centroid	Stim48hr	Stim8hr	1.0	11.211172901732576	4399
Rest	nearest_centroid	Stim48hr	Stim8hr	3.0	18.414119382564046	4399
Rest	nearest_centroid	Stim48hr	Stim8hr	10.0	45.46790358233348	4399
Rest	nearest_centroid	Stim48hr	Stim8hr	30.0	124.61563223468501	4399
Rest	RNA_fingerprint_cosine	Stim8hr	Stim48hr	0.0	8.389132521348719	4399
Rest	RNA_fingerprint_cosine	Stim8hr	Stim48hr	0.1	8.377517404332508	4399
Rest	RNA_fingerprint_cosine	Stim8hr	Stim48hr	0.3	8.354299379114215	4399
Rest	RNA_fingerprint_cosine	Stim8hr	Stim48hr	1.0	8.273186089282925	4399
Rest	RNA_fingerprint_cosine	Stim8hr	Stim48hr	3.0	8.043888579535773	4399
Rest	RNA_fingerprint_cosine	Stim8hr	Stim48hr	10.0	7.622906593978089	4399
Rest	RNA_fingerprint_cosine	Stim8hr	Stim48hr	30.0	10.452250167026001	4399
Rest	RNA_fingerprint_cosine	Stim48hr	Stim8hr	0.0	8.389132521348719	4399
Rest	RNA_fingerprint_cosine	Stim48hr	Stim8hr	0.1	8.37752968684887	4399
Rest	RNA_fingerprint_cosine	Stim48hr	Stim8hr	0.3	8.354337089979676	4399
Rest	RNA_fingerprint_cosine	Stim48hr	Stim8hr	1.0	8.273323170116546	4399
Rest	RNA_fingerprint_cosine	Stim48hr	Stim8hr	3.0	8.04447435618149	4399
Rest	RNA_fingerprint_cosine	Stim48hr	Stim8hr	10.0	7.6424474187315115	4399
Rest	RNA_fingerprint_cosine	Stim48hr	Stim8hr	30.0	10.425826097061606	4399
Rest	frozen_module_decoder	Stim8hr	Stim48hr	0.0	8.389132521348719	4399
Rest	frozen_module_decoder	Stim8hr	Stim48hr	0.1	8.37616330225244	4399
Rest	frozen_module_decoder	Stim8hr	Stim48hr	0.3	8.350725986797414	4399
Rest	frozen_module_decoder	Stim8hr	Stim48hr	1.0	8.267099886397705	4399
Rest	frozen_module_decoder	Stim8hr	Stim48hr	3.0	8.081958496127703	4399
Rest	frozen_module_decoder	Stim8hr	Stim48hr	10.0	8.630325724003951	4399
Rest	frozen_module_decoder	Stim8hr	Stim48hr	30.0	15.466655371794708	4399
Rest	frozen_module_decoder	Stim48hr	Stim8hr	0.0	8.389132521348719	4399
Rest	frozen_module_decoder	Stim48hr	Stim8hr	0.1	8.376638906597034	4399
Rest	frozen_module_decoder	Stim48hr	Stim8hr	0.3	8.352143185340712	4399
Rest	frozen_module_decoder	Stim48hr	Stim8hr	1.0	8.271718732454696	4399
Rest	frozen_module_decoder	Stim48hr	Stim8hr	3.0	8.095400228587827	4399
Rest	frozen_module_decoder	Stim48hr	Stim8hr	10.0	8.70079201319832	4399
Rest	frozen_module_decoder	Stim48hr	Stim8hr	30.0	15.518322070414303	4399
Stim8hr	nearest_centroid	Rest	Stim48hr	0.0	8.389132521348719	4399
Stim8hr	nearest_centroid	Rest	Stim48hr	0.1	8.527328946233348	4399
Stim8hr	nearest_centroid	Rest	Stim48hr	0.3	8.989253386973104	4399
Stim8hr	nearest_centroid	Rest	Stim48hr	1.0	10.879396537746926	4399
Stim8hr	nearest_centroid	Rest	Stim48hr	3.0	16.7457663192854	4399
Stim8hr	nearest_centroid	Rest	Stim48hr	10.0	38.33189608157045	4399
Stim8hr	nearest_centroid	Rest	Stim48hr	30.0	101.3902864003824	4399
Stim8hr	nearest_centroid	Stim48hr	Rest	0.0	8.389132521348719	4399
Stim8hr	nearest_centroid	Stim48hr	Rest	0.1	8.575383368321289	4399
Stim8hr	nearest_centroid	Stim48hr	Rest	0.3	9.17262115790073	4399
Stim8hr	nearest_centroid	Stim48hr	Rest	1.0	11.643489971525963	4399
Stim8hr	nearest_centroid	Stim48hr	Rest	3.0	19.60675775300838	4399
Stim8hr	nearest_centroid	Stim48hr	Rest	10.0	49.39058309111357	4399
Stim8hr	nearest_centroid	Stim48hr	Rest	30.0	136.29173443523752	4399
Stim8hr	RNA_fingerprint_cosine	Rest	Stim48hr	0.0	8.389132521348719	4399
Stim8hr	RNA_fingerprint_cosine	Rest	Stim48hr	0.1	8.379601983574606	4399
Stim8hr	RNA_fingerprint_cosine	Rest	Stim48hr	0.3	8.360553409038888	4399
Stim8hr	RNA_fingerprint_cosine	Rest	Stim48hr	1.0	8.294027121366138	4399
Stim8hr	RNA_fingerprint_cosine	Rest	Stim48hr	3.0	8.106023540651274	4399
Stim8hr	RNA_fingerprint_cosine	Rest	Stim48hr	10.0	7.74414965367749	4399
Stim8hr	RNA_fingerprint_cosine	Rest	Stim48hr	30.0	9.939745624234561	4399
Stim8hr	RNA_fingerprint_cosine	Stim48hr	Rest	0.0	8.389132521348719	4399
Stim8hr	RNA_fingerprint_cosine	Stim48hr	Rest	0.1	8.379594025424103	4399
Stim8hr	RNA_fingerprint_cosine	Stim48hr	Rest	0.3	8.360529477291225	4399
Stim8hr	RNA_fingerprint_cosine	Stim48hr	Rest	1.0	8.293946892756683	4399
Stim8hr	RNA_fingerprint_cosine	Stim48hr	Rest	3.0	8.105777497697147	4399
Stim8hr	RNA_fingerprint_cosine	Stim48hr	Rest	10.0	7.750142987474183	4399
Stim8hr	RNA_fingerprint_cosine	Stim48hr	Rest	30.0	10.23823101884101	4399
Stim8hr	frozen_module_decoder	Rest	Stim48hr	0.0	8.389132521348719	4399
Stim8hr	frozen_module_decoder	Rest	Stim48hr	0.1	8.378553944134435	4399
