state	model	transfer_class	targets	global_classes	mean_information_score_nats	ci_low	ci_high	median_detected_norm	zero_profiles	interpretation
Rest	RNA_fingerprint_cosine	amplified	442	4399	2.279231215438443	2.1082493156060482	2.4566634007598926	0.9195147834251363	0	subgroup_performance_not_subgroup_mutual_information
Rest	RNA_fingerprint_cosine	buffered	416	4399	0.09098414343522107	0.010113770977246826	0.18238320564472862	0.0	362	subgroup_performance_not_subgroup_mutual_information
Rest	RNA_fingerprint_cosine	intermediate	3541	4399	0.7747621076328634	0.7011174978718709	0.8545337586551738	0.09987892766365777	971	subgroup_performance_not_subgroup_mutual_information
Rest	frozen_module_decoder	amplified	442	4399	1.0102265629323195	0.9285573674227608	1.0988256418330937	0.9195147834251363	0	subgroup_performance_not_subgroup_mutual_information
Rest	frozen_module_decoder	buffered	416	4399	0.021754429844223763	-0.007988322801394273	0.05523050910538552	0.0	362	subgroup_performance_not_subgroup_mutual_information
Rest	frozen_module_decoder	intermediate	3541	4399	0.2522206815615646	0.22651123651934596	0.27942350508981195	0.09987892766365777	971	subgroup_performance_not_subgroup_mutual_information
Rest	nearest_centroid	amplified	442	4399	0.0	0.0	0.0	0.9195147834251363	0	subgroup_performance_not_subgroup_mutual_information
Rest	nearest_centroid	buffered	416	4399	0.0	0.0	0.0	0.0	362	subgroup_performance_not_subgroup_mutual_information
Rest	nearest_centroid	intermediate	3541	4399	0.0	0.0	0.0	0.09987892766365777	971	subgroup_performance_not_subgroup_mutual_information
Stim48hr	RNA_fingerprint_cosine	amplified	480	4399	1.903401248663235	1.7442831493899307	2.066120703308374	0.7701648079811527	0	subgroup_performance_not_subgroup_mutual_information
Stim48hr	RNA_fingerprint_cosine	buffered	488	4399	0.08884630800804674	0.02113624135153756	0.16970382861372896	0.0	435	subgroup_performance_not_subgroup_mutual_information
Stim48hr	RNA_fingerprint_cosine	intermediate	3431	4399	0.8150065581844206	0.732137918844752	0.8989543745975279	0.09009789675474167	773	subgroup_performance_not_subgroup_mutual_information
Stim48hr	frozen_module_decoder	amplified	480	4399	0.8008841642593137	0.7146795659690828	0.8829595604178442	0.7701648079811527	0	subgroup_performance_not_subgroup_mutual_information
Stim48hr	frozen_module_decoder	buffered	488	4399	0.016689478910883616	-0.008051650853393806	0.04620596532683688	0.0	435	subgroup_performance_not_subgroup_mutual_information
Stim48hr	frozen_module_decoder	intermediate	3431	4399	0.27621029341579756	0.24719063068491645	0.3043244557508465	0.09009789675474167	773	subgroup_performance_not_subgroup_mutual_information
Stim48hr	nearest_centroid	amplified	480	4399	0.0	0.0	0.0	0.7701648079811527	0	subgroup_performance_not_subgroup_mutual_information
Stim48hr	nearest_centroid	buffered	488	4399	0.0	0.0	0.0	0.0	435	subgroup_performance_not_subgroup_mutual_information
Stim48hr	nearest_centroid	intermediate	3431	4399	0.0	0.0	0.0	0.09009789675474167	773	subgroup_performance_not_subgroup_mutual_information
Stim8hr	RNA_fingerprint_cosine	amplified	412	4399	2.7452180596393196	2.5533313315071635	2.938853453640292	0.8853241709134869	0	subgroup_performance_not_subgroup_mutual_information
Stim8hr	RNA_fingerprint_cosine	buffered	420	4399	0.07359290457271414	-0.0011824567861049616	0.1641995489927543	0.0	379	subgroup_performance_not_subgroup_mutual_information
Stim8hr	RNA_fingerprint_cosine	intermediate	3567	4399	0.8412797749208116	0.7584014920341094	0.9279239465233717	0.09542922592625154	907	subgroup_performance_not_subgroup_mutual_information
Stim8hr	frozen_module_decoder	amplified	412	4399	1.146620931478739	1.0510475619237174	1.2389799247929596	0.8853241709134869	0	subgroup_performance_not_subgroup_mutual_information
Stim8hr	frozen_module_decoder	buffered	420	4399	0.008115856107930539	-0.014087687673427322	0.03332640979438156	0.0	379	subgroup_performance_not_subgroup_mutual_information
Stim8hr	frozen_module_decoder	intermediate	3567	4399	0.26902843393971987	0.23907613473950115	0.29887628300297536	0.09542922592625154	907	subgroup_performance_not_subgroup_mutual_information
Stim8hr	nearest_centroid	amplified	412	4399	0.0	0.0	0.0	0.8853241709134869	0	subgroup_performance_not_subgroup_mutual_information
Stim8hr	nearest_centroid	buffered	420	4399	0.0	0.0	0.0	0.0	379	subgroup_performance_not_subgroup_mutual_information
Stim8hr	nearest_centroid	intermediate	3567	4399	0.0	0.0	0.0	0.09542922592625154	907	subgroup_performance_not_subgroup_mutual_information
