locus,gene,trait,feature,value,shap_value
gata3,GATA3,asthma,eQtlColocClppMaximum,0.0,-0.0003376654058229178
gata3,GATA3,asthma,pQtlColocClppMaximum,0.0,-0.0005497466772794724
gata3,GATA3,asthma,sQtlColocClppMaximum,0.0,-0.0009137896122410893
gata3,GATA3,asthma,eQtlColocH4Maximum,0.0,-0.0007379736634902656
gata3,GATA3,asthma,pQtlColocH4Maximum,0.0,-0.00042300665518268943
gata3,GATA3,asthma,sQtlColocH4Maximum,0.0,-0.000664958031848073
gata3,GATA3,asthma,eQtlColocClppMaximumNeighbourhood,0.0,-0.0011010498274117708
gata3,GATA3,asthma,pQtlColocClppMaximumNeighbourhood,0.0,-0.00020668156503234059
gata3,GATA3,asthma,sQtlColocClppMaximumNeighbourhood,0.0,-0.0004264226008672267
gata3,GATA3,asthma,eQtlColocH4MaximumNeighbourhood,0.0,-0.0010451233247295022
gata3,GATA3,asthma,pQtlColocH4MaximumNeighbourhood,0.0,-4.920313131151488e-06
gata3,GATA3,asthma,sQtlColocH4MaximumNeighbourhood,0.0,-0.0004006292438134551
gata3,GATA3,asthma,distanceSentinelFootprint,1.0,0.019084597006440163
gata3,GATA3,asthma,distanceSentinelFootprintNeighbourhood,1.0,0.15868023037910461
gata3,GATA3,asthma,distanceFootprintMean,0.9965748190879822,0.010176537558436394
gata3,GATA3,asthma,distanceFootprintMeanNeighbourhood,1.0,0.026538485661149025
gata3,GATA3,asthma,distanceTssMean,0.9953097701072693,0.023290695622563362
gata3,GATA3,asthma,distanceTssMeanNeighbourhood,1.0,0.0657254308462143
gata3,GATA3,asthma,distanceSentinelTss,0.9987598657608032,-0.008582665584981441
gata3,GATA3,asthma,distanceSentinelTssNeighbourhood,1.0,0.11420182138681412
gata3,GATA3,asthma,vepMaximum,0.3199999928474426,0.010916182771325111
gata3,GATA3,asthma,vepMaximumNeighbourhood,1.0,0.08739019930362701
gata3,GATA3,asthma,vepMean,0.03399284556508064,-6.718282384099439e-05
gata3,GATA3,asthma,vepMeanNeighbourhood,1.0,0.06242845579981804
gata3,GATA3,asthma,e2gMean,0.8451496958732605,0.015624147839844227
gata3,GATA3,asthma,e2gMeanNeighbourhood,1.0,0.07305338233709335
gata3,GATA3,asthma,geneCount500kb,15.0,0.025577539578080177
gata3,GATA3,asthma,proteinGeneCount500kb,2.0,0.11519118398427963
gata3,GATA3,asthma,credibleSetConfidence,0.75,-0.0005988922202959657
gata3,GATA3,asthma,transPQtlColocH4Maximum,0.0,-0.000707450439222157
gata3,GATA3,asthma,transPQtlColocH4MaximumNeighbourhood,0.0,-0.003109460463747382
stat3,STAT3,inflammatory bowel disease,eQtlColocClppMaximum,0.023941930383443832,0.014108543284237385
stat3,STAT3,inflammatory bowel disease,pQtlColocClppMaximum,0.020367171615362167,0.08712073415517807
stat3,STAT3,inflammatory bowel disease,sQtlColocClppMaximum,0.006808687001466751,0.005677560809999704
stat3,STAT3,inflammatory bowel disease,eQtlColocH4Maximum,0.964428186416626,0.013964170590043068
stat3,STAT3,inflammatory bowel disease,pQtlColocH4Maximum,0.958283007144928,0.04144715517759323
stat3,STAT3,inflammatory bowel disease,sQtlColocH4Maximum,0.8832253217697144,0.0028394809924066067
stat3,STAT3,inflammatory bowel disease,eQtlColocClppMaximumNeighbourhood,1.0,0.019405096769332886
stat3,STAT3,inflammatory bowel disease,pQtlColocClppMaximumNeighbourhood,1.0,0.06553354114294052
