target_gene,culture_condition,secondary_factor,source_programme_genes,secondary_programme_genes,shared_retained_genes,descriptive_sign_agreement,replication_status,compatible_occupancy,strong_cascade_claim,limitation
CEBPB,Rest,CREB1,6,199,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CEBPB,Rest,EGR1,6,0,0,,unavailable_perturbation_state,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CEBPB,Rest,HIF1A,6,1,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CEBPB,Rest,SP3,6,15,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CEBPB,Rest,USF1,6,4,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CEBPB,Stim48hr,CREB1,12,488,1,1.0,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CEBPB,Stim48hr,EGR1,12,2,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CEBPB,Stim48hr,HIF1A,12,128,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CEBPB,Stim48hr,SP3,12,112,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CEBPB,Stim48hr,USF1,12,9,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CEBPB,Stim8hr,CREB1,2,435,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CEBPB,Stim8hr,EGR1,2,6,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CEBPB,Stim8hr,HIF1A,2,2,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CEBPB,Stim8hr,SP3,2,13,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CEBPB,Stim8hr,USF1,2,8,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CREB1,Rest,CEBPB,199,6,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CREB1,Rest,EGR1,199,0,0,,unavailable_perturbation_state,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CREB1,Rest,HIF1A,199,1,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CREB1,Rest,SP3,199,15,1,0.0,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CREB1,Rest,USF1,199,4,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CREB1,Stim48hr,CEBPB,488,12,1,1.0,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CREB1,Stim48hr,EGR1,488,2,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CREB1,Stim48hr,HIF1A,488,128,7,0.5714285714285714,eligible,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CREB1,Stim48hr,SP3,488,112,7,0.14285714285714285,eligible,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
CREB1,Stim48hr,USF1,488,9,1,1.0,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
