response_row,target_gene,culture_condition,response_edges,matched_response_genes,unmatched_response_genes,matched_fraction
310,TLE5,Rest,2,1,1,0.5
312,TLE5,Stim8hr,3,2,1,0.6666666666666666
378,AHR,Rest,2789,1541,1248,0.5525277877375403
379,AHR,Stim48hr,1821,1041,780,0.57166392092257
380,AHR,Stim8hr,1776,1046,730,0.588963963963964
400,AIP,Rest,103,64,39,0.6213592233009708
401,AIP,Stim48hr,248,148,100,0.5967741935483871
402,AIP,Stim8hr,302,201,101,0.6655629139072847
894,ARID3A,Stim48hr,14,9,5,0.6428571428571429
895,ARID3A,Stim8hr,7,7,0,1.0
972,ARNT,Rest,2319,1326,993,0.5717981888745148
973,ARNT,Stim48hr,2946,1757,1189,0.5964019008825526
974,ARNT,Stim8hr,2642,1527,1115,0.5779712339137018
975,BMAL1,Rest,4,3,1,0.75
976,BMAL1,Stim48hr,1,1,0,1.0
977,BMAL1,Stim8hr,5,4,1,0.8
980,BMAL2,Stim8hr,1,1,0,1.0
1025,ASH1L,Rest,9,1,8,0.1111111111111111
1026,ASH1L,Stim48hr,7,1,6,0.14285714285714285
1027,ASH1L,Stim8hr,3,0,3,0.0
1077,ATF1,Rest,2,0,2,0.0
1078,ATF1,Stim48hr,6,4,2,0.6666666666666666
1079,ATF1,Stim8hr,1,0,1,0.0
1080,ATF2,Rest,3,0,3,0.0
1084,ATF3,Stim48hr,9,6,3,0.6666666666666666
1085,ATF4,Rest,85,52,33,0.611764705882353
1086,ATF6,Rest,1,0,1,0.0
1087,ATF6,Stim48hr,1,0,1,0.0
1088,ATF6,Stim8hr,2,1,1,0.5
1091,ATF7,Rest,2,0,2,0.0
1092,ATF7,Stim48hr,2,0,2,0.0
1093,ATF7,Stim8hr,1,1,0,1.0
1133,ATM,Rest,96,57,39,0.59375
1134,ATM,Stim48hr,142,76,66,0.5352112676056338
1135,ATM,Stim8hr,70,43,27,0.6142857142857143
1313,BACH1,Stim8hr,2,1,1,0.5
1314,BACH2,Stim48hr,3,2,1,0.6666666666666666
1315,BACH2,Stim8hr,15,7,8,0.4666666666666667
1396,BCL6,Rest,16,8,8,0.5
1397,BCL6,Stim48hr,67,37,30,0.5522388059701493
1398,BCL6,Stim8hr,28,12,16,0.42857142857142855
1454,BIN1,Rest,1,1,0,1.0
1556,BRD7,Rest,79,47,32,0.5949367088607594
1557,BRD7,Stim48hr,7,2,5,0.2857142857142857
1558,BRD7,Stim8hr,44,25,19,0.5681818181818182
1568,BRPF1,Rest,1004,610,394,0.6075697211155379
1569,BRPF1,Stim48hr,801,517,284,0.6454431960049938
1570,BRPF1,Stim8hr,1787,1060,727,0.5931729155008394
1584,BTAF1,Rest,1052,615,437,0.5846007604562737
1585,BTAF1,Stim48hr,1295,755,540,0.583011583011583
1586,BTAF1,Stim8hr,1492,886,606,0.5938337801608579
1604,BTG2,Stim48hr,1,0,1,0.0
1605,BTG2,Stim8hr,1,1,0,1.0
2031,CBX5,Rest,48,30,18,0.625
2032,CBX5,Stim48hr,561,356,205,0.6345811051693404
2033,CBX5,Stim8hr,232,131,101,0.5646551724137931
2465,CEBPB,Rest,6,3,3,0.5
2466,CEBPB,Stim48hr,12,9,3,0.75
2467,CEBPB,Stim8hr,2,2,0,1.0
2595,CHD4,Rest,1199,652,547,0.5437864887406172
2596,CHD4,Stim48hr,416,233,183,0.5600961538461539
2597,CHD4,Stim8hr,1516,877,639,0.5784960422163589
2680,CIITA,Rest,2,2,0,1.0
2681,CIITA,Stim48hr,3,1,2,0.3333333333333333
2682,CIITA,Stim8hr,1,1,0,1.0
2770,CLOCK,Rest,2,1,1,0.5
2771,CLOCK,Stim48hr,4,3,1,0.75
2772,CLOCK,Stim8hr,4,3,1,0.75
2838,CNBP,Rest,52,33,19,0.6346153846153846
2839,CNBP,Stim48hr,251,142,109,0.5657370517928287
2840,CNBP,Stim8hr,261,161,100,0.6168582375478927
3057,CREB1,Rest,199,126,73,0.6331658291457286
3058,CREB1,Stim48hr,488,301,187,0.6168032786885246
3059,CREB1,Stim8hr,435,273,162,0.6275862068965518
3061,CREBBP,Rest,1561,917,644,0.5874439461883408
3062,CREBBP,Stim48hr,1956,1162,794,0.5940695296523517
3063,CREBBP,Stim8hr,2968,1736,1232,0.5849056603773585
3074,CREG1,Stim48hr,1,0,1,0.0
3075,CREG1,Stim8hr,1,0,1,0.0
3079,CREM,Rest,1,0,1,0.0
3193,CTNNB1,Rest,6,4,2,0.6666666666666666
3194,CTNNB1,Stim48hr,60,28,32,0.4666666666666667
3249,CUX1,Rest,28,11,17,0.39285714285714285
3250,CUX1,Stim48hr,1,1,0,1.0
3251,CUX1,Stim8hr,1,0,1,0.0
3445,DDB2,Rest,3,2,1,0.6666666666666666
3446,DDB2,Stim48hr,28,18,10,0.6428571428571429
3447,DDB2,Stim8hr,3,0,3,0.0
3458,DDIT3,Stim48hr,4,2,2,0.5
3497,DEK,Rest,93,53,40,0.5698924731182796
3498,DEK,Stim48hr,81,37,44,0.4567901234567901
3499,DEK,Stim8hr,45,26,19,0.5777777777777777
3746,DNMT3A,Rest,31,17,14,0.5483870967741935
3818,DR1,Rest,102,61,41,0.5980392156862745
3819,DR1,Stim48hr,594,355,239,0.5976430976430976
3820,DR1,Stim8hr,434,253,181,0.5829493087557603
3929,E2F3,Rest,6,0,6,0.0
3930,E2F5,Stim48hr,1,0,1,0.0
3931,E2F5,Stim8hr,2,2,0,1.0
3932,E2F6,Rest,5,1,4,0.2
3933,E2F6,Stim48hr,19,8,11,0.42105263157894735
3934,E2F6,Stim8hr,7,6,1,0.8571428571428571
3935,E2F7,Rest,5,2,3,0.4
3936,E2F7,Stim48hr,1,0,1,0.0
3938,E2F8,Rest,1,0,1,0.0
3939,E2F8,Stim8hr,3,1,2,0.3333333333333333
3940,EAF1,Rest,2,2,0,1.0
3941,EAF1,Stim48hr,6,4,2,0.6666666666666666
3942,EAF1,Stim8hr,1,1,0,1.0
4024,EGR1,Stim48hr,2,1,1,0.5
4025,EGR1,Stim8hr,6,5,1,0.8333333333333334
4026,EGR2,Stim48hr,253,151,102,0.5968379446640316
4027,EGR2,Stim8hr,854,535,319,0.6264637002341921
4028,EGR3,Stim48hr,1,0,1,0.0
4029,EGR3,Stim8hr,101,61,40,0.6039603960396039
4042,EHMT2,Rest,1428,789,639,0.5525210084033614
4043,EHMT2,Stim48hr,1006,604,402,0.6003976143141153
4044,EHMT2,Stim8hr,1177,655,522,0.556499575191164
4062,EIF2AK2,Rest,2,2,0,1.0
4063,EIF2AK2,Stim48hr,3,3,0,1.0
4064,EIF2AK2,Stim8hr,4,3,1,0.75
4085,EIF4EBP1,Rest,1,1,0,1.0
4087,EIF4EBP1,Stim8hr,1,1,0,1.0
4110,ELF4,Rest,85,54,31,0.6352941176470588
4111,ELF4,Stim48hr,11,8,3,0.7272727272727273
4112,ELF4,Stim8hr,66,39,27,0.5909090909090909
4113,ELK1,Rest,7,4,3,0.5714285714285714
4114,ELK1,Stim48hr,5,1,4,0.2
4115,ELK1,Stim8hr,29,15,14,0.5172413793103449
4118,ELK3,Stim8hr,1,0,1,0.0
4119,ELK4,Rest,1,0,1,0.0
4121,ELK4,Stim8hr,2,1,1,0.5
4229,EP300,Rest,73,48,25,0.6575342465753424
4230,EP300,Stim48hr,177,113,64,0.6384180790960452
4231,EP300,Stim8hr,158,114,44,0.7215189873417721
4232,EPAS1,Stim48hr,19,9,10,0.47368421052631576
4281,ERF,Rest,51,29,22,0.5686274509803921
4318,ESRRA,Stim48hr,24,12,12,0.5
4319,ESRRA,Stim8hr,20,9,11,0.45
4332,ETS2,Rest,1,1,0,1.0
4333,ETS2,Stim48hr,1,1,0,1.0
4334,ETS2,Stim8hr,4,1,3,0.25
4335,ETV3,Rest,4,4,0,1.0
4338,ETV6,Rest,2,1,1,0.5
4339,ETV6,Stim8hr,1,0,1,0.0
4785,FLI1,Rest,314,193,121,0.6146496815286624
4786,FLI1,Stim48hr,64,47,17,0.734375
4787,FLI1,Stim8hr,282,176,106,0.624113475177305
4835,FOS,Stim48hr,2,1,1,0.5
4836,FOSL1,Stim48hr,1,0,1,0.0
4837,FOSL2,Rest,34,21,13,0.6176470588235294
4838,FOSL2,Stim48hr,197,126,71,0.6395939086294417
4839,FOSL2,Stim8hr,50,35,15,0.7
4850,FOXK2,Stim48hr,1,1,0,1.0
4855,FOXO1,Rest,1327,808,519,0.6088922381311228
4856,FOXO1,Stim48hr,580,353,227,0.6086206896551725
4857,FOXO1,Stim8hr,846,524,322,0.6193853427895981
4858,FOXO3,Rest,5,2,3,0.4
4859,FOXO3,Stim8hr,22,15,7,0.6818181818181818
4860,FOXO4,Rest,13,11,2,0.8461538461538461
4861,FOXO4,Stim48hr,11,9,2,0.8181818181818182
4862,FOXO4,Stim8hr,9,7,2,0.7777777777777778
4863,FOXP3,Rest,2,0,2,0.0
4864,FOXP3,Stim48hr,3,1,2,0.3333333333333333
4865,FOXP3,Stim8hr,3,0,3,0.0
4909,FUBP1,Rest,552,327,225,0.592391304347826
4910,FUBP1,Stim48hr,1252,714,538,0.5702875399361023
4911,FUBP1,Stim8hr,1192,683,509,0.572986577181208
4927,FUS,Stim8hr,1,0,1,0.0
5028,GATA3,Rest,887,543,344,0.6121758737316798
5029,GATA3,Stim48hr,1252,757,495,0.604632587859425
5030,GATA3,Stim8hr,1238,791,447,0.6389337641357028
5472,GTF2A1,Rest,7,4,3,0.5714285714285714
5473,GTF2A1,Stim48hr,42,22,20,0.5238095238095238
5474,GTF2A1,Stim8hr,29,19,10,0.6551724137931034
5476,GTF2I,Rest,14,9,5,0.6428571428571429
