response_row,target_gene,culture_condition,inferred_tf,regulon_genes,weighted_mean_score,ulm_score,evidence_status,activity_inference_status
2465,CEBPB,Rest,CEBPB,22,0.0,0.025185753267693088,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
2466,CEBPB,Stim48hr,CEBPB,22,0.0,0.08064984957830842,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
2467,CEBPB,Stim8hr,CEBPB,22,0.0,0.05305320657341449,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
3057,CREB1,Rest,CEBPB,22,-0.0012726514515551653,-1.2413902924344322,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
3058,CREB1,Stim48hr,CEBPB,22,-0.005189914594997059,-4.329385039286317,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
3059,CREB1,Stim8hr,CEBPB,22,0.0004594570703127167,0.48412220798263544,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5028,GATA3,Rest,CEBPB,22,0.006289337550035932,2.2954631397212055,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5029,GATA3,Stim48hr,CEBPB,22,-0.052815367256037214,-14.4319055196116,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5030,GATA3,Stim8hr,CEBPB,22,-0.0200235990553417,-7.291671692657984,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5685,HIF1A,Rest,CEBPB,22,0.0,-0.03787150086722821,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5686,HIF1A,Stim48hr,CEBPB,22,-0.016638693484393032,-7.435691681510129,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5687,HIF1A,Stim8hr,CEBPB,22,0.0,-0.04591289162955917,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
12208,SP3,Rest,CEBPB,22,0.0,0.09975383060213114,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
12209,SP3,Stim48hr,CEBPB,22,0.0,0.19810887563790042,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
12210,SP3,Stim8hr,CEBPB,22,0.0,0.06990290547791729,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
14321,USF1,Rest,CEBPB,22,0.0,0.07328248579691411,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
14322,USF1,Stim48hr,CEBPB,22,0.0,0.03776688266951934,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
14323,USF1,Stim8hr,CEBPB,22,0.0,0.060988756933516186,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
2465,CEBPB,Rest,CREB1,29,0.0,0.028034767209303722,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
2466,CEBPB,Stim48hr,CREB1,29,-0.002624369643885514,-5.793663374209401,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
2467,CEBPB,Stim8hr,CREB1,29,0.0,0.05905459002503225,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
3057,CREB1,Rest,CREB1,29,0.0,0.1689171322672269,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
3058,CREB1,Stim48hr,CREB1,29,-0.003937176589308114,-3.763962423421676,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
