pchic_threshold,active_chromatin_rule,promoter_upstream_bp,physical_active_edges,ctcf_promoter_bound_edges,response_edges,physical_active_fraction
5.0,atac_and_h3k27ac,1000,75700,0,124798,0.6065802336575906
5.0,atac_and_h3k27ac,2000,75700,0,124798,0.6065802336575906
5.0,atac_and_h3k27ac,5000,75700,0,124798,0.6065802336575906
5.0,atac_or_h3k27ac,1000,86142,0,124798,0.6902514463372811
5.0,atac_or_h3k27ac,2000,86142,0,124798,0.6902514463372811
5.0,atac_or_h3k27ac,5000,86142,0,124798,0.6902514463372811
6.0,atac_and_h3k27ac,1000,67522,0,124798,0.5410503373451497
6.0,atac_and_h3k27ac,2000,67522,0,124798,0.5410503373451497
6.0,atac_and_h3k27ac,5000,67522,0,124798,0.5410503373451497
6.0,atac_or_h3k27ac,1000,77777,0,124798,0.6232231285757784
6.0,atac_or_h3k27ac,2000,77777,0,124798,0.6232231285757784
6.0,atac_or_h3k27ac,5000,77777,0,124798,0.6232231285757784
7.5,atac_and_h3k27ac,1000,56027,0,124798,0.4489414894469463
7.5,atac_and_h3k27ac,2000,56027,0,124798,0.4489414894469463
7.5,atac_and_h3k27ac,5000,56027,0,124798,0.4489414894469463
7.5,atac_or_h3k27ac,1000,66175,0,124798,0.5302568951425504
7.5,atac_or_h3k27ac,2000,66175,0,124798,0.5302568951425504
7.5,atac_or_h3k27ac,5000,66175,0,124798,0.5302568951425504
