culture_condition,metric,estimate,ci_low,ci_high,targets,target_states,status,cohort
Rest,Regulatory support proxy,0.046342816499282735,0.027053657873367186,0.06739696409839016,134,134,estimable,identical_complete_state_targets_with_finite_metric
Stim8hr,Regulatory support proxy,0.04509175498476234,0.028055787397837133,0.06395177130785769,134,134,estimable,identical_complete_state_targets_with_finite_metric
Stim48hr,Regulatory support proxy,0.032230845783686894,0.020895601806517408,0.04539781257274124,134,134,estimable,identical_complete_state_targets_with_finite_metric
Rest,Supported cascade depth,1.4429444956262967,1.3203832069312487,1.5700964808365643,47,47,estimable,identical_complete_state_targets_with_finite_metric
Stim8hr,Supported cascade depth,1.4920880011025708,1.376812991944494,1.6162834678342233,47,47,estimable,identical_complete_state_targets_with_finite_metric
Stim48hr,Supported cascade depth,1.4801534042888267,1.3606200089506695,1.6028004558687796,47,47,estimable,identical_complete_state_targets_with_finite_metric
Rest,Signed agreement,0.6885046113306982,0.5555039525691698,0.8169614624505929,23,23,estimable,identical_complete_state_targets_with_finite_metric
Stim8hr,Signed agreement,0.7029781812390508,0.5748576604554866,0.8346273291925465,23,23,estimable,identical_complete_state_targets_with_finite_metric
Stim48hr,Signed agreement,0.6505503288271831,0.5136007528011205,0.7796846455973693,23,23,estimable,identical_complete_state_targets_with_finite_metric
Rest,Module coherence,0.22992321848869324,0.21590064465999603,0.24312591552734375,134,134,estimable,identical_complete_state_targets_with_finite_metric
Stim8hr,Module coherence,0.2260630577802658,0.2104104608297348,0.24091680347919464,134,134,estimable,identical_complete_state_targets_with_finite_metric
Stim48hr,Module coherence,0.22406043112277985,0.21031205356121063,0.23912999033927917,134,134,estimable,identical_complete_state_targets_with_finite_metric
Rest,Module rerouting,0.3681085493144268,0.34327911634314906,0.3903389752160539,134,134,estimable,identical_complete_state_targets_with_finite_metric
Stim8hr,Module rerouting,0.36670388465144976,0.3426915301543083,0.3898560147101023,134,134,estimable,identical_complete_state_targets_with_finite_metric
Stim48hr,Module rerouting,0.3688515515621,0.3456950134249057,0.39087722375673845,134,134,estimable,identical_complete_state_targets_with_finite_metric
Rest,Transfer gain,1.7345687450798088,1.3720247293125205,2.0784232568103644,134,134,estimable,identical_complete_state_targets_with_finite_metric
Stim8hr,Transfer gain,1.9733297311797224,1.6056893857548376,2.3073726881154184,134,134,estimable,identical_complete_state_targets_with_finite_metric
Stim48hr,Transfer gain,1.9280547981523073,1.5755202442324898,2.281272617299457,134,134,estimable,identical_complete_state_targets_with_finite_metric
Rest,Direct occupancy support,,,,0,0,unavailable_no_eligible_occupancy_matched_factor,none
Stim8hr,Direct occupancy support,,,,0,0,unavailable_no_eligible_occupancy_matched_factor,none
Stim48hr,Direct occupancy support,,,,0,0,unavailable_no_eligible_occupancy_matched_factor,none
