specification_id,minimum_cells,minimum_guides,on_target_rule,transfer_definition,model_family,covariate_set,cross_validation_seed,module_resolution,reason
961,100,3,significant,distal_gene_count_residual,ridge,minimal,20260912,,insufficient_rows_or_targets
965,100,3,significant,distal_gene_count_residual,ridge,minimal,20261119,,insufficient_rows_or_targets
969,100,3,significant,distal_gene_count_residual,ridge,observability,20261031,,insufficient_rows_or_targets
973,100,3,significant,distal_gene_count_residual,ridge,reproducibility,20261013,,insufficient_rows_or_targets
977,100,3,significant,distal_gene_count_residual,ridge,no_state,20260929,,insufficient_rows_or_targets
981,100,3,significant,distal_gene_count_residual,huber_regression,minimal,20260912,,insufficient_rows_or_targets
985,100,3,significant,distal_gene_count_residual,huber_regression,minimal,20261119,,insufficient_rows_or_targets
989,100,3,significant,distal_gene_count_residual,huber_regression,observability,20261031,,insufficient_rows_or_targets
993,100,3,significant,distal_gene_count_residual,huber_regression,reproducibility,20261013,,insufficient_rows_or_targets
997,100,3,significant,distal_gene_count_residual,huber_regression,no_state,20260929,,insufficient_rows_or_targets
1001,100,3,significant,distal_gene_count_residual,sparse_nonlinear,minimal,20260912,,insufficient_rows_or_targets
1005,100,3,significant,distal_gene_count_residual,sparse_nonlinear,minimal,20261119,,insufficient_rows_or_targets
1009,100,3,significant,distal_gene_count_residual,sparse_nonlinear,observability,20261031,,insufficient_rows_or_targets
1013,100,3,significant,distal_gene_count_residual,sparse_nonlinear,reproducibility,20261013,,insufficient_rows_or_targets
1017,100,3,significant,distal_gene_count_residual,sparse_nonlinear,no_state,20260929,,insufficient_rows_or_targets
1021,100,3,significant,distal_gene_count_residual,graph_readout,minimal,20260912,,insufficient_rows_or_targets
1025,100,3,significant,distal_gene_count_residual,graph_readout,minimal,20261119,,insufficient_rows_or_targets
1029,100,3,significant,distal_gene_count_residual,graph_readout,observability,20261031,,insufficient_rows_or_targets
1033,100,3,significant,distal_gene_count_residual,graph_readout,reproducibility,20261013,,insufficient_rows_or_targets
1037,100,3,significant,distal_gene_count_residual,graph_readout,no_state,20260929,,insufficient_rows_or_targets
1041,100,3,significant,debiased_response_l2_gain,ridge,minimal,20260912,,insufficient_rows_or_targets
1045,100,3,significant,debiased_response_l2_gain,ridge,minimal,20261119,,insufficient_rows_or_targets
1049,100,3,significant,debiased_response_l2_gain,ridge,observability,20261031,,insufficient_rows_or_targets
