excluded_source_chromosome,subset,scope,metric,estimate,full_estimate,difference_from_full,denominator,source_chromosomes_retained,null_finite_replicates,null_denominator_median,permutation_p_upper,strata_frozen,permutation_mappings_frozen
1,primary,overall,direction_agreement,0.5849056603773585,0.5858823529411765,-0.000976692563818049,424,18,1000,210.0,0.14285714285714285,True,True
1,primary,overall,score_spearman,0.20103477580044862,0.20242085916217342,-0.0013860833617247992,424,18,1000,210.0,0.13486513486513488,True,True
1,primary,Rest,direction_agreement,0.7407407407407407,0.7423312883435583,-0.0015905476028176269,162,16,1000,48.5,0.06993006993006994,True,True
1,primary,Rest,score_spearman,0.46266049936339293,0.4642587211814317,-0.0015982218180387586,162,16,1000,48.5,0.07092907092907093,True,True
1,primary,Stim8hr,direction_agreement,0.5147058823529411,0.5147058823529411,0.0,136,15,1000,65.0,0.34465534465534464,True,True
1,primary,Stim8hr,score_spearman,0.019920285026256597,0.019920285026256597,0.0,136,15,1000,65.0,0.5114885114885115,True,True
1,primary,Stim48hr,direction_agreement,0.4603174603174603,0.4603174603174603,0.0,126,15,1000,85.0,0.7772227772227772,True,True
1,primary,Stim48hr,score_spearman,-0.004536081466409906,-0.004536081466409906,0.0,126,15,1000,85.0,0.6963036963036963,True,True
1,bonferroni,overall,direction_agreement,0.5324675324675324,0.5324675324675324,0.0,154,13,1000,55.0,0.46053946053946054,True,True
1,bonferroni,overall,score_spearman,0.18517063497338632,0.18517063497338632,0.0,154,13,1000,55.0,0.3756243756243756,True,True
1,bonferroni,Rest,direction_agreement,0.7719298245614035,0.7719298245614035,0.0,57,11,1000,14.0,0.14185814185814186,True,True
1,bonferroni,Rest,score_spearman,0.4709638834504549,0.4709638834504549,0.0,57,11,977,14.0,0.17075664621676892,True,True
1,bonferroni,Stim8hr,direction_agreement,0.3541666666666667,0.3541666666666667,0.0,48,10,1000,18.0,0.7952047952047953,True,True
1,bonferroni,Stim8hr,score_spearman,0.004113076543803678,0.004113076543803678,0.0,48,10,989,18.0,0.6171717171717171,True,True
1,bonferroni,Stim48hr,direction_agreement,0.42857142857142855,0.42857142857142855,0.0,49,8,1000,21.0,0.7762237762237763,True,True
1,bonferroni,Stim48hr,score_spearman,0.01726221720740294,0.01726221720740294,0.0,49,8,989,21.0,0.6737373737373737,True,True
2,primary,overall,direction_agreement,0.5990338164251208,0.5858823529411765,0.013151463483944248,414,18,1000,214.0,0.11288711288711288,True,True
2,primary,overall,score_spearman,0.2272814068082242,0.20242085916217342,0.02486054764605078,414,18,1000,214.0,0.11388611388611389,True,True
2,primary,Rest,direction_agreement,0.7423312883435583,0.7423312883435583,0.0,163,17,1000,50.0,0.06493506493506493,True,True
2,primary,Rest,score_spearman,0.4642587211814317,0.4642587211814317,0.0,163,17,1000,50.0,0.06493506493506493,True,True
2,primary,Stim8hr,direction_agreement,0.5343511450381679,0.5147058823529411,0.019645262685226816,131,14,1000,66.0,0.2987012987012987,True,True
2,primary,Stim8hr,score_spearman,0.07450517655857124,0.019920285026256597,0.05458489153231464,131,14,1000,66.0,0.4385614385614386,True,True
2,primary,Stim48hr,direction_agreement,0.475,0.4603174603174603,0.014682539682539686,120,14,1000,85.5,0.7362637362637363,True,True
2,primary,Stim48hr,score_spearman,0.03228117326481213,-0.004536081466409906,0.036817254731222035,120,14,1000,85.5,0.6283716283716284,True,True
2,bonferroni,overall,direction_agreement,0.5324675324675324,0.5324675324675324,0.0,154,13,1000,56.0,0.4595404595404595,True,True
2,bonferroni,overall,score_spearman,0.18517063497338632,0.18517063497338632,0.0,154,13,1000,56.0,0.36363636363636365,True,True
2,bonferroni,Rest,direction_agreement,0.7719298245614035,0.7719298245614035,0.0,57,11,1000,14.0,0.13586413586413587,True,True
2,bonferroni,Rest,score_spearman,0.4709638834504549,0.4709638834504549,0.0,57,11,977,14.0,0.1605316973415133,True,True
2,bonferroni,Stim8hr,direction_agreement,0.3541666666666667,0.3541666666666667,0.0,48,10,1000,18.5,0.7992007992007992,True,True
2,bonferroni,Stim8hr,score_spearman,0.004113076543803678,0.004113076543803678,0.0,48,10,990,19.0,0.6226034308779012,True,True
2,bonferroni,Stim48hr,direction_agreement,0.42857142857142855,0.42857142857142855,0.0,49,8,1000,21.0,0.7792207792207793,True,True
2,bonferroni,Stim48hr,score_spearman,0.01726221720740294,0.01726221720740294,0.0,49,8,989,22.0,0.6636363636363637,True,True
3,primary,overall,direction_agreement,0.5759036144578313,0.5858823529411765,-0.009978738483345184,415,18,1000,198.0,0.16583416583416583,True,True
3,primary,overall,score_spearman,0.18615311292078857,0.20242085916217342,-0.016267746241384856,415,18,1000,198.0,0.16683316683316685,True,True
3,primary,Rest,direction_agreement,0.7341772151898734,0.7423312883435583,-0.008154073153684882,158,16,1000,47.0,0.07592407592407592,True,True
3,primary,Rest,score_spearman,0.44651747292934507,0.4642587211814317,-0.017741248252086617,158,16,1000,47.0,0.07392607392607392,True,True
3,primary,Stim8hr,direction_agreement,0.4961832061068702,0.5147058823529411,-0.0185226762460709,131,14,1000,60.0,0.4125874125874126,True,True
3,primary,Stim8hr,score_spearman,-0.0005477471354607774,0.019920285026256597,-0.020468032161717373,131,14,1000,60.0,0.5304695304695305,True,True
3,primary,Stim48hr,direction_agreement,0.4603174603174603,0.4603174603174603,0.0,126,15,1000,80.0,0.7522477522477522,True,True
3,primary,Stim48hr,score_spearman,-0.004536081466409906,-0.004536081466409906,0.0,126,15,1000,80.0,0.7022977022977023,True,True
3,bonferroni,overall,direction_agreement,0.5263157894736842,0.5324675324675324,-0.0061517429938482415,152,12,1000,53.0,0.4925074925074925,True,True
3,bonferroni,overall,score_spearman,0.1898068800112185,0.18517063497338632,0.004636245037832193,152,12,1000,53.0,0.3966033966033966,True,True
3,bonferroni,Rest,direction_agreement,0.7678571428571429,0.7719298245614035,-0.004072681704260561,56,10,1000,13.0,0.15684315684315683,True,True
3,bonferroni,Rest,score_spearman,0.4681491219193345,0.4709638834504549,-0.0028147615311204244,56,10,973,14.0,0.1601642710472279,True,True
3,bonferroni,Stim8hr,direction_agreement,0.3404255319148936,0.3541666666666667,-0.013741134751773076,47,9,1000,18.0,0.8011988011988012,True,True
3,bonferroni,Stim8hr,score_spearman,0.027182711096331764,0.004113076543803678,0.023069634552528084,47,9,982,18.0,0.612410986775178,True,True
3,bonferroni,Stim48hr,direction_agreement,0.42857142857142855,0.42857142857142855,0.0,49,8,1000,20.0,0.8051948051948052,True,True
3,bonferroni,Stim48hr,score_spearman,0.01726221720740294,0.01726221720740294,0.0,49,8,986,20.0,0.6869300911854104,True,True
4,primary,overall,direction_agreement,0.5944584382871536,0.5858823529411765,0.008576085345977091,397,18,1000,194.0,0.14085914085914086,True,True
4,primary,overall,score_spearman,0.225344988185199,0.20242085916217342,0.02292412902302557,397,18,1000,194.0,0.13486513486513488,True,True
4,primary,Rest,direction_agreement,0.7375,0.7423312883435583,-0.004831288343558282,160,16,1000,45.0,0.08591408591408592,True,True
4,primary,Rest,score_spearman,0.46168439422525737,0.4642587211814317,-0.002574326956174322,160,16,1000,45.0,0.07992007992007992,True,True
4,primary,Stim8hr,direction_agreement,0.5304347826086957,0.5147058823529411,0.015728900255754574,115,14,1000,61.0,0.35064935064935066,True,True
4,primary,Stim8hr,score_spearman,0.05415824250291565,0.019920285026256597,0.03423795747665905,115,14,1000,61.0,0.5304695304695305,True,True
4,primary,Stim48hr,direction_agreement,0.4672131147540984,0.4603174603174603,0.006895654436638088,122,14,1000,80.0,0.8171828171828172,True,True
4,primary,Stim48hr,score_spearman,0.027282509607172586,-0.004536081466409906,0.031818591073582494,122,14,1000,80.0,0.6953046953046953,True,True
4,bonferroni,overall,direction_agreement,0.5323741007194245,0.5324675324675324,-9.343174810794164e-05,139,12,1000,51.0,0.5394605394605395,True,True
4,bonferroni,overall,score_spearman,0.18971485970188598,0.18517063497338632,0.004544224728499663,139,12,1000,51.0,0.43156843156843155,True,True
4,bonferroni,Rest,direction_agreement,0.7592592592592593,0.7719298245614035,-0.012670565302144166,54,10,1000,13.0,0.16183816183816183,True,True
4,bonferroni,Rest,score_spearman,0.45473781191853996,0.4709638834504549,-0.016226071531914965,54,10,966,13.0,0.1892450879007239,True,True
4,bonferroni,Stim8hr,direction_agreement,0.3157894736842105,0.3541666666666667,-0.038377192982456176,38,9,1000,17.0,0.8951048951048951,True,True
4,bonferroni,Stim8hr,score_spearman,0.04065394857585765,0.004113076543803678,0.03654087203205397,38,9,984,17.0,0.6467005076142132,True,True
4,bonferroni,Stim48hr,direction_agreement,0.44680851063829785,0.42857142857142855,0.018237082066869303,47,7,1000,19.0,0.7972027972027972,True,True
4,bonferroni,Stim48hr,score_spearman,0.04046092164340331,0.01726221720740294,0.02319870443600037,47,7,983,19.0,0.6961382113821138,True,True
5,primary,overall,direction_agreement,0.5839243498817966,0.5858823529411765,-0.001958003059379876,423,18,1000,152.0,0.22077922077922077,True,True
5,primary,overall,score_spearman,0.202848356941564,0.20242085916217342,0.00042749777939057876,423,18,1000,152.0,0.17682317682317683,True,True
5,primary,Rest,direction_agreement,0.7391304347826086,0.7423312883435583,-0.003200853560949679,161,16,1000,39.0,0.0959040959040959,True,True
5,primary,Rest,score_spearman,0.4666610115760124,0.4642587211814317,0.0024022903945807306,161,16,1000,39.0,0.08891108891108891,True,True
5,primary,Stim8hr,direction_agreement,0.5147058823529411,0.5147058823529411,0.0,136,15,1000,53.0,0.46353646353646355,True,True
5,primary,Stim8hr,score_spearman,0.019920285026256597,0.019920285026256597,0.0,136,15,1000,53.0,0.5904095904095904,True,True
5,primary,Stim48hr,direction_agreement,0.4603174603174603,0.4603174603174603,0.0,126,15,1000,52.0,0.7042957042957043,True,True
5,primary,Stim48hr,score_spearman,-0.004536081466409906,-0.004536081466409906,0.0,126,15,1000,52.0,0.5664335664335665,True,True
5,bonferroni,overall,direction_agreement,0.5324675324675324,0.5324675324675324,0.0,154,13,1000,44.0,0.4785214785214785,True,True
5,bonferroni,overall,score_spearman,0.18517063497338632,0.18517063497338632,0.0,154,13,1000,44.0,0.3836163836163836,True,True
5,bonferroni,Rest,direction_agreement,0.7719298245614035,0.7719298245614035,0.0,57,11,1000,11.0,0.18581418581418582,True,True
5,bonferroni,Rest,score_spearman,0.4709638834504549,0.4709638834504549,0.0,57,11,964,12.0,0.1927461139896373,True,True
5,bonferroni,Stim8hr,direction_agreement,0.3541666666666667,0.3541666666666667,0.0,48,10,1000,16.0,0.7972027972027972,True,True
5,bonferroni,Stim8hr,score_spearman,0.004113076543803678,0.004113076543803678,0.0,48,10,981,17.0,0.6191446028513238,True,True
5,bonferroni,Stim48hr,direction_agreement,0.42857142857142855,0.42857142857142855,0.0,49,8,1000,13.0,0.6803196803196803,True,True
5,bonferroni,Stim48hr,score_spearman,0.01726221720740294,0.01726221720740294,0.0,49,8,950,14.0,0.5846477392218717,True,True
6,primary,overall,direction_agreement,0.5909090909090909,0.5858823529411765,0.005026737967914419,396,18,1000,207.5,0.13286713286713286,True,True
6,primary,overall,score_spearman,0.22769097704251776,0.20242085916217342,0.025270117880344334,396,18,1000,207.5,0.1108891108891109,True,True
6,primary,Rest,direction_agreement,0.7581699346405228,0.7423312883435583,0.01583864629696452,153,16,1000,49.0,0.054945054945054944,True,True
6,primary,Rest,score_spearman,0.49017760041001146,0.4642587211814317,0.025918879228579772,153,16,1000,49.0,0.061938061938061936,True,True
6,primary,Stim8hr,direction_agreement,0.5078125,0.5147058823529411,-0.006893382352941124,128,14,1000,64.0,0.37962037962037964,True,True
6,primary,Stim8hr,score_spearman,0.021088315770696333,0.019920285026256597,0.001168030744439736,128,14,1000,64.0,0.5314685314685315,True,True
6,primary,Stim48hr,direction_agreement,0.4608695652173913,0.4603174603174603,0.0005521048999310163,115,14,1000,83.5,0.7522477522477522,True,True
6,primary,Stim48hr,score_spearman,-0.010746706089416818,-0.004536081466409906,-0.006210624623006911,115,14,1000,83.5,0.6923076923076923,True,True
6,bonferroni,overall,direction_agreement,0.5217391304347826,0.5324675324675324,-0.010728402032749829,138,12,1000,54.0,0.4855144855144855,True,True
6,bonferroni,overall,score_spearman,0.2187923558106827,0.18517063497338632,0.03362172083729639,138,12,1000,54.0,0.31368631368631367,True,True
6,bonferroni,Rest,direction_agreement,0.7884615384615384,0.7719298245614035,0.01653171390013497,52,10,1000,14.0,0.13586413586413587,True,True
6,bonferroni,Rest,score_spearman,0.5139307185712302,0.4709638834504549,0.04296683512077526,52,10,974,14.0,0.13641025641025642,True,True
6,bonferroni,Stim8hr,direction_agreement,0.32558139534883723,0.3541666666666667,-0.028585271317829453,43,9,1000,18.0,0.8471528471528471,True,True
6,bonferroni,Stim8hr,score_spearman,0.000536228390016943,0.004113076543803678,-0.0035768481537867347,43,9,988,18.0,0.6329625884732053,True,True
6,bonferroni,Stim48hr,direction_agreement,0.3953488372093023,0.42857142857142855,-0.03322259136212624,43,7,1000,21.0,0.8051948051948052,True,True
