stratum_key,distinct_targets,state_availability,permutable
states=Rest|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:high,7,Rest,True
states=Rest|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:low,9,Rest,True
states=Rest|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:high,52,Rest,True
states=Rest|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:low,16,Rest,True
states=Rest|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:high,16,Rest,True
states=Rest|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:low,31,Rest,True
states=Rest|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:high,58,Rest,True
states=Rest|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:low,34,Rest,True
"states=Rest,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:high",6,"Rest,Stim48hr",True
"states=Rest,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",3,"Rest,Stim48hr",False
"states=Rest,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",1,"Rest,Stim48hr",False
"states=Rest,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:high|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:high",2,"Rest,Stim48hr",False
"states=Rest,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",7,"Rest,Stim48hr",True
"states=Rest,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",3,"Rest,Stim48hr",False
"states=Rest,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",17,"Rest,Stim48hr",True
"states=Rest,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",4,"Rest,Stim48hr",False
"states=Rest,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:high|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",3,"Rest,Stim48hr",False
"states=Rest,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",1,"Rest,Stim48hr",False
