target,state_availability,available_Rest,Rest_target_baseMean_bin,Rest_n_cells_target_bin,Rest_response_degree_bin,available_Stim8hr,Stim8hr_target_baseMean_bin,Stim8hr_n_cells_target_bin,Stim8hr_response_degree_bin,available_Stim48hr,Stim48hr_target_baseMean_bin,Stim48hr_n_cells_target_bin,Stim48hr_response_degree_bin,stratum_key,stratum_targets,permutable_stratum
ENSG00000001036,"Rest,Stim8hr,Stim48hr",True,low,low,low,True,low,low,high,True,low,low,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",42,True
ENSG00000001561,"Rest,Stim8hr,Stim48hr",True,low,low,low,True,low,low,low,True,low,low,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",212,True
ENSG00000002016,"Stim8hr,Stim48hr",False,NA,NA,NA,True,low,low,low,True,low,low,low,"states=Stim8hr,Stim48hr|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",84,True
ENSG00000002549,"Rest,Stim8hr,Stim48hr",True,high,high,high,True,high,high,low,True,high,low,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:high|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",2,False
ENSG00000002586,"Rest,Stim8hr,Stim48hr",True,high,low,low,True,high,high,high,True,high,high,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:high",2,False
ENSG00000002834,"Rest,Stim8hr,Stim48hr",True,high,high,low,True,high,high,low,True,high,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",325,True
ENSG00000002919,"Rest,Stim8hr,Stim48hr",True,low,low,low,True,low,low,low,True,low,low,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",212,True
ENSG00000003056,"Rest,Stim8hr,Stim48hr",True,high,high,low,True,high,high,low,True,high,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",325,True
ENSG00000003393,"Rest,Stim8hr,Stim48hr",True,low,low,high,True,low,low,high,True,low,low,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:high|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",29,True
ENSG00000003400,"Rest,Stim8hr,Stim48hr",True,high,low,low,True,low,low,low,True,low,low,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",24,True
