index,target_contrast_gene_name,culture_condition,transfer_class,cis_magnitude,target_baseMean,n_cells_target,n_guides,match_distance
ENSG00000087502_Rest,ERGIC2,Rest,buffered,16.73189798874878,54.81837443983794,606.0,2.0,0.4267587203570519
ENSG00000131634_Rest,TMEM204,Rest,buffered,16.2355956297054,60.7426548135358,609.0,2.0,0.4286089643786471
ENSG00000138698_Rest,RAP1GDS1,Rest,buffered,16.81001416332689,59.78326133838704,602.0,2.0,0.4473839254008757
ENSG00000135766_Rest,EGLN1,Rest,buffered,20.14706579609124,63.53377387588533,765.0,2.0,0.4679612132251619
ENSG00000133703_Rest,KRAS,Rest,buffered,15.245686885893637,65.33751491554042,604.0,2.0,0.4815054244625712
ENSG00000007392_Rest,LUC7L,Rest,buffered,17.64500928173477,45.88765941781966,1098.0,2.0,0.5291215678193925
ENSG00000139687_Rest,RB1,Rest,buffered,19.00262707540456,53.735671082001744,1093.0,2.0,0.5548399858397508
ENSG00000169220_Rest,RGS14,Rest,buffered,19.250961630670307,47.60527972767392,1065.0,2.0,0.5613401994692205
ENSG00000122068_Rest,FYTTD1,Rest,buffered,18.13674839696353,63.54645957929692,1156.0,2.0,0.6037923534653538
ENSG00000100342_Rest,APOL1,Rest,buffered,16.710961088514196,79.83866231909614,598.0,2.0,0.6037991834761905
ENSG00000166925_Rest,TSC22D4,Rest,buffered,15.094811736915748,94.91015115419177,738.0,2.0,0.6257724764416962
ENSG00000119632_Rest,IFI27L2,Rest,buffered,15.898954650691204,66.70148937945496,541.0,2.0,0.6279608458437037
ENSG00000159388_Rest,BTG2,Rest,buffered,17.633476647765196,86.28191521638925,635.0,2.0,0.6281884396433401
ENSG00000171033_Rest,PKIA,Rest,buffered,17.64803656832642,38.43708727454264,1105.0,2.0,0.6329242075186882
ENSG00000147955_Rest,SIGMAR1,Rest,buffered,20.759395849624024,52.89736242605793,1066.0,2.0,0.6479825888455878
ENSG00000102390_Rest,PBDC1,Rest,buffered,20.34969377647142,45.45032769818561,1087.0,2.0,0.6692470286877731
ENSG00000169919_Rest,GUSB,Rest,buffered,15.359721099593838,54.31438864917593,515.0,2.0,0.6718628143744388
ENSG00000114331_Rest,ACAP2,Rest,buffered,17.949844804126617,67.78881048537278,537.0,2.0,0.6748234749434479
ENSG00000169967_Rest,MAP3K2,Rest,buffered,15.930316059558052,57.39964849986208,509.0,2.0,0.6833472396036593
ENSG00000119979_Rest,DENND10,Rest,buffered,16.91728982507652,95.48756146892488,648.0,2.0,0.6891226728819635
ENSG00000138032_Rest,PPM1B,Rest,buffered,18.227094490174537,66.25481936454987,527.0,2.0,0.7016502566692224
ENSG00000184207_Rest,PGP,Rest,buffered,17.291209239707364,70.95911933725453,522.0,2.0,0.7129433444739554
ENSG00000024048_Rest,UBR2,Rest,buffered,16.855548636015,105.43350388599464,830.0,2.0,0.7173603539911928
ENSG00000181826_Rest,RELL1,Rest,buffered,14.35905298831316,55.21932768233327,510.0,2.0,0.7183255448673764
ENSG00000162654_Rest,GBP4,Rest,buffered,19.81914384096104,81.74604954896746,1070.0,2.0,0.7261188225789802
