target_contrast,target_contrast_gene_name,residual_range,residual_sd,minimum_transfer_z,maximum_transfer_z,states_amplified,states_buffered,clusters_observed,distinct_clusters,cluster_entropy,cluster_switch
ENSG00000102908,NFAT5,4.506260554558182,2.4542683512444143,-1.02363724640975,3.4826233081484315,1,1,1,1,-0.0,False
ENSG00000139921,TMX1,4.422836462229407,2.5429932645777753,-0.908918002994445,3.5139184592349615,2,1,2,2,0.6309297535714574,True
ENSG00000156990,RPUSD3,4.268564994868376,2.153754991731758,-0.7757152639312217,3.492849730937154,1,0,1,1,-0.0,False
ENSG00000124181,PLCG1,4.2532638027098795,2.2340485096409206,-0.3773829868450494,3.8758808158648304,2,0,2,2,0.6309297535714574,True
ENSG00000132463,GRSF1,4.197474590386592,2.168250734977762,-0.6422266413822038,3.555247949004388,1,0,1,1,-0.0,False
ENSG00000155380,SLC16A1,4.193268660309898,2.144284391167329,-1.8834699924043938,2.309798667905504,1,1,1,1,-0.0,False
ENSG00000105793,GTPBP10,4.114580634633797,2.24494084728408,-0.7459649297914772,3.3686157048423198,1,0,1,1,-0.0,False
ENSG00000198821,CD247,4.111734167607947,2.0909680812572042,-0.27600203223078357,3.835732135377164,2,0,2,2,0.6309297535714574,True
ENSG00000172175,MALT1,4.053679948739306,2.3358834391669574,-0.8826393949320199,3.171040553807286,2,0,2,2,0.6309297535714574,True
ENSG00000150768,DLAT,4.022763992451988,2.125122269387873,-1.006469119056675,3.0162948733953123,1,1,1,1,-0.0,False
ENSG00000131845,ZNF304,3.9632303594963663,2.2867780422917434,-0.5633886045338239,3.3998417549625426,1,0,1,1,-0.0,False
ENSG00000141401,IMPA2,3.9560074911011824,2.0155771107306575,-0.6309007948031402,3.3251066962980422,1,0,1,1,-0.0,False
ENSG00000178057,NDUFAF3,3.9237321598095765,2.1861849222454826,-0.295387020442106,3.6283451393674704,1,0,1,1,-0.0,False
ENSG00000132906,CASP9,3.8874471008760048,2.0704235955722354,-0.6524761773758762,3.2349709235001285,1,0,1,1,-0.0,False
ENSG00000177646,ACAD9,3.805542604951194,1.9978345166767641,-0.7363488135137704,3.0691937914374234,1,0,1,1,-0.0,False
ENSG00000156253,RWDD2B,3.7993512630505637,2.0243009036008037,-0.68276283062843,3.116588432422134,2,0,2,2,0.6309297535714574,True
ENSG00000274523,RCC1L,3.7981389642382144,1.9034593121482193,-0.48836254482547475,3.3097764194127395,2,0,1,1,-0.0,False
ENSG00000150995,ITPR1,3.7752914295769395,2.0673800991417046,-1.7929133420783665,1.9823780874985728,1,2,1,1,-0.0,False
ENSG00000221823,PPP3R1,3.766581877589934,2.1667464954520343,-0.9379446081917644,2.8286372693981696,2,1,2,2,0.6309297535714574,True
ENSG00000184207,PGP,3.759356255129841,2.1601990681730814,-0.9525140960174927,2.8068421591123487,1,2,1,1,-0.0,False
ENSG00000101997,CCDC22,3.75408497144742,1.954867373320903,-0.6862694816570093,3.067815489790411,2,0,2,2,0.6309297535714574,True
ENSG00000005156,LIG3,3.6660312004969864,2.0634604097927496,-0.45804011265486644,3.20799108784212,1,0,1,1,-0.0,False
ENSG00000164323,CFAP97,3.6607541235551095,1.9537988862728184,-1.009268075851776,2.6514860477033335,1,1,1,1,-0.0,False
ENSG00000206527,HACD2,3.6520321449601223,1.9503922456000422,-0.2636871000172347,3.388345044942888,1,0,1,1,-0.0,False
ENSG00000143157,POGK,3.634418981715372,1.8381085118638143,-1.174882666068037,2.459536315647335,1,1,1,1,-0.0,False
ENSG00000166888,STAT6,3.626807815314411,1.8428539020838905,-0.19336550714289602,3.433442308171515,2,0,2,2,0.6309297535714574,True
ENSG00000100294,MCAT,3.60140600710242,1.8392281415073393,-0.2729811613051327,3.328424845797287,2,0,2,2,0.6309297535714574,True
ENSG00000118971,CCND2,3.571687137166138,2.032024079787566,-0.22268692987845448,3.349000207287683,2,0,2,1,-0.0,False
ENSG00000078237,TIGAR,3.569366097630644,1.8459832695120182,-0.7380018368979043,2.8313642607327396,1,0,1,1,-0.0,False
