target_contrast_gene_name,logfc_pearson_r,logfc_pearson_pval,random_r1,random_r2,random_r3,comparison,condition,donor_correlation_mean,n_degs_MASH_K562,n_degs_MASH_Rest,n_degs_MASH_Stim48hr,n_degs_MASH_Stim8hr,random_mean,correlation_delta,cd4_response_genes,shared_response,private_or_inverted,confidence_tier,culture_condition,transfer_class,transfer_residual
STOML2,-0.2515340001559292,6.26414219051431e-87,-0.0047320257677899,-0.0245769289273265,-0.0197457051004512,K562 vs CD4+T (Stim 8hr),Stim8hr,,6.0,3.0,4.0,6.0,-0.0163515532651892,-0.23518244689074,6.0,False,True,unsupported,Stim8hr,intermediate,-1.036883326315788
STOML2,-0.1839154629212608,1.2413750770143365e-46,-0.0157887116393033,-0.0522002584292521,-0.0022386210459055,K562 vs CD4+T (Rest),Rest,,6.0,3.0,4.0,6.0,-0.02340919703815363,-0.16050626588310715,3.0,False,True,unsupported,,,
TRIM14,-0.148711904009517,6.573701588153931e-31,-0.0176130621765314,-0.0064686007904165,0.0110076873703033,K562 vs CD4+T (Rest),Rest,0.7568314282770112,12.0,29.0,21.0,24.0,-0.0043579918655482,-0.1443539121439688,29.0,False,True,unsupported,Rest,amplified,2.901933131597944
TRIM14,-0.0215712508152334,0.0953790647885223,-0.0296604873995904,-0.0151493564760047,-0.0002401713700297,K562 vs CD4+T (Stim 8hr),Stim8hr,,12.0,29.0,21.0,24.0,-0.015016671748541599,-0.006554579066691799,24.0,False,False,unsupported,,,
SNX27,-0.0007213694419315,0.9555307342025594,-0.0260872944474671,-0.0083145034278958,-0.0041217648105809,K562 vs CD4+T (Rest),Rest,,14.0,4.0,4.0,4.0,-0.012841187561981266,0.012119818120049766,4.0,False,False,unsupported,Rest,intermediate,0.22907821380550875
XYLB,0.0044217429234481,0.7324950834719661,0.0051752768547879,-0.0047935339709159,0.0038297514816483,K562 vs CD4+T (Stim 48hr),Stim48hr,,4.0,5.0,5.0,5.0,0.0014038314551734331,0.003017911468274667,5.0,False,False,unsupported,Stim48hr,intermediate,-0.2512578511694067
GAB3,0.0107119530156297,0.4076295695090055,-0.0011482547180105,0.0076105215830605,0.006511565756944,K562 vs CD4+T (Rest),Rest,,9.0,10.0,6.0,10.0,0.004324610873997999,0.006387342141631701,10.0,False,False,unsupported,Rest,intermediate,-1.1142019966219676
SLC19A2,0.0159025095699567,0.2189356151887586,0.0276022425577548,0.0056745406153488,-0.0622786656196705,K562 vs CD4+T (Stim 48hr),Stim48hr,,8.0,11.0,8.0,10.0,-0.009667294148855634,0.02556980371881233,8.0,False,False,unsupported,Stim48hr,intermediate,-0.42591602077259505
SLC19A2,0.0168931583774166,0.1915670878746823,0.0026530056648085,-0.0214510092199917,-0.0011220638925733,K562 vs CD4+T (Rest),Rest,,8.0,11.0,8.0,10.0,-0.006640022482585499,0.023533180860002098,11.0,False,False,unsupported,Rest,intermediate,-0.9744253307130324
SOS1,0.0179591213891225,0.1650224464959336,-0.0233222770486886,-0.0103945556169,-0.0004522001028148,K562 vs CD4+T (Rest),Rest,,5.0,18.0,17.0,18.0,-0.0113896775894678,0.0293487989785903,18.0,False,False,unsupported,Rest,intermediate,-0.3898404749623354
GNPDA1,0.0260983614313748,0.0436139228483549,0.0151252121234332,-0.0079439259421298,-0.0087870513286323,K562 vs CD4+T (Stim 48hr),Stim48hr,,4.0,6.0,4.0,6.0,-0.0005352550491096337,0.026633616480484436,4.0,False,False,unsupported,Stim48hr,intermediate,-1.2732939383451705
SPN,0.027035263029702,0.0365958340633441,0.0013971249981201,0.0059951224524404,0.0143830953887357,K562 vs CD4+T (Rest),Rest,,4.0,6.0,4.0,6.0,0.007258447613098733,0.01977681541660327,6.0,False,False,unsupported,Rest,buffered,-1.5494835897918613
FASTK,0.027722584871027,0.0320805604336316,0.010718998162673,0.075013703617592,-0.0243271165217015,K562 vs CD4+T (Stim 8hr),Stim8hr,,6.0,8.0,7.0,7.0,0.02046852841952117,0.0072540564515058276,7.0,False,False,unsupported,,,
SLC19A2,0.0287409825761485,0.0262714125347214,0.0230082212000831,0.0646427211645554,0.0163767987888734,K562 vs CD4+T (Stim 8hr),Stim8hr,,8.0,11.0,8.0,10.0,0.0346759137178373,-0.0059349311416888005,10.0,False,False,unsupported,Stim8hr,intermediate,-0.29313456942866667
FASTK,0.0314595702840024,0.0149962520316129,0.0026950081316732,0.0072048746714688,-0.0144241543758279,K562 vs CD4+T (Stim 48hr),Stim48hr,,6.0,8.0,7.0,7.0,-0.0015080905242286335,0.032967660808231034,7.0,False,False,unsupported,,,
MTHFR,0.0314940872683818,0.0148860391167659,0.0237462330553291,-0.0288641817290348,0.0314972388448718,K562 vs CD4+T (Rest),Rest,,7.0,3.0,5.0,3.0,0.008793096723722034,0.022700990544659766,3.0,False,False,unsupported,Rest,intermediate,0.021501251609635785
GNPDA1,0.0334822820607919,0.0096268587924943,-0.0225480538848091,-0.0063871997402049,-0.0019535372069909,K562 vs CD4+T (Rest),Rest,,4.0,6.0,4.0,6.0,-0.0102962636106683,0.0437785456714602,6.0,False,False,unsupported,Rest,intermediate,-0.5510952691592462
GNPDA1,0.0340343659603018,0.0084967577287863,0.0133228679907197,0.011056045979571,-0.0082198934223534,K562 vs CD4+T (Stim 8hr),Stim8hr,,4.0,6.0,4.0,6.0,0.005386340182645766,0.028648025777656034,6.0,False,False,unsupported,Stim8hr,intermediate,-1.4717300097319657
SOS1,0.0341262528720793,0.0083206366704532,-0.0091308454889909,-0.0203345363229612,-0.0123273029253766,K562 vs CD4+T (Stim 48hr),Stim48hr,,5.0,18.0,17.0,18.0,-0.0139308949124429,0.0480571477845222,17.0,False,False,unsupported,Stim48hr,intermediate,0.1742457875733745
FASTK,0.0361157968599777,0.0052268336214546,-0.0029345079922592,-0.0031033894373906,-0.0099044226747862,K562 vs CD4+T (Rest),Rest,,6.0,8.0,7.0,7.0,-0.005314106701478667,0.041429903561456365,8.0,False,False,unsupported,,,
MTHFR,0.0364307822291134,0.0048461842975202,0.0032964096228781,0.0248627821498212,-0.0053816115947204,K562 vs CD4+T (Stim 8hr),Stim8hr,,7.0,3.0,5.0,3.0,0.007592526725992967,0.02883825550312043,3.0,False,False,unsupported,,,
SPN,0.0372984694641529,0.0039237717805408,-0.0173634885105983,0.0251057285521993,7.959343564626947e-05,K562 vs CD4+T (Stim 8hr),Stim8hr,,4.0,6.0,4.0,6.0,0.0026072778257490905,0.034691191638403805,6.0,False,False,unsupported,Stim8hr,intermediate,-0.8842305595423613
SOS1,0.040731465513236,0.0016332371141678,-0.0926425559133496,-0.0055924810322551,0.0172865621859832,K562 vs CD4+T (Stim 8hr),Stim8hr,,5.0,18.0,17.0,18.0,-0.026982824919873832,0.06771429043310984,18.0,False,False,unsupported,Stim8hr,intermediate,-0.3876624044399022
TRIM59,0.0424145062834719,0.0010374271447035,0.0358163537078199,0.0439770896810649,0.0068400187673798,K562 vs CD4+T (Rest),Rest,,8.0,8.0,9.0,8.0,0.02887782071875487,0.013536685564717033,8.0,False,False,unsupported,Rest,intermediate,-1.0060574067972352
DEGS1,0.0432602601626157,0.0008209199968334,-0.0035203885477759,-0.011055512678183,-0.0287129855768713,K562 vs CD4+T (Stim 48hr),Stim48hr,,12.0,78.0,74.0,85.0,-0.014429628934276734,0.05768988909689243,74.0,False,False,unsupported,Stim48hr,intermediate,-0.9662659386300498
SPN,0.043974222249113,0.0006716139978772,0.0656075937817409,0.0011997991404426,0.0221836036287799,K562 vs CD4+T (Stim 48hr),Stim48hr,,4.0,6.0,4.0,6.0,0.029663665516987802,0.0143105567321252,4.0,False,False,unsupported,,,
DVL1,0.0447329015558895,0.0005408863442704,0.0114982256051458,0.0017262864720842,0.0017898807209907,K562 vs CD4+T (Rest),Rest,0.4651659884925747,3.0,5.0,4.0,5.0,0.0050047975994069,0.0397281039564826,5.0,False,False,unsupported,,,
STRN3,0.0464489587697822,0.000327512389824,-0.0162655697688726,-0.0300346312966665,0.0137542192245657,K562 vs CD4+T (Stim 8hr),Stim8hr,,6.0,5.0,4.0,4.0,-0.010848660613657801,0.05729761938344,4.0,False,False,unsupported,,,
XYLB,0.0467508194282694,0.0002993303042513,-0.0159105068659448,-0.0170905416193941,0.0029645588576073,K562 vs CD4+T (Stim 8hr),Stim8hr,,4.0,5.0,5.0,5.0,-0.010012163209243866,0.05676298263751327,5.0,False,False,unsupported,Stim8hr,intermediate,0.09380300120758256
MTHFR,0.0480107423721138,0.0002044634018892,0.0003125023050696,-0.0566753965124461,-0.0343024895143856,K562 vs CD4+T (Stim 48hr),Stim48hr,,7.0,3.0,5.0,3.0,-0.030221794573920702,0.0782325369460345,5.0,False,False,unsupported,,,
