disease,significant_programs,states,minimum_q,median_odds_ratio
Crohn's disease,3,2,0.0006502217200325,3.2899252628535565
Hashimoto's thyroiditis,3,2,0.0029353764612172,3.985340983757351
ankylosing spondylitis,7,3,0.0115188085530485,2.9054233770485274
asthma,4,2,0.0018402815779978,2.4617625751916847
atopic eczema,6,3,0.0038258963213997,3.225784100163744
autoimmune disease,7,3,0.0003376196063936,2.097504273428922
celiac disease,2,2,0.0029353764612172,4.334056538616543
inflammatory bowel disease,5,2,0.0008715367485177,2.893395395630753
multiple sclerosis,5,3,0.0061127916658898,3.282172259816708
psoriasis,2,2,0.0061127916658898,2.825723973713104
rheumatoid arthritis,7,3,0.0018402815779978,2.247128215617535
systemic lupus erythematosus,2,1,0.0066594042447026,2.7185165145352332
type 1 diabetes mellitus,1,1,0.0277212655952825,3.4346886780266748
ulcerative colitis,8,3,0.0061127916658898,3.029035460951554
