fold,model,rows,auroc,average_precision,brier
1,size_state,336,0.7565034965034965,0.085551948051948,0.2445206418367346
1,transfer_augmented,336,0.6820979020979021,0.085343228200371,0.2541584062508506
2,size_state,350,0.7844099520657384,0.0982905982905982,0.2688346960366105
2,transfer_augmented,350,0.6150422278018717,0.0698862540967804,0.243666963572654
3,size_state,350,0.7827380952380952,0.1165120593692022,0.1387965254480828
3,transfer_augmented,350,0.5714285714285714,0.0714285714285714,0.1300538778451345
4,size_state,336,0.7164458036017669,0.0588151927437641,0.1983752780646589
4,transfer_augmented,336,0.7402310567448183,0.079100529100529,0.2199026399549643
5,size_state,336,0.550882658359294,0.0797619047619047,0.2437491411881132
5,transfer_augmented,336,0.5159916926272067,0.0654761904761904,0.2585599944753585
