locus,gene,trait,gate,status,value,evidence
gata3,GATA3,asthma,statistical_fine_mapping,passed,0.4496459637453133,Open Targets 95% credible set
gata3,GATA3,asthma,gwas_cis_eqtl_colocalization,failed,0.0,Open Targets target-specific H4 plus required regional-coverage gate
gata3,GATA3,asthma,credible_set_cd4_chromatin_overlap,passed,8.0,95% credible set: ATAC 0 variants; H3K27ac 8 variants; combined posterior mass 0.936317
gata3,GATA3,asthma,enhancer_to_gene,failed,0.0,0 of 2 required orthogonal links; no enhancer perturbation assay
gata3,GATA3,asthma,perturbational_cis_effect,passed,-16.196718732294897,frozen CD4 on-target z-score with source significance required in every state
gata3,GATA3,asthma,signed_downstream_program,passed,60.0,nonzero effects in the frozen signed CD4 program
gata3,GATA3,asthma,trans_eqtl_direction_concordance,unresolved,,no lead-variant trans associations overlapped the frozen signed program
stat3,STAT3,inflammatory bowel disease,statistical_fine_mapping,passed,0.0415528255932921,Open Targets 95% credible set
stat3,STAT3,inflammatory bowel disease,gwas_cis_eqtl_colocalization,unresolved,0.964428186416626,Open Targets target-specific H4 plus required regional-coverage gate
stat3,STAT3,inflammatory bowel disease,credible_set_cd4_chromatin_overlap,passed,17.0,95% credible set: ATAC 0 variants; H3K27ac 17 variants; combined posterior mass 0.399272
stat3,STAT3,inflammatory bowel disease,enhancer_to_gene,failed,0.0,0 of 2 required orthogonal links; no enhancer perturbation assay
stat3,STAT3,inflammatory bowel disease,perturbational_cis_effect,passed,-14.569750579234713,frozen CD4 on-target z-score with source significance required in every state
stat3,STAT3,inflammatory bowel disease,signed_downstream_program,passed,60.0,nonzero effects in the frozen signed CD4 program
stat3,STAT3,inflammatory bowel disease,trans_eqtl_direction_concordance,unresolved,,no lead-variant trans associations overlapped the frozen signed program
ptpn22,PTPN22,rheumatoid arthritis,statistical_fine_mapping,passed,0.9996845345178752,Open Targets 95% credible set
ptpn22,PTPN22,rheumatoid arthritis,gwas_cis_eqtl_colocalization,failed,0.0,Open Targets target-specific H4 plus required regional-coverage gate
ptpn22,PTPN22,rheumatoid arthritis,credible_set_cd4_chromatin_overlap,failed,0.0,95% credible set: ATAC 0 variants; H3K27ac 0 variants; combined posterior mass 0.000000
ptpn22,PTPN22,rheumatoid arthritis,enhancer_to_gene,failed,0.0,0 of 2 required orthogonal links; no enhancer perturbation assay
ptpn22,PTPN22,rheumatoid arthritis,perturbational_cis_effect,passed,-24.03907429053709,frozen CD4 on-target z-score with source significance required in every state
ptpn22,PTPN22,rheumatoid arthritis,signed_downstream_program,passed,1.0,nonzero effects in the frozen signed CD4 program
ptpn22,PTPN22,rheumatoid arthritis,trans_eqtl_direction_concordance,unresolved,,no lead-variant trans associations overlapped the frozen signed program
