replicate,r2,status
1,-0.07495518490137432,ok
2,-0.03164091231490751,ok
3,-0.11041566856971885,ok
4,-0.08820529037636171,ok
5,-0.04134404227252109,ok
6,-0.0978826541868163,ok
7,-0.12122289528701802,ok
8,-0.053939145046511205,ok
9,-0.08000553297626944,ok
10,-0.07546325438280266,ok
11,-0.09892657821454565,ok
12,-0.1181208243189602,ok
13,-0.11102853683293756,ok
14,-0.10326548527104418,ok
15,-0.0852157174763657,ok
16,-0.08913075543794191,ok
17,-0.09564414028683288,ok
18,-0.08170202052310382,ok
19,-0.0941192272185647,ok
20,-0.11056494479091339,ok
21,-0.07071705675973372,ok
22,-0.06899178189267907,ok
23,-0.10271945328188958,ok
24,-0.0866788760663002,ok
25,-0.09591105994736715,ok
26,-0.11334468638233353,ok
27,-0.07895525583115104,ok
28,-0.10164186100848727,ok
29,-0.053579935829845216,ok
30,-0.11203774022406532,ok
31,-0.09155686045126266,ok
32,-0.08515131410053045,ok
33,-0.06014703611514349,ok
34,-0.09399628181181652,ok
35,-0.08358222789899994,ok
36,-0.08031156452396715,ok
37,-0.078051559082293,ok
38,-0.06223878610098876,ok
39,-0.09860800498886091,ok
40,-0.13206400464180446,ok
41,-0.06910000657058735,ok
42,-0.0872649973541153,ok
43,-0.11690649435974088,ok
44,-0.08392765219814691,ok
45,-0.06613494417043753,ok
46,-0.08702011239423935,ok
47,-0.11234741930928238,ok
48,-0.11270750305107025,ok
49,-0.08890500601872398,ok
50,-0.11168360026565738,ok
51,-0.10076107548382196,ok
52,-0.0766320578710511,ok
53,-0.09919251438229582,ok
54,-0.09542379458159167,ok
55,-0.09393926258191931,ok
56,-0.10546186842198191,ok
57,-0.06059768555599798,ok
58,-0.12209641918494873,ok
59,-0.11949557781910003,ok
60,-0.11309411802979819,ok
61,-0.09351351930516527,ok
62,-0.06484483559735099,ok
63,-0.10034190586871938,ok
64,-0.10136272880174935,ok
65,-0.09023042646358426,ok
66,-0.042978860164804455,ok
67,-0.08201376229086388,ok
68,-0.04851469310690404,ok
69,-0.06201662342984893,ok
70,-0.10799445148172904,ok
71,-0.09089113169283869,ok
72,-0.08846902502557552,ok
73,-0.1069423832364067,ok
74,-0.07052099312465998,ok
75,-0.13444397219648319,ok
76,-0.07390971707276583,ok
77,-0.09966013999121404,ok
78,-0.09834969212946709,ok
79,-0.1251574938245137,ok
80,-0.11880634546966795,ok
81,-0.09556609012697725,ok
82,-0.11216216881226759,ok
83,-0.07052287723653516,ok
84,-0.123250421358305,ok
85,-0.11388254311245216,ok
86,-0.06731276767615713,ok
87,-0.1182653367267743,ok
88,-0.07804595800111036,ok
89,-0.09556451628880991,ok
90,-0.11710424989284673,ok
91,-0.07939735665543646,ok
92,-0.09595663335198257,ok
93,-0.11115575947056944,ok
94,-0.12791486266724705,ok
95,-0.10152557403373685,ok
96,-0.132307381689581,ok
97,-0.09650040065378174,ok
98,-0.088490468510239,ok
99,-0.0988635529468771,ok
100,-0.1011533301884937,ok
101,-0.09931570489818098,ok
102,-0.146636803467729,ok
103,-0.08321240550387277,ok
104,-0.13300466265086186,ok
105,-0.10426097309408888,ok
106,-0.11830020573155342,ok
107,-0.10841857242129826,ok
108,-0.05391377039276657,ok
109,-0.06307594092214641,ok
110,-0.09203375160734972,ok
111,-0.04684262631056302,ok
112,-0.11064401683770475,ok
113,-0.09075010663077454,ok
114,-0.14415644056177768,ok
115,-0.09138285454620187,ok
116,-0.1289004319671041,ok
117,-0.06590107755369323,ok
118,-0.10808343202221504,ok
119,-0.12057993958563751,ok
120,-0.07730584964339648,ok
121,-0.07921228535330882,ok
122,-0.07766875777459381,ok
123,-0.10035118046933578,ok
124,-0.06965643396227894,ok
125,-0.12217229784843497,ok
126,-0.08188457359442003,ok
127,-0.09478335145882388,ok
128,-0.056161512032364413,ok
129,-0.06533509585241237,ok
130,-0.0891970188463258,ok
131,-0.11171800840320323,ok
132,-0.0937862473685962,ok
133,-0.07634148992311385,ok
134,-0.05950752824261807,ok
135,-0.11752934518099711,ok
136,-0.11401268768565087,ok
137,-0.08888004162862062,ok
138,-0.08670870195718727,ok
139,-0.09977733717473125,ok
140,-0.128930913824151,ok
141,-0.12251041903778703,ok
142,-0.11594688575409795,ok
143,-0.12208821737171349,ok
144,-0.11940194884304245,ok
145,-0.10316224531994078,ok
146,-0.09000006906396574,ok
147,-0.09722807298862901,ok
148,-0.07973910942533258,ok
149,-0.08280369524716713,ok
150,-0.1049471033212741,ok
151,-0.1027279213707517,ok
152,-0.10177716175221652,ok
153,-0.1349890228914261,ok
154,-0.08587486659706434,ok
155,-0.1071243462844702,ok
156,-0.0625988657376173,ok
157,-0.08275719758298083,ok
158,-0.08538541732706295,ok
159,-0.09831624598818145,ok
160,-0.10941041164626375,ok
161,-0.0828813199201277,ok
162,-0.0973772124309975,ok
163,-0.0747894796982056,ok
164,-0.1145059347660593,ok
165,-0.047103527971092296,ok
166,-0.10801396330773683,ok
167,-0.04311872134327599,ok
168,-0.11424974122671339,ok
169,-0.18289520580835883,ok
170,-0.0946209704781047,ok
171,-0.08483404381598358,ok
172,-0.10712713423924147,ok
173,-0.058587415111392094,ok
174,-0.0828392475645634,ok
175,-0.0936536964126986,ok
176,-0.0456606665074637,ok
177,-0.08586649817496839,ok
178,-0.10029555333016749,ok
179,-0.11568033168809189,ok
180,-0.12906661803776154,ok
181,-0.12324456851203736,ok
182,-0.09192018776365507,ok
183,-0.051863074516466545,ok
184,-0.10757031348945167,ok
185,-0.07888334903843752,ok
186,-0.10648850514875297,ok
187,-0.1343809250740382,ok
188,-0.11764757274583504,ok
189,-0.02890787912538495,ok
190,-0.04586341078488165,ok
191,-0.07141244840253269,ok
192,-0.07840791283130755,ok
193,-0.06891341540620699,ok
194,-0.12600132725523538,ok
195,-0.1287480118784392,ok
196,-0.10756287791998087,ok
197,-0.11607182029245777,ok
198,-0.14153730833546674,ok
199,-0.09750364926063537,ok
200,-0.08545272356710609,ok
201,-0.055312311413537874,ok
202,-0.08160549378045223,ok
203,-0.09547148410975104,ok
204,-0.10982704276367938,ok
205,-0.11902173751642486,ok
206,-0.09362736469160593,ok
207,-0.07382949891891011,ok
208,-0.08118910834256088,ok
209,-0.10624488716794134,ok
210,-0.11932085095485268,ok
211,-0.08894778883915722,ok
212,-0.09410973274792322,ok
213,-0.12890155008619275,ok
214,-0.08418243963039296,ok
215,-0.08538562134988692,ok
216,-0.07917189703193195,ok
217,-0.08190995542356494,ok
218,-0.09385459746530156,ok
219,-0.10210567203478704,ok
220,-0.11335311416781857,ok
221,-0.10990392394301907,ok
222,-0.0682987935698034,ok
223,-0.06476930705144235,ok
224,-0.13541888473961605,ok
225,-0.09718000199146681,ok
226,-0.07762183881511708,ok
227,-0.11552051872222657,ok
228,-0.06658408418221562,ok
229,-0.09611959011166471,ok
230,-0.10030196205309627,ok
231,-0.10839599720247195,ok
232,-0.10808482134200914,ok
233,-0.09414361568308127,ok
234,-0.11464614675814366,ok
235,-0.08539113295192546,ok
236,-0.09412741265586799,ok
237,-0.08244277312476544,ok
238,-0.12556615000704952,ok
239,-0.07990845607732822,ok
240,-0.09014015834034583,ok
241,-0.09112387323764382,ok
242,-0.13262465757702424,ok
243,-0.08798626359029527,ok
244,-0.09131478023799655,ok
245,-0.06725629172828373,ok
246,-0.050541498644942395,ok
247,-0.10414641137051883,ok
248,-0.0737965550804709,ok
249,-0.09859227599013809,ok
250,-0.08254237193070635,ok
251,-0.07062913166946694,ok
252,-0.08102308058926666,ok
253,-0.12908086761387927,ok
254,-0.08424190630418638,ok
255,-0.11956278358666883,ok
256,-0.1080064545287287,ok
257,-0.10948057698176838,ok
258,-0.07659987852699812,ok
259,-0.08815083650735223,ok
260,-0.10577909858129164,ok
261,-0.09889543402726231,ok
262,-0.05552449151750127,ok
263,-0.06370258734460976,ok
264,-0.08697157078317996,ok
265,-0.07983258521636172,ok
266,-0.09053891622375532,ok
267,-0.08545038788730053,ok
268,-0.05783526482141643,ok
269,-0.11663479737876714,ok
270,-0.11634251781237204,ok
271,-0.06285014000452649,ok
272,-0.10832228775753228,ok
273,-0.10644185918031335,ok
274,-0.0818812560178841,ok
275,-0.07713103251197007,ok
276,-0.12128301315732726,ok
277,-0.0552296597134756,ok
278,-0.10236343238487833,ok
279,-0.089724653309045,ok
280,-0.08565510020689415,ok
281,-0.06710628323752021,ok
282,-0.1033055572141548,ok
283,-0.05184310153578431,ok
284,-0.1016475645305972,ok
285,-0.1015786129047136,ok
286,-0.08918332218686142,ok
287,-0.08549929880854812,ok
288,-0.1138304838944022,ok
289,-0.14374879162506726,ok
290,-0.12021565943785983,ok
291,-0.09246302038914211,ok
292,-0.11811013642552992,ok
293,-0.09044517367272231,ok
294,-0.046755560690654674,ok
295,-0.08893695746616626,ok
296,-0.12558897592135576,ok
297,-0.11586817019030327,ok
298,-0.12189985282626759,ok
299,-0.11246391339280692,ok
300,-0.09881319354443896,ok
301,-0.09483632709654621,ok
302,-0.13251728570718524,ok
303,-0.09273989602536248,ok
304,-0.06247736613441979,ok
305,-0.08160583818853762,ok
306,-0.08123496238958472,ok
307,-0.08516873312713424,ok
308,-0.11025050984506213,ok
309,-0.09777344028665014,ok
310,-0.09838237848382936,ok
311,-0.06647991897627725,ok
312,-0.11759603394016849,ok
313,-0.09509349875225048,ok
314,-0.07141994068410673,ok
315,-0.08486970432835195,ok
316,-0.06470548633152284,ok
317,-0.09817453367534656,ok
318,-0.09372985909967269,ok
319,-0.08956416792215927,ok
320,-0.10511036331210821,ok
321,-0.12415187784354553,ok
322,-0.13314337732116277,ok
323,-0.07561679426534607,ok
324,-0.10699299880106716,ok
325,-0.1001381232154579,ok
326,-0.10555025399397477,ok
327,-0.09929751285314126,ok
328,-0.09881301357413697,ok
329,-0.10861360988538471,ok
330,-0.11842504643416141,ok
331,-0.0991486258970038,ok
332,-0.07753914724024957,ok
333,-0.11154570413662412,ok
334,-0.07536844614691618,ok
335,-0.07389566758648702,ok
336,-0.07603646574816714,ok
337,-0.08873105245242763,ok
338,-0.0674818537459998,ok
339,-0.10577238049437665,ok
340,-0.09641302283708586,ok
341,-0.11457057351401945,ok
342,-0.10074415883734433,ok
343,-0.030657707960360714,ok
344,-0.11338316126939207,ok
345,-0.04257608411673286,ok
346,-0.12711800850746346,ok
347,-0.110892080946146,ok
348,-0.09684490437281523,ok
349,-0.12396104063034241,ok
350,-0.079405531433548,ok
351,-0.11325655300018034,ok
352,-0.09370500904336065,ok
353,-0.05732977061290767,ok
354,-0.15700551305613653,ok
355,-0.10929596928654561,ok
356,-0.1054618794893123,ok
357,-0.10234264349509381,ok
358,-0.07731234852050295,ok
359,-0.07111294302699211,ok
360,-0.11992372370565985,ok
361,-0.12425861675540717,ok
362,-0.0922270851629381,ok
363,-0.14228910717849508,ok
364,-0.10602708512568859,ok
365,-0.09716426725012228,ok
366,-0.08246974826515152,ok
367,-0.1039013770867907,ok
368,-0.1155414780749544,ok
369,-0.12310920606498565,ok
370,-0.1005518366459881,ok
371,-0.12375359504488603,ok
372,-0.11468369794876265,ok
373,-0.09858489971791884,ok
374,-0.09265656169231162,ok
375,-0.1440582540829758,ok
376,-0.066345604833421,ok
377,-0.08447034264539144,ok
378,-0.1350877944388078,ok
