condition,depth,operator_frobenius,increment_frobenius,successive_cosine,nonzero_edges,scaled_spectral_radius
Rest,1,5.770627145300399,1.8166280990004078,0.9491560340217641,88,0.8500000000000015
Rest,2,6.520295916336283,1.0538824684540038,0.9927090027629915,88,0.8500000000000015
Rest,3,6.923362873020792,0.749262616579304,0.9955814077132195,88,0.8500000000000015
Rest,4,7.316187153727986,0.5841738678661498,0.9981546048568093,88,0.8500000000000015
Rest,5,7.615488854677865,0.4746847588723611,0.9987818285631795,88,0.8500000000000015
Rest,6,7.879027275444832,0.39335719109967676,0.9992893864810495,88,0.8500000000000015
Stim8hr,1,5.745425730378772,1.734911185997268,0.9533193591017964,88,0.8499999999999988
Stim8hr,2,6.379117043101503,0.97687641933778,0.99245959548659,88,0.8499999999999988
Stim8hr,3,6.669477514376087,0.7000031097692523,0.9952322064989755,88,0.8499999999999988
Stim8hr,4,6.994098123500856,0.5551375643116641,0.9978262346811,88,0.8499999999999988
Stim8hr,5,7.2381887367866415,0.4577005687242888,0.9985193998923493,88,0.8499999999999988
Stim8hr,6,7.474068397912862,0.3833847664916611,0.9991557594289151,88,0.8499999999999988
Stim48hr,1,5.644232831806567,1.3628515178269347,0.9704109908766022,88,0.849999999999999
Stim48hr,2,6.134366833684268,0.8071554278229366,0.99406089730186,88,0.849999999999999
Stim48hr,3,6.457553004391083,0.6332378028852155,0.996257026459424,88,0.849999999999999
Stim48hr,4,6.760367728059996,0.5272565512984528,0.9978662138764965,88,0.849999999999999
Stim48hr,5,7.02473641019454,0.4452723313500395,0.9986483766473128,88,0.849999999999999
Stim48hr,6,7.260134327731716,0.3776320914525806,0.9991451675405031,88,0.849999999999999
