fold,model,train_rows,test_rows,r2,mae,spearman_rho
1,global_mean,14226,1581,-0.003328298957109,1.2790620427611818,
1,state_pool,14226,1581,-0.0034337156101758,1.2784596346221686,0.0284975925455101
1,ridge,14226,1581,0.0169514882439906,1.2626363649331334,0.1261816091210377
1,sparse_nonlinear,14226,1581,0.0810808400761051,1.197040390383424,0.2403152989246569
1,feature_graph,14226,1581,0.0585264914157742,1.208742960104439,0.2243586351904549
2,global_mean,14226,1581,-0.0008585395284059,1.3601656847386994,
2,state_pool,14226,1581,-0.0005267717675119,1.3601857072814674,0.020254739204088
2,ridge,14226,1581,0.0437472303520025,1.3210918373044327,0.23342153665391
2,sparse_nonlinear,14226,1581,0.0966576091107338,1.2657608279255996,0.2884657929951239
2,feature_graph,14226,1581,0.0832072998495461,1.2839696742719793,0.2731015764671899
3,global_mean,14226,1581,-0.0002061685532943,1.3143001474368756,
3,state_pool,14226,1581,-0.0004585902926295,1.3144239058681384,0.0030133095728543
3,ridge,14226,1581,0.0107304480263316,1.3092835636423843,0.1236970465250458
3,sparse_nonlinear,14226,1581,0.1047875574017982,1.2356797801876824,0.2629918674494299
3,feature_graph,14226,1581,0.0689354944117996,1.2718037132901168,0.2286631786917631
4,global_mean,14226,1581,-0.0018373749692315,1.3660940378454676,
4,state_pool,14226,1581,-0.0020054094173247,1.366088605181034,-0.014081283097079
4,ridge,14226,1581,0.0359362717420072,1.3383402223984244,0.2090039603734281
4,sparse_nonlinear,14226,1581,0.1003287959110109,1.285368699834132,0.3015016828575226
4,feature_graph,14226,1581,0.0785984782733816,1.304537716757562,0.2703203651960179
5,global_mean,14226,1581,-2.1108070020758878e-06,1.3735120595170132,
5,state_pool,14226,1581,-8.201878891633818e-05,1.3735609894199654,0.0004465633758482
5,ridge,14226,1581,0.0213259097019569,1.3550824912521873,0.1511373070090031
5,sparse_nonlinear,14226,1581,0.0948493386245268,1.2841488271582504,0.2676848545493381
5,feature_graph,14226,1581,0.048011212215016,1.300928496899611,0.2207221205302963
6,global_mean,14226,1581,-0.0014232121291155,1.3882805547935946,
6,state_pool,14226,1581,-0.0011037914478615,1.3883065067985727,0.0080802326623408
6,ridge,14226,1581,0.0328939790682558,1.365388869110406,0.1792332420229291
6,sparse_nonlinear,14226,1581,0.0867557909537449,1.3066801612914256,0.2584313578390508
6,feature_graph,14226,1581,0.0743608038180332,1.3206026623176026,0.2397622623543673
7,global_mean,14226,1581,-0.0001180055447083,1.318150943423665,
7,state_pool,14226,1581,-0.0001333507996859,1.3183222422032923,-0.0233506714455708
7,ridge,14226,1581,0.009151159114996,1.3075129623583963,0.1171592214245979
7,sparse_nonlinear,14226,1581,0.0805294393882585,1.2448768479551402,0.2120471427100395
7,feature_graph,14226,1581,0.0441207053007682,1.2682774711658051,0.1850724077181324
8,global_mean,14227,1580,-3.4150458928294825e-05,1.282251826635752,
8,state_pool,14227,1580,0.0001026821657817,1.281974225615612,0.0080965712613157
8,ridge,14227,1580,0.0413593491279897,1.2631540205506535,0.1762382935744559
8,sparse_nonlinear,14227,1580,0.1049453020175854,1.2161359306580903,0.2170463220905893
8,feature_graph,14227,1580,0.0752504421529721,1.2400957225589435,0.2000028740767384
9,global_mean,14227,1580,-0.0005771658419901,1.3498474635997009,
9,state_pool,14227,1580,-0.000301379787021,1.3492467123247447,0.0246006105299642
9,ridge,14227,1580,0.0260010788623575,1.3349761162925915,0.1741148382554956
9,sparse_nonlinear,14227,1580,0.071834669873174,1.278783671768415,0.2507151114221595
9,feature_graph,14227,1580,0.0454433637065435,1.289571613947643,0.2184478634891639
10,global_mean,14227,1580,-0.0002170237013603,1.2973227861838863,
10,state_pool,14227,1580,-0.0002038565420441,1.2976329495393188,0.0152898716255523
10,ridge,14227,1580,-0.0029338050470135,1.297312842650335,0.115528080250578
10,sparse_nonlinear,14227,1580,0.0436112192724861,1.2475652774606114,0.2023082187776231
10,feature_graph,14227,1580,0.0247108548107656,1.2685328745572542,0.1872343202341579
