cross_validation_seed,result_family,median_estimate,expected_direction_fraction,supported_fraction,specifications
20260912,buffering,-0.16788798519064785,0.8467881944444444,0.8337673611111112,2304
20260912,context_switching,-0.6411242888394406,0.0,0.0,576
20260912,transfer_gain,0.06554488384458321,0.6215277777777778,0.5277777777777778,576
20260929,buffering,-0.1674389803119856,0.8441840277777778,0.8333333333333334,2304
20260929,context_switching,-0.6436433333916196,0.0,0.0,576
20260929,transfer_gain,0.06476291800763294,0.6284722222222222,0.5277777777777778,576
20261013,buffering,-0.17235850560113772,0.8450520833333334,0.8333333333333334,2304
20261013,context_switching,-0.6419816217379817,0.0,0.0,576
20261013,transfer_gain,0.06436195964484534,0.6197916666666666,0.5277777777777778,576
20261031,buffering,-0.17159130041952925,0.8450520833333334,0.8333333333333334,2304
20261031,context_switching,-0.6414708134625178,0.0,0.0,576
20261031,transfer_gain,0.06257415105994019,0.6163194444444444,0.5277777777777778,576
20261119,buffering,-0.17476971414065878,0.8472222222222222,0.8333333333333334,2304
20261119,context_switching,-0.6435023085307774,0.0,0.0,576
20261119,transfer_gain,0.06487317574189902,0.6180555555555556,0.5277777777777778,576
