prediction_model,outer_fold,proper_training_targets,calibration_targets,test_targets,alpha,l1_ratio,inner_mae
frozen_cd4_transfer,1,377,75,38,1.0,0.5,0.8039074148584907
frozen_cd4_transfer,2,373,76,41,1.0,0.0,0.8097364475728482
frozen_cd4_transfer,3,362,74,54,1.0,0.0,0.8014199811455993
frozen_cd4_transfer,4,358,78,54,0.01,1.0,0.7459161523635126
frozen_cd4_transfer,5,368,75,47,1.0,0.5,0.7745396892131066
frozen_cd4_transfer,6,366,75,49,1.0,0.5,0.792506079659396
frozen_cd4_transfer,7,362,73,55,1.0,0.0,0.8113891073286903
frozen_cd4_transfer,8,361,78,51,1.0,0.5,0.8078818593241875
frozen_cd4_transfer,9,373,70,47,0.1,0.5,0.7903323601490659
frozen_cd4_transfer,10,363,73,54,1.0,0.0,0.796793343493705
without_vector,1,377,75,38,0.01,1.0,0.7459637371390738
without_vector,2,373,76,41,0.1,0.5,0.747166986665752
without_vector,3,362,74,54,0.01,1.0,0.7411073575146645
without_vector,4,358,78,54,0.01,1.0,0.72688282716737
without_vector,5,368,75,47,0.01,1.0,0.718348576491148
without_vector,6,366,75,49,0.001,1.0,0.7367586503772551
without_vector,7,362,73,55,0.01,1.0,0.7514463796344621
without_vector,8,361,78,51,0.01,1.0,0.7473256410824088
without_vector,9,373,70,47,0.01,1.0,0.7319308761162933
without_vector,10,363,73,54,0.01,1.0,0.736127274063373
