prediction_model,selector,coverage,selected_targets,risk,ci_low,ci_high,status
frozen_cd4_transfer,predict_all,0.2,490,1.5089773358377536,1.4168859500226343,1.5984164817592983,developmental_only
frozen_cd4_transfer,random_abstention,0.2,98,1.5094798529878295,1.3217024884341246,1.7145695846827227,developmental_only
frozen_cd4_transfer,response_magnitude,0.2,98,1.4039847178380511,1.2373878193551733,1.5874946758367832,developmental_only
frozen_cd4_transfer,degree,0.2,98,1.3954023081270022,1.1654595810983692,1.6505668918293228,developmental_only
frozen_cd4_transfer,uncertainty_only,0.2,98,1.5478435489131932,1.388810170434436,1.7255286285294904,developmental_only
frozen_cd4_transfer,reliability_only,0.2,98,1.3310054292065767,1.1630887432351866,1.5085181540230894,developmental_only
frozen_cd4_transfer,applicability,0.2,98,1.4644526805500666,1.2273863758913826,1.7500522712553919,developmental_only
frozen_cd4_transfer,predict_all,0.3,490,1.5089773358377536,1.421733732439387,1.6057815269885682,developmental_only
frozen_cd4_transfer,random_abstention,0.3,147,1.5101356713786585,1.370818735136528,1.6570695665355515,developmental_only
frozen_cd4_transfer,response_magnitude,0.3,147,1.4111254893909786,1.2617160235489981,1.5683409504068522,developmental_only
frozen_cd4_transfer,degree,0.3,147,1.385644099798895,1.2133500100827754,1.5994230309351554,developmental_only
frozen_cd4_transfer,uncertainty_only,0.3,147,1.5163931033238283,1.357921115939368,1.6787921820080316,developmental_only
frozen_cd4_transfer,reliability_only,0.3,147,1.3362869071760852,1.1808925114231648,1.4877306819968765,developmental_only
frozen_cd4_transfer,applicability,0.3,147,1.3493097581527402,1.1596648862883472,1.5614706670171263,developmental_only
frozen_cd4_transfer,predict_all,0.4,490,1.5089773358377536,1.416615253750421,1.6094745290386319,developmental_only
frozen_cd4_transfer,random_abstention,0.4,196,1.5049894286869874,1.3897213214851523,1.6257959243638702,developmental_only
frozen_cd4_transfer,response_magnitude,0.4,196,1.3864813533772418,1.2678477544622095,1.5205475992989088,developmental_only
frozen_cd4_transfer,degree,0.4,196,1.358914653567418,1.2103569347174479,1.5289886006376034,developmental_only
frozen_cd4_transfer,uncertainty_only,0.4,196,1.5141151903984376,1.3800142850656871,1.649741205340735,developmental_only
frozen_cd4_transfer,reliability_only,0.4,196,1.3677804219058034,1.240231115066333,1.5072015558835148,developmental_only
frozen_cd4_transfer,applicability,0.4,196,1.3982319624742001,1.250471460635119,1.5703264553646188,developmental_only
frozen_cd4_transfer,predict_all,0.5,490,1.5089773358377536,1.4180892116960293,1.6021977095837765,developmental_only
frozen_cd4_transfer,random_abstention,0.5,245,1.5083311943580413,1.4226615495279173,1.6081012552148877,developmental_only
frozen_cd4_transfer,response_magnitude,0.5,245,1.4344151528340003,1.3202515068509422,1.554341684084684,developmental_only
frozen_cd4_transfer,degree,0.5,245,1.3650645084374766,1.2285826517355218,1.5169459138821908,developmental_only
frozen_cd4_transfer,uncertainty_only,0.5,245,1.4729823642339963,1.3586440876033217,1.5837697899795793,developmental_only
frozen_cd4_transfer,reliability_only,0.5,245,1.3708936676444419,1.2475359124817706,1.4905089234664042,developmental_only
frozen_cd4_transfer,applicability,0.5,245,1.436900804271381,1.3033571063152145,1.5890531205004192,developmental_only
frozen_cd4_transfer,predict_all,0.6,490,1.5089773358377536,1.413846505121181,1.6051312616065503,developmental_only
frozen_cd4_transfer,random_abstention,0.6,294,1.507728520783434,1.4292845564256447,1.58541725645064,developmental_only
frozen_cd4_transfer,response_magnitude,0.6,294,1.4503304644936994,1.344592620770626,1.5646743754543173,developmental_only
frozen_cd4_transfer,degree,0.6,294,1.3565639991190779,1.2370885986085498,1.4791537252005114,developmental_only
frozen_cd4_transfer,uncertainty_only,0.6,294,1.4619880672418257,1.3656782586211633,1.5705923443701424,developmental_only
frozen_cd4_transfer,reliability_only,0.6,294,1.4065627357018669,1.2993794425097593,1.5143350854750302,developmental_only
frozen_cd4_transfer,applicability,0.6,294,1.4543649841971695,1.3359988027719223,1.5840860821546188,developmental_only
frozen_cd4_transfer,predict_all,0.7,490,1.5089773358377536,1.4164854220139753,1.5973783330782267,developmental_only
frozen_cd4_transfer,random_abstention,0.7,343,1.5097742476142177,1.4451077545075768,1.5668327038954726,developmental_only
frozen_cd4_transfer,response_magnitude,0.7,343,1.4578456298798488,1.3632491221087466,1.555179983634843,developmental_only
frozen_cd4_transfer,degree,0.7,343,1.4007572770640637,1.2964817831894258,1.5155412592053243,developmental_only
frozen_cd4_transfer,uncertainty_only,0.7,343,1.492492179584908,1.3946566573882906,1.5905697767264098,developmental_only
frozen_cd4_transfer,reliability_only,0.7,343,1.3856783917248034,1.291398092837103,1.4802161657526942,developmental_only
frozen_cd4_transfer,applicability,0.7,343,1.4603736445684854,1.347647419381829,1.5862484807223323,developmental_only
frozen_cd4_transfer,predict_all,0.8,490,1.5089773358377536,1.420911491063168,1.6008203256373141,developmental_only
frozen_cd4_transfer,random_abstention,0.8,392,1.5113356986301065,1.4645731951476328,1.555717434249624,developmental_only
frozen_cd4_transfer,response_magnitude,0.8,392,1.4897963770081453,1.395699716896155,1.5816683271827492,developmental_only
frozen_cd4_transfer,degree,0.8,392,1.4312844453161184,1.3275991808638348,1.5413437053532815,developmental_only
frozen_cd4_transfer,uncertainty_only,0.8,392,1.500666819638232,1.4054289720772688,1.5964031151853997,developmental_only
frozen_cd4_transfer,reliability_only,0.8,392,1.4373757149751454,1.344585573878421,1.5441286925275208,developmental_only
