fold,training_rows,test_rows,training_targets,test_targets,components,training_explained_variance
1,14226,1581,5495,610,30,0.5349600315093994
2,14226,1581,5495,610,30,0.544547975063324
3,14226,1581,5494,611,30,0.5418859720230103
4,14226,1581,5494,611,30,0.5434441566467285
5,14226,1581,5494,611,30,0.5436410903930664
6,14226,1581,5494,611,30,0.5467759966850281
7,14226,1581,5494,611,30,0.39443451166152954
8,14227,1580,5495,610,30,0.5245129466056824
9,14227,1580,5495,610,30,0.5439839363098145
10,14227,1580,5495,610,30,0.5465243458747864
