dataset,method,edges,gold_edges,auroc,auprc,early_precision_ratio,bootstrap_targets,target_macro_auroc,target_macro_auroc_ci_low,target_macro_auroc_ci_high,target_macro_auprc,target_macro_auprc_ci_low,target_macro_auprc_ci_high,target_macro_early_precision_ratio,target_macro_early_precision_ratio_ci_low,target_macro_early_precision_ratio_ci_high,wall_seconds,peak_memory_mb
hESC,absolute_pearson,372690,4597,0.5531604125725051,0.0168457163951568,2.6101198400996304,815,0.5869590843416519,0.5761209620957888,0.5981212005280727,0.049159649100826,0.0450909429971943,0.053647699861876,2.378773072750453,1.874258025483286,2.9482687400804792,0.0127163999713957,12.01169204711914
hESC,pseudotime_lagged_correlation,372690,4597,0.5629574107196634,0.0187043104773585,2.998110627141468,815,0.612635621535893,0.6015311866637485,0.623389687540341,0.0642497182869137,0.0595856065301592,0.0691075709579892,3.8765413623929614,3.296590985663383,4.514241000255605,1.9400155000039376,13.441898345947266
hESC,ridge_transition,372690,4597,0.4896985602506732,0.011819960080034,0.758345629218136,815,0.4840601762456246,0.474259744538053,0.494274946231364,0.0238740489997601,0.022172620539978,0.0257649085630462,0.6896418273286526,0.44530108522108,1.0402756755638578,0.0862436000024899,26.587011337280277
hESC,finite_horizon_transfer,372690,4597,0.4828204861292747,0.0115204542534853,0.6878018497559838,815,0.4781821257829778,0.4677829613525082,0.4874346860734436,0.0230263782761211,0.0215204038244069,0.0246010007788733,0.6831230188423191,0.4767240943153683,0.9268759491723711,0.6665693000541069,25.2867431640625
hHep,absolute_pearson,424256,9859,0.507393716456073,0.0238652648844484,1.1130186465969027,874,0.5087204186402439,0.5014279575410397,0.51592693835064,0.0394296936701974,0.0375904514172196,0.0413904413697629,1.2380217231690132,0.9829031402588972,1.578680675464556,0.0164101000409573,13.337562561035156
hHep,pseudotime_lagged_correlation,424256,9859,0.5197639085764502,0.0242829097299086,0.9384274863464082,874,0.5335377702736578,0.5264069982865484,0.5404253826342031,0.0366435888623929,0.0353561911954726,0.0379822478899239,0.6996953073873985,0.5988675554375374,0.8125105029830209,0.784202600014396,9.558185577392578
hHep,ridge_transition,424256,9859,0.4987036743073904,0.0230295833876635,0.9427922653526704,874,0.49594225621275,0.4881349697683124,0.5038426166252805,0.035440792579392,0.0340685296660241,0.0370059705743246,0.8358884593299473,0.7139421653737287,0.9744991580469354,0.0246716999681666,19.93085289001465
hHep,finite_horizon_transfer,424256,9859,0.5045053046589626,0.0236289576710292,1.1304777626219522,874,0.5010317226442046,0.4928414924270518,0.5088481735311883,0.0387098044187534,0.0366182008764831,0.0410518842104221,1.234871393391866,0.9208068948876572,1.6398759900693796,0.5132213000324555,27.44178009033203
mDC,absolute_pearson,263220,718,0.5602775510886677,0.0034440958604998,0.0,415,0.5607680345695937,0.5360622550949055,0.5855907406298626,0.0398903454787051,0.0297619645208079,0.0513663520879686,3.8675899152164215,1.8603758478357872,6.552246675591253,0.0069192000082693,9.16436767578125
mDC,pseudotime_lagged_correlation,263220,718,0.5265204929914952,0.0029769785951696,0.0,415,0.5262575148189834,0.5012868885002436,0.5510153968725118,0.0320087034620331,0.0242412627546443,0.0409726964985388,2.796371709058456,1.2453766287371708,4.822153625613565,0.4411513999802992,6.869823455810547
mDC,ridge_transition,263220,718,0.561095106870548,0.0035903145907949,1.0211745718919003,415,0.5394667001943735,0.5147738543072901,0.5639491316072471,0.0334184460317534,0.0251031750812267,0.0430108263292676,3.201422356091031,0.8565453480589023,6.148106593038822,0.0212901000049896,15.150556564331056
mDC,finite_horizon_transfer,263220,718,0.5550714573146959,0.0033054351287268,1.0211745718919003,415,0.5349623171859944,0.5108251846929762,0.5566125909231907,0.0263015810493709,0.0199452360820837,0.0333790480371647,1.367437751004016,0.1787630522088353,3.1031198795180712,0.3972677999990992,20.58367156982422
mHSC-E,absolute_pearson,143412,11052,0.5296985102403899,0.079623272963213,0.8289120269671788,692,0.5425562430180736,0.5379600252131229,0.5472694922669444,0.0993096781661111,0.0968516700680017,0.1019524896917508,0.8137891024027106,0.7331260078602,0.9058376497799332,0.0099899999913759,9.5399169921875
mHSC-E,pseudotime_lagged_correlation,143412,11052,0.5399967899488196,0.0818798437883719,0.8664831103424617,692,0.5576058861830632,0.5535283395900598,0.5619141792924125,0.1008758373427273,0.0987375807828538,0.1031699588271601,0.9204027277457958,0.85353904918669,0.9922473009007534,0.8391064999741502,12.669662475585938
mHSC-E,ridge_transition,143412,11052,0.5051043559898223,0.0761552587915918,0.8535680504322082,692,0.5026814846949864,0.4963819048260748,0.5086159027130029,0.0952087194482771,0.092630292588352,0.097676754992712,0.8221776718139164,0.7498591238353042,0.9041314689983048,0.0408543000230565,22.86505508422852
mHSC-E,finite_horizon_transfer,143412,11052,0.5116636018122304,0.078065909627883,0.954540337003281,692,0.5074198108801111,0.5013042877015786,0.5138080838916798,0.0985603481057553,0.0957667118986779,0.1012065655928524,0.9447967595745648,0.8670791819017367,1.0242417943734008,0.4093471000087447,15.13678741455078
