locus,gene,trait,condition,transfer_class,transfer_residual,rank,downstream_gene,normalized_signed_effect,q_value,supported
gata3,GATA3,asthma,Rest,amplified,5.388826896219104,1,IRX3,-0.26140675,0.0022905242401883,True
gata3,GATA3,asthma,Rest,amplified,5.388826896219104,2,FOXP3,-0.2247829,4.4333598614833433e-05,True
gata3,GATA3,asthma,Rest,amplified,5.388826896219104,3,NRP2,-0.21487242,0.0009234591296785,True
gata3,GATA3,asthma,Rest,amplified,5.388826896219104,4,CSF2RB,-0.20604949,0.0020685430995977,True
gata3,GATA3,asthma,Rest,amplified,5.388826896219104,5,WHRN,-0.20237313,0.0674758972261744,True
gata3,GATA3,asthma,Rest,amplified,5.388826896219104,6,ASB9,-0.18893975,0.0776174593573585,True
gata3,GATA3,asthma,Rest,amplified,5.388826896219104,7,EPHB1,0.18691331,3.586679302437799e-05,True
gata3,GATA3,asthma,Rest,amplified,5.388826896219104,8,FAM124B,-0.18688592,0.0831387769602634,True
gata3,GATA3,asthma,Rest,amplified,5.388826896219104,9,TOX,-0.18463086,0.0925126668131091,True
gata3,GATA3,asthma,Rest,amplified,5.388826896219104,10,C5AR2,-0.17646351,0.0391041256926149,True
gata3,GATA3,asthma,Rest,amplified,5.388826896219104,11,ZBTB16,-0.17430604,0.0278772636174182,True
gata3,GATA3,asthma,Rest,amplified,5.388826896219104,12,RGS6,0.16680945,3.926290643190801e-06,True
gata3,GATA3,asthma,Rest,amplified,5.388826896219104,13,GTF2IRD1,-0.16673878,0.0050086432305615,True
gata3,GATA3,asthma,Rest,amplified,5.388826896219104,14,S100P,-0.1630133,2.9563530114133606e-06,True
gata3,GATA3,asthma,Rest,amplified,5.388826896219104,15,FRY,-0.15649968,3.0850458450961995e-06,True
gata3,GATA3,asthma,Rest,amplified,5.388826896219104,16,ERN1,-0.15169129,9.090067656955948e-33,True
gata3,GATA3,asthma,Rest,amplified,5.388826896219104,17,IL9R,-0.1453447,2.7434039462623185e-07,True
gata3,GATA3,asthma,Rest,amplified,5.388826896219104,18,HHLA2,0.14420365,5.654628030345688e-05,True
