feature_id,gene_name,log_fc,lfc_se,q_value,target_gene,culture_condition,role,tested,significant
ENSG00000000419,DPM1,0.0114324165093488,0.0640861641063987,0.9546773014382026,GATA3,Rest,amplified,True,False
ENSG00000000457,SCYL3,0.1113195639108014,0.0940252734829656,0.5971246609507372,GATA3,Rest,amplified,True,False
ENSG00000000460,C1orf112,0.0689795014595847,0.1127714229081065,0.8203302366085894,GATA3,Rest,amplified,True,False
ENSG00000000971,CFH,-1.0651597789024982,0.865268332818587,0.5748049030393158,GATA3,Rest,amplified,True,False
ENSG00000001036,FUCA2,-0.0996102587992918,0.1674455396457075,0.8250148714690907,GATA3,Rest,amplified,True,False
ENSG00000001084,GCLC,-0.1165822237520584,0.0914852299424564,0.5548284629641702,GATA3,Rest,amplified,True,False
ENSG00000001460,STPG1,-0.0301510588253281,0.2074269467811842,0.9633919826670252,GATA3,Rest,amplified,True,False
ENSG00000001461,NIPAL3,0.1219119196910232,0.0876556429781194,0.5139707803841502,GATA3,Rest,amplified,True,False
ENSG00000001561,ENPP4,-0.57632680735003,0.1853152139837367,0.0352294670424378,GATA3,Rest,amplified,True,True
ENSG00000001629,ANKIB1,-0.0624716012074509,0.089110711485051,0.7888072075900796,GATA3,Rest,amplified,True,False
ENSG00000001630,CYP51A1,-0.2984317489286104,0.1725270319362776,0.370937926469678,GATA3,Rest,amplified,True,False
ENSG00000001631,KRIT1,-0.157525651008944,0.0615608386314998,0.1116666033087535,GATA3,Rest,amplified,True,False
ENSG00000002016,RAD52,0.1995985887987731,0.1703410284975411,0.6027965412072105,GATA3,Rest,amplified,True,False
ENSG00000002330,BAD,0.06309323219483,0.1046514080992598,0.8226940875777676,GATA3,Rest,amplified,True,False
ENSG00000002549,LAP3,0.0694024577093476,0.0816647947624718,0.7274023106066859,GATA3,Rest,amplified,True,False
ENSG00000002586,CD99,0.1381230091584626,0.0949921648876672,0.4885827371263992,GATA3,Rest,amplified,True,False
ENSG00000002587,HS3ST1,-0.6566318184221084,1.980398222208759,,GATA3,Rest,amplified,False,False
ENSG00000002822,MAD1L1,0.1878321672979183,0.0832194773467514,0.1881950247275966,GATA3,Rest,amplified,True,False
ENSG00000002834,LASP1,0.1941026522742998,0.0608752257177,0.0285099868492514,GATA3,Rest,amplified,True,True
ENSG00000002919,SNX11,-0.108020047816778,0.1207531192921285,0.7144059187830817,GATA3,Rest,amplified,True,False
ENSG00000003056,M6PR,-0.3625153913061323,0.0602268612850728,3.579323418452282e-07,GATA3,Rest,amplified,True,True
ENSG00000003096,KLHL13,-0.0327986067313626,1.042063266970597,,GATA3,Rest,amplified,False,False
ENSG00000003147,ICA1,0.2472942158851273,0.3019385789038895,0.7415285930258831,GATA3,Rest,amplified,True,False
ENSG00000003393,ALS2,-0.0289215151435361,0.1273394879988152,0.942204003785721,GATA3,Rest,amplified,True,False
ENSG00000003400,CASP10,0.0256037412590211,0.0954912193465504,0.9316519863302872,GATA3,Rest,amplified,True,False
ENSG00000003509,NDUFAF7,-0.0206899199539858,0.0992452634732565,0.9481256072792268,GATA3,Rest,amplified,True,False
ENSG00000003756,RBM5,0.0114097758445758,0.0650452831153361,0.9554856279058028,GATA3,Rest,amplified,True,False
ENSG00000004059,ARF5,-0.1075234416354288,0.0764418784557192,0.5071193400777401,GATA3,Rest,amplified,True,False
ENSG00000004139,SARM1,-0.120518443726548,0.1553967810971161,0.7591162235581104,GATA3,Rest,amplified,True,False
ENSG00000004142,POLDIP2,0.0996970090801871,0.0730298951180507,0.522680608233939,GATA3,Rest,amplified,True,False
ENSG00000004399,PLXND1,0.161293576521019,1.0050699517797692,,GATA3,Rest,amplified,False,False
ENSG00000004468,CD38,-0.2843174150401806,0.3305270012848025,0.7229632807655302,GATA3,Rest,amplified,True,False
ENSG00000004478,FKBP4,0.0614992615318115,0.1723188489576275,0.9043528255646002,GATA3,Rest,amplified,True,False
ENSG00000004487,KDM1A,0.0005824360495407,0.0782226062318214,0.997940263051952,GATA3,Rest,amplified,True,False
ENSG00000004534,RBM6,0.0719269955326673,0.0575618006853757,0.5659628516352253,GATA3,Rest,amplified,True,False
ENSG00000004660,CAMKK1,0.391899805498399,0.3611943942989783,0.6354470525062208,GATA3,Rest,amplified,True,False
ENSG00000004700,RECQL,0.0226946210089701,0.0482853159267354,0.8690098905777235,GATA3,Rest,amplified,True,False
ENSG00000004766,VPS50,-0.0229901582276511,0.0949833568372683,0.9400391517870056,GATA3,Rest,amplified,True,False
ENSG00000004777,ARHGAP33,0.0989657497651796,0.181582697021191,0.8434545014499321,GATA3,Rest,amplified,True,False
ENSG00000004779,NDUFAB1,0.1034930025444771,0.0697157264666366,0.473357915262318,GATA3,Rest,amplified,True,False
ENSG00000004864,SLC25A13,0.0497480337657323,0.1759501529702121,0.9278096203664048,GATA3,Rest,amplified,True,False
ENSG00000004866,ST7,-0.6063135938869126,0.2273480134652274,0.0915077529925055,GATA3,Rest,amplified,True,True
ENSG00000004897,CDC27,0.0990283239437009,0.0729230504685071,0.5250555013361389,GATA3,Rest,amplified,True,False
ENSG00000004961,HCCS,0.215277101853305,0.0922864312845032,0.1680906821622778,GATA3,Rest,amplified,True,False
ENSG00000004975,DVL2,0.0119649013009625,0.1107866405452398,0.9738177003287988,GATA3,Rest,amplified,True,False
ENSG00000005020,SKAP2,0.2682951720567338,0.3351185670564973,0.7490657343173714,GATA3,Rest,amplified,True,False
ENSG00000005022,SLC25A5,0.0442780644213322,0.0844811435898978,0.8495296097720068,GATA3,Rest,amplified,True,False
ENSG00000005059,MCUB,-0.0625347488528748,0.0577112118304693,0.6357968273284177,GATA3,Rest,amplified,True,False
ENSG00000005156,LIG3,-0.0075971475949246,0.129393070620379,0.9864216177447284,GATA3,Rest,amplified,True,False
ENSG00000005175,RPAP3,0.0053210721663868,0.0702173927963958,0.9830252202781864,GATA3,Rest,amplified,True,False
ENSG00000005187,ACSM3,0.304562199325473,0.510461691992185,0.8250148714690907,GATA3,Rest,amplified,True,False
ENSG00000005189,REXO5,-0.0144182201164975,0.254817545584506,0.9870627727419058,GATA3,Rest,amplified,True,False
ENSG00000005206,SPPL2B,-0.0119589914811295,0.1121654621166243,0.9738844672584658,GATA3,Rest,amplified,True,False
ENSG00000005238,ATOSB,0.4164108429922495,0.1631270968661192,0.1121509653353213,GATA3,Rest,amplified,True,False
ENSG00000005249,PRKAR2B,0.6003833438611592,0.4684604206068654,0.5520260381437017,GATA3,Rest,amplified,True,False
ENSG00000005302,MSL3,0.0372427023195676,0.2438012025959908,0.962053412000063,GATA3,Rest,amplified,True,False
ENSG00000005339,CREBBP,0.0805214088270186,0.0589400493135213,0.522680608233939,GATA3,Rest,amplified,True,False
ENSG00000005379,TSPOAP1,0.4495738082415443,0.1661826307784218,0.0843818517027903,GATA3,Rest,amplified,True,True
ENSG00000005436,GCFC2,-0.096146822984796,0.1058129708003807,0.709805099265137,GATA3,Rest,amplified,True,False
ENSG00000005448,WDR54,-0.1156243042745009,0.1021687177564935,0.6169335120059585,GATA3,Rest,amplified,True,False
ENSG00000005469,CROT,-0.066866192211777,0.1705045419518131,0.8924264009487183,GATA3,Rest,amplified,True,False
ENSG00000005483,KMT2E,0.0170358905531377,0.0610755305054844,0.9286785172189834,GATA3,Rest,amplified,True,False
ENSG00000005486,RHBDD2,0.0677345837331333,0.1499037661054247,0.8744140444572518,GATA3,Rest,amplified,True,False
ENSG00000005700,IBTK,-0.2682178984663495,0.0753581252011935,0.0109097980329918,GATA3,Rest,amplified,True,True
ENSG00000005801,ZNF195,-0.2353565690204136,0.1101408828545877,0.2256743055929854,GATA3,Rest,amplified,True,False
ENSG00000005810,MYCBP2,-0.0932444715567978,0.0953670088077883,0.6786153430441878,GATA3,Rest,amplified,True,False
