feature_id,gene_name,log_fc,lfc_se,q_value,target_gene,culture_condition,role,tested,significant
ENSG00000000419,DPM1,0.1888597958863712,0.0716893467730366,0.0531537076085206,NFAT5,Rest,context_switching,True,True
ENSG00000000457,SCYL3,-0.3028645479892464,0.1297760523907213,0.0923760752977051,NFAT5,Rest,context_switching,True,True
ENSG00000000460,C1orf112,0.2116453622442375,0.1231596075415585,0.2419629941662765,NFAT5,Rest,context_switching,True,False
ENSG00000000971,CFH,1.073580631514342,0.7482601131360671,,NFAT5,Rest,context_switching,False,False
ENSG00000001036,FUCA2,0.0058818382863679,0.191746981681014,0.9892008175149372,NFAT5,Rest,context_switching,True,False
ENSG00000001084,GCLC,-0.0124246615084707,0.107700702760812,0.954836222367727,NFAT5,Rest,context_switching,True,False
ENSG00000001460,STPG1,-0.1630679307954323,0.2656425791576119,,NFAT5,Rest,context_switching,False,False
ENSG00000001461,NIPAL3,-0.4534943834700258,0.1120764517227307,0.0013877092554536,NFAT5,Rest,context_switching,True,True
ENSG00000001561,ENPP4,-0.0340611918436175,0.2009497652606244,0.9309110234213646,NFAT5,Rest,context_switching,True,False
ENSG00000001629,ANKIB1,-0.1511354072751391,0.1153715937849616,0.3961623042786665,NFAT5,Rest,context_switching,True,False
ENSG00000001630,CYP51A1,0.5493994970594087,0.1720845959075922,0.0164680139294148,NFAT5,Rest,context_switching,True,True
ENSG00000001631,KRIT1,-0.0892743068107198,0.0751382870122239,0.4466953214668056,NFAT5,Rest,context_switching,True,False
ENSG00000002016,RAD52,0.1585487166317677,0.2200040768751029,,NFAT5,Rest,context_switching,False,False
ENSG00000002330,BAD,-0.0746552023642402,0.138020679434967,0.7592366307798403,NFAT5,Rest,context_switching,True,False
ENSG00000002549,LAP3,0.0457194789514567,0.0959513492790529,0.7891556555829548,NFAT5,Rest,context_switching,True,False
ENSG00000002586,CD99,0.0586767540253684,0.101989797371503,0.741985007195055,NFAT5,Rest,context_switching,True,False
ENSG00000002587,HS3ST1,0.0766407767914367,1.8322782075091957,,NFAT5,Rest,context_switching,False,False
ENSG00000002822,MAD1L1,-0.022814364530874,0.0983319906103791,0.9036036208769468,NFAT5,Rest,context_switching,True,False
ENSG00000002834,LASP1,-0.0995240158592779,0.0776744194525123,0.4075854456489954,NFAT5,Rest,context_switching,True,False
ENSG00000002919,SNX11,0.0975531398934023,0.1438008150913024,0.6940997002194222,NFAT5,Rest,context_switching,True,False
ENSG00000003056,M6PR,0.1050497895559789,0.0653305958511604,0.2806098783032266,NFAT5,Rest,context_switching,True,False
ENSG00000003096,KLHL13,-1.1049195948720685,1.3936870832538488,,NFAT5,Rest,context_switching,False,False
ENSG00000003147,ICA1,-0.1181948798333749,0.4022558421184044,,NFAT5,Rest,context_switching,False,False
