source_id	accession_or_doi	resource	version_or_commit	genome_build	access	license	url	retrieved_utc	sha256	local_name	planned_use	status
gwt_cd4_de	GSE314342	Primary CD4 Perturb-seq differential-expression summary	aa5c84a973c0e1a090b0072dc5b080bf7fbbed38	GRCh38	public	source terms	https://github.com/emdann/GWT_perturbseq_analysis_2025/blob/aa5c84a973c0e1a090b0072dc5b080bf7fbbed38/metadata/suppl_tables/DE_stats.suppl_table.csv	2026-09-12	c324d9971f8f8c3ff12ed3d41190066e31da3f91be7e905c327d8581f867ff4b	DE_stats.suppl_table.csv	primary transfer phenotypes	verified
gwt_cd4_vectors	GSE314342	Primary CD4 Perturb-seq full differential-expression matrix	aa5c84a973c0e1a090b0072dc5b080bf7fbbed38	GRCh38	public	source terms	https://perturbseq-2025.s3.us-east-2.amazonaws.com/GWCD4i.DE_stats.h5ad	2026-09-12	c355f535ff32cf7ba1edc49cf9c6039fe84f2c9ebe4d005515cba75790cfbb62	GWCD4i.DE_stats.h5ad	signed response vectors	verified, 16786240107 bytes
gwt_cd4_qc	GSE314342	Primary CD4 Perturb-seq lane QC	aa5c84a973c0e1a090b0072dc5b080bf7fbbed38	GRCh38	public	source terms	https://github.com/emdann/GWT_perturbseq_analysis_2025/blob/aa5c84a973c0e1a090b0072dc5b080bf7fbbed38/metadata/suppl_tables/QC_summaries_per_sample_lane.csv	2026-09-12	73e86d39d2a2ff5ead7dba6a52b4916e8c4d75714457c3c8e2cbccb5ccceef4c	QC_summaries_per_sample_lane.csv	quality control	verified
gwt_cd4_clusters	GSE314342	Primary CD4 perturbation clusters	aa5c84a973c0e1a090b0072dc5b080bf7fbbed38	GRCh38	public	source terms	https://github.com/emdann/GWT_perturbseq_analysis_2025/blob/aa5c84a973c0e1a090b0072dc5b080bf7fbbed38/metadata/suppl_tables/clustering_results_and_annotations.csv	2026-09-12	b535cdffefb0d56387d08bb20ac8e592ca41c7d3b99fd834497521355eb22cfa	clustering_results_and_annotations.csv	context rerouting	verified
gwt_cd4_cluster_genes	GSE314342	Cluster downstream-gene summaries	aa5c84a973c0e1a090b0072dc5b080bf7fbbed38	GRCh38	public	source terms	https://github.com/emdann/GWT_perturbseq_analysis_2025/blob/aa5c84a973c0e1a090b0072dc5b080bf7fbbed38/metadata/suppl_tables/clustering_downstream_genes.csv.gz	2026-09-12	9887ec3045e9d6376488632f74b5d5d33dcf7d14607e252267b5f54723aaf0f5	clustering_downstream_genes.csv.gz	network modules	verified
gwt_cd4_disease	GSE314342	Cluster autoimmune enrichment summary	aa5c84a973c0e1a090b0072dc5b080bf7fbbed38	GRCh38	public	source terms	https://github.com/emdann/GWT_perturbseq_analysis_2025/blob/aa5c84a973c0e1a090b0072dc5b080bf7fbbed38/metadata/suppl_tables/cluster_autoimmune_enrichment_results.suppl_table.csv	2026-09-12	3ad31b128f4524adf7aa46ac97611a064059d0a8817f7af8103b600a2c29a80f	cluster_autoimmune_enrichment_results.suppl_table.csv	disease convergence	verified
gwt_cd4_k562	GSE314342	K562 cross-system comparison	aa5c84a973c0e1a090b0072dc5b080bf7fbbed38	GRCh38	public	source terms	https://github.com/emdann/GWT_perturbseq_analysis_2025/blob/aa5c84a973c0e1a090b0072dc5b080bf7fbbed38/metadata/suppl_tables/K562_comparison.suppl_table.csv	2026-09-12	e4a06b8614b9b7052ca6c201eb20cc269c59ec8f452b8f1fe0b40a61e001314f	K562_comparison.suppl_table.csv	second-system validation	verified
gwt_cd4_th	GSE314342	Th1 and Th2 arrayed validation summary	aa5c84a973c0e1a090b0072dc5b080bf7fbbed38	GRCh38	public	source terms	https://github.com/emdann/GWT_perturbseq_analysis_2025/blob/aa5c84a973c0e1a090b0072dc5b080bf7fbbed38/metadata/suppl_tables/Th1Th2_validation_summary.suppl_table.csv	2026-09-12	41bf4fbf793a5fc353abba63669bdc2e496743ce43876e1c3f2fd10690637acc	Th1Th2_validation_summary.suppl_table.csv	context validation	verified
gwt_cd4_cytokine	GSE314342	IL10 and IL21 arrayed validation summary	aa5c84a973c0e1a090b0072dc5b080bf7fbbed38	GRCh38	public	source terms	https://github.com/emdann/GWT_perturbseq_analysis_2025/blob/aa5c84a973c0e1a090b0072dc5b080bf7fbbed38/metadata/suppl_tables/IL10_IL21_arrayed_validation_combined.csv	2026-09-12	d76a1c6e97d49abeccfaab13644e10221185d8584b1161e9d31d17a65f0a58a4	IL10_IL21_arrayed_validation_combined.csv	orthogonal validation	verified
sting_seq	10.1126/science.adh7699	STING-seq supplementary tables	published	GRCh38	public viewing	publisher terms	https://pmc.ncbi.nlm.nih.gov/articles/PMC10518238/	2026-09-12			CRE-to-gene replication	access route blocked by automated verification
