doi	citekey	year	title	decision	reason
10.1016/j.cell.2016.11.038	Dixit2016Perturb	2016	Perturb-Seq: Dissecting Molecular Circuits with Scalable Single-Cell RNA Profiling of Pooled Genetic Screens	include	included after topical and metadata review
10.1016/j.cell.2016.11.039	Jaitin2016Dissecting	2016	Dissecting Immune Circuits by Linking CRISPR-Pooled Screens with Single-Cell RNA-Seq	include	included after topical and metadata review
10.1016/j.cell.2016.11.048	Adamson2016Multiplexed	2016	A Multiplexed Single-Cell CRISPR Screening Platform Enables Systematic Dissection of the Unfolded Protein Response	include	included after topical and metadata review
10.1016/j.cell.2018.10.024	Shifrut2018Genome	2018	Genome-wide CRISPR Screens in Primary Human T Cells Reveal Key Regulators of Immune Function	include	included after topical and metadata review
10.1016/j.cell.2018.11.029	Gasperini2019Genome	2019	A Genome-wide Framework for Mapping Gene Regulation via Cellular Genetic Screens	include	included after topical and metadata review
10.1016/j.cell.2019.05.013		2019	Tracing Oncogene Rearrangements in the Mutational History of Lung Adenocarcinoma	exclude	unrelated cancer history study
10.1016/j.cell.2022.05.013	Replogle2022Mapping	2022	Mapping information-rich genotype-phenotype landscapes with genome-scale Perturb-seq	include	included after topical and metadata review
10.1016/j.cell.2026.08.002	Zhu2026Genome	2026	Genome-scale perturb-seq in primary human CD4+ T cells maps context-specific regulators of T cell programs and human immune traits	include	included after topical and metadata review
10.1016/j.csbj.2025.02.028	MonfortLanzas2025Machine	2025	Machine learning to dissect perturbations in complex cellular systems	include	included after topical and metadata review
10.1016/j.molcel.2021.11.017		2022	The long noncoding RNA glycoLINC assembles a lower glycolytic metabolon to promote glycolysis	exclude	unrelated metabolic lncRNA study
10.1038/nbt.3450	Korkmaz2016Functional	2016	Functional genetic screens for enhancer elements in the human genome using CRISPR-Cas9	include	included after topical and metadata review
10.1038/nmeth.4177	Datlinger2017Pooled	2017	Pooled CRISPR screening with single-cell transcriptome readout	include	included after topical and metadata review
10.1038/s41467-019-10216-x	Duan2019Model	2019	Model-based understanding of single-cell CRISPR screening	include	included after topical and metadata review
10.1038/s41467-020-14362-5	Li2020Interrogation	2020	Interrogation of enhancer function by enhancer-targeting CRISPR epigenetic editing	include	included after topical and metadata review
10.1038/s41586-020-2493-4	Anon2020Expanded	2020	Expanded encyclopaedias of DNA elements in the human and mouse genomes	include	included after topical and metadata review
10.1038/s41586-021-03446-x	Nasser2021Genome	2021	Genome-wide enhancer maps link risk variants to disease genes	include	included after topical and metadata review
10.1038/s41586-022-05688-9	Kamimoto2023Dissecting	2023	Dissecting cell identity via network inference and in silico gene perturbation	include	included after topical and metadata review
10.1038/s41586-023-06139-9	Theodoris2023Transfer	2023	Transfer learning enables predictions in network biology	include	included after topical and metadata review
10.1038/s41586-024-08314-y	Arce2025Central	2025	Central control of dynamic gene circuits governs T cell rest and activation	include	included after topical and metadata review
10.1038/s41586-025-09313-3	Baglaenko2025Precisely	2025	Precisely defining disease variant effects in CRISPR-edited single cells	include	included after topical and metadata review
10.1038/s41587-019-0336-3	Moon2019Visualizing	2019	Visualizing structure and transitions in high-dimensional biological data	include	included after topical and metadata review
10.1038/s41587-020-0605-1		2021	Cell type prioritization in single-cell data	exclude	not required for the stated analyses
10.1038/s41587-021-01001-7	Lotfollahi2022Mapping	2022	Mapping single-cell data to reference atlases by transfer learning	include	included after topical and metadata review
10.1038/s41587-023-01905-6	Roohani2024Predicting	2024	Predicting transcriptional outcomes of novel multigene perturbations with GEARS	include	included after topical and metadata review
10.1038/s41588-019-0538-0	Fulco2019Activity	2019	Activity-by-contact model of enhancer-promoter regulation from thousands of CRISPR perturbations	include	included after topical and metadata review
10.1038/s41588-021-00778-2	Papalexi2021Characterizing	2021	Characterizing the molecular regulation of inhibitory immune checkpoints with multimodal single-cell screens	include	included after topical and metadata review
10.1038/s41588-021-00913-z	Vsa2021Large	2021	Large-scale cis- and trans-eQTL analyses identify thousands of genetic loci and polygenic scores that regulate blood gene expression	include	included after topical and metadata review
10.1038/s41592-018-0229-2	Lopez2018Deep	2018	Deep generative modeling for single-cell transcriptomics	include	included after topical and metadata review
