target_contrast	target_contrast_gene_name	culture_condition	ontarget_effect_size	n_cells_target	n_guides	transfer_residual	transfer_z	transfer_class
ENSG00000001036	FUCA2	Rest	-7.333048459449525	481.0	2.0	-1.1441240780727338	-0.6755872532080556	intermediate
ENSG00000001036	FUCA2	Stim48hr	-9.397815826156428	542.0	2.0	-1.176737673312742	-0.7021084222903686	intermediate
ENSG00000001036	FUCA2	Stim8hr	-6.826602930778786	522.0	2.0	0.26914894275847967	0.15535120358919624	intermediate
ENSG00000001561	ENPP4	Rest	-7.073231909355206	469.0	2.0	-0.5053565504319165	-0.29840508589951426	intermediate
ENSG00000001561	ENPP4	Stim48hr	-7.580196624116431	437.0	2.0	-0.5834469405425063	-0.3481175288296992	intermediate
ENSG00000001561	ENPP4	Stim8hr	-7.507326673412668	425.0	2.0	-0.10163848649346074	-0.058665142972202634	intermediate
ENSG00000002016	RAD52	Stim48hr	-5.163835430937287	416.0	2.0	-1.1198737954403863	-0.6681802083105473	intermediate
ENSG00000002016	RAD52	Stim8hr	-4.515662905597239	368.0	2.0	-1.2535255716961093	-0.7235276657488955	intermediate
ENSG00000002549	LAP3	Rest	-13.645843652424665	704.0	2.0	0.21101747205221866	0.12460249465495754	intermediate
ENSG00000002549	LAP3	Stim48hr	-15.62169185379864	596.0	2.0	0.03837713957630018	0.022897977630033966	intermediate
ENSG00000002549	LAP3	Stim8hr	-14.65536648641729	618.0	2.0	-0.3634705764642603	-0.20979310170893414	intermediate
ENSG00000002586	CD99	Rest	-19.32489288287372	433.0	2.0	-1.800305520924106	-1.0630520632562848	buffered
ENSG00000002586	CD99	Stim48hr	-22.90140736163528	670.0	2.0	0.8768365462387262	0.5231704041165601	intermediate
ENSG00000002586	CD99	Stim8hr	-27.64802453710552	683.0	2.0	0.5381402769954124	0.31061143645687567	intermediate
ENSG00000002834	LASP1	Rest	-26.09746104002172	998.0	2.0	-0.8102277701095965	-0.4784267407458864	intermediate
ENSG00000002834	LASP1	Stim48hr	-22.80107223489557	1042.0	2.0	-1.0322986495888529	-0.615927910385411	intermediate
ENSG00000002834	LASP1	Stim8hr	-22.098408059593297	881.0	2.0	-1.4177732460976942	-0.8183304676603614	intermediate
ENSG00000002919	SNX11	Rest	-7.427849364498344	404.0	2.0	-0.5888512003144007	-0.34770736198367325	intermediate
ENSG00000002919	SNX11	Stim48hr	-7.473247458814082	472.0	2.0	-0.18338609220623625	-0.10941854143790707	intermediate
ENSG00000002919	SNX11	Stim8hr	-8.642940781165251	427.0	2.0	-0.6338467608657111	-0.3658526620331648	intermediate
ENSG00000003056	M6PR	Rest	-22.940132231967933	845.0	2.0	-0.8511080887452697	-0.5025659252160422	intermediate
ENSG00000003056	M6PR	Stim48hr	-21.42001685702221	1075.0	2.0	-0.6947366062861438	-0.4145192540438805	intermediate
ENSG00000003056	M6PR	Stim8hr	-24.02652389602555	957.0	2.0	-0.47011723008219297	-0.2713489296029822	intermediate
ENSG00000003393	ALS2	Rest	-5.488097773864936	316.0	2.0	3.17460359220702	1.8745534352325932	amplified
ENSG00000003393	ALS2	Stim48hr	-6.789444033974117	279.0	2.0	-1.7617865755001212	-1.0511817722759291	buffered
ENSG00000003393	ALS2	Stim8hr	-5.713942944948274	324.0	2.0	0.3090603780028536	0.17838785176860067	intermediate
ENSG00000003400	CASP10	Rest	-12.539118922378822	389.0	2.0	-0.8096240497775868	-0.4780702533957598	intermediate
ENSG00000003400	CASP10	Stim48hr	-12.472743180123729	488.0	2.0	-1.5707504492080726	-0.9371987867106097	buffered
ENSG00000003400	CASP10	Stim8hr	-7.148525893339012	437.0	2.0	-0.47509619490964516	-0.2742227591289152	intermediate
ENSG00000003756	RBM5	Rest	-18.091371188478256	650.0	2.0	1.9538680021734707	1.153728290504145	intermediate
ENSG00000003756	RBM5	Stim48hr	-14.523061123163524	482.0	2.0	4.094147223464788	2.4428003903359263	amplified
ENSG00000003756	RBM5	Stim8hr	-15.710054500655426	520.0	2.0	3.624782693657192	2.092203478258665	amplified
ENSG00000004468	CD38	Rest	-6.706269064259821	955.0	2.0	1.1241410200096666	0.663787572066596	intermediate
ENSG00000004468	CD38	Stim48hr	-13.155742665535255	903.0	2.0	0.9360906789437182	0.5585247796678808	intermediate
ENSG00000004468	CD38	Stim8hr	-15.398202080303442	913.0	2.0	0.6169163283903476	0.3560805149261501	intermediate
ENSG00000004487	KDM1A	Rest	-15.42804875278808	567.0	2.0	6.108882524684571	3.607198942945396	amplified
ENSG00000004487	KDM1A	Stim48hr	-18.57519939748311	559.0	2.0	6.381125810082873	3.807341497226732	amplified
ENSG00000004487	KDM1A	Stim8hr	-21.050216811445004	541.0	2.0	6.1106102212884075	3.5270086622388974	amplified
ENSG00000004534	RBM6	Rest	-13.985946247231594	318.0	2.0	-1.4165388430907053	-0.8364438826234795	intermediate
ENSG00000004534	RBM6	Stim48hr	-15.4438145306515	333.0	2.0	-0.014137836776028312	-0.00843543510039206	intermediate
ENSG00000004534	RBM6	Stim8hr	-14.570603068861226	290.0	2.0	-0.056899662087664726	-0.03284215385928275	intermediate
ENSG00000004766	VPS50	Rest	-8.3156310309595	372.0	2.0	0.6120575826985748	0.3614103653836448	intermediate
ENSG00000004766	VPS50	Stim48hr	-6.165111212859788	441.0	2.0	-0.05607008717756479	-0.033454593439757055	intermediate
ENSG00000004766	VPS50	Stim8hr	-7.751954803885625	451.0	2.0	0.8729767560886195	0.5038771037843377	intermediate
