source_table	result_family	specifications	expected_direction_fraction	q_supported_fraction	median_estimate	minimum_estimate	maximum_estimate	robustness_label	specification_id	minimum_cells	minimum_guides	on_target_rule	transfer_definition	model_family	covariate_set	cross_validation_seed	module_resolution	reason	tail_cutoff
scalar_families	buffering	11520.0	0.8456597222222222	0.8334201388888889	-0.1674389803119856	-1.1346755624435412	0.1297345199663087	broad											
scalar_families	context_switching	2880.0	0.0	0.0	-0.6421185542804473	-0.8411344872488343	-0.3126207148046002	narrow											
scalar_families	transfer_gain	2880.0	0.6208333333333333	0.5277777777777778	0.0646886472691029	-0.2534243904276322	0.9496275851967024	mixed											
validation_families	cross_system_conservation	216.0	0.6666666666666666	0.6666666666666666	0.3646522869435843	0.3140530871534042	0.4185022820650988												
validation_families	disease_convergence	576.0	0.9027777777777778	0.4930555555555556	0.0421695861813914	-0.0092509500069708	0.0962091354440429												
validation_families	natural_genetic_concordance	216.0	0.5370370370370371	0.074074074074074	0.0589004393117993	-0.0576133515607199	0.2209249976793836												
scalar_unavailable									961	100.0	3.0	significant	distal_gene_count_residual	ridge	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									965	100.0	3.0	significant	distal_gene_count_residual	ridge	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									969	100.0	3.0	significant	distal_gene_count_residual	ridge	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									973	100.0	3.0	significant	distal_gene_count_residual	ridge	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									977	100.0	3.0	significant	distal_gene_count_residual	ridge	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									981	100.0	3.0	significant	distal_gene_count_residual	huber_regression	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									985	100.0	3.0	significant	distal_gene_count_residual	huber_regression	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									989	100.0	3.0	significant	distal_gene_count_residual	huber_regression	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									993	100.0	3.0	significant	distal_gene_count_residual	huber_regression	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									997	100.0	3.0	significant	distal_gene_count_residual	huber_regression	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									1001	100.0	3.0	significant	distal_gene_count_residual	sparse_nonlinear	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									1005	100.0	3.0	significant	distal_gene_count_residual	sparse_nonlinear	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									1009	100.0	3.0	significant	distal_gene_count_residual	sparse_nonlinear	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									1013	100.0	3.0	significant	distal_gene_count_residual	sparse_nonlinear	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									1017	100.0	3.0	significant	distal_gene_count_residual	sparse_nonlinear	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									1021	100.0	3.0	significant	distal_gene_count_residual	graph_readout	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									1025	100.0	3.0	significant	distal_gene_count_residual	graph_readout	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									1029	100.0	3.0	significant	distal_gene_count_residual	graph_readout	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									1033	100.0	3.0	significant	distal_gene_count_residual	graph_readout	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									1037	100.0	3.0	significant	distal_gene_count_residual	graph_readout	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									1041	100.0	3.0	significant	debiased_response_l2_gain	ridge	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									1045	100.0	3.0	significant	debiased_response_l2_gain	ridge	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									1049	100.0	3.0	significant	debiased_response_l2_gain	ridge	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									1053	100.0	3.0	significant	debiased_response_l2_gain	ridge	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									1057	100.0	3.0	significant	debiased_response_l2_gain	ridge	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									1061	100.0	3.0	significant	debiased_response_l2_gain	huber_regression	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									1065	100.0	3.0	significant	debiased_response_l2_gain	huber_regression	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									1069	100.0	3.0	significant	debiased_response_l2_gain	huber_regression	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									1073	100.0	3.0	significant	debiased_response_l2_gain	huber_regression	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									1077	100.0	3.0	significant	debiased_response_l2_gain	huber_regression	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									1081	100.0	3.0	significant	debiased_response_l2_gain	sparse_nonlinear	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									1085	100.0	3.0	significant	debiased_response_l2_gain	sparse_nonlinear	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									1089	100.0	3.0	significant	debiased_response_l2_gain	sparse_nonlinear	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									1093	100.0	3.0	significant	debiased_response_l2_gain	sparse_nonlinear	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									1097	100.0	3.0	significant	debiased_response_l2_gain	sparse_nonlinear	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									1101	100.0	3.0	significant	debiased_response_l2_gain	graph_readout	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									1105	100.0	3.0	significant	debiased_response_l2_gain	graph_readout	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									1109	100.0	3.0	significant	debiased_response_l2_gain	graph_readout	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									1113	100.0	3.0	significant	debiased_response_l2_gain	graph_readout	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									1117	100.0	3.0	significant	debiased_response_l2_gain	graph_readout	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									1121	100.0	3.0	significant	significant_response_l1_gain	ridge	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									1125	100.0	3.0	significant	significant_response_l1_gain	ridge	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									1129	100.0	3.0	significant	significant_response_l1_gain	ridge	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									1133	100.0	3.0	significant	significant_response_l1_gain	ridge	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									1137	100.0	3.0	significant	significant_response_l1_gain	ridge	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									1141	100.0	3.0	significant	significant_response_l1_gain	huber_regression	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									1145	100.0	3.0	significant	significant_response_l1_gain	huber_regression	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									1149	100.0	3.0	significant	significant_response_l1_gain	huber_regression	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									1153	100.0	3.0	significant	significant_response_l1_gain	huber_regression	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									1157	100.0	3.0	significant	significant_response_l1_gain	huber_regression	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									1161	100.0	3.0	significant	significant_response_l1_gain	sparse_nonlinear	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									1165	100.0	3.0	significant	significant_response_l1_gain	sparse_nonlinear	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									1169	100.0	3.0	significant	significant_response_l1_gain	sparse_nonlinear	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									1173	100.0	3.0	significant	significant_response_l1_gain	sparse_nonlinear	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									1177	100.0	3.0	significant	significant_response_l1_gain	sparse_nonlinear	no_state	20260929.0		insufficient_rows_or_targets	
