source_table	record_type	target_gene	n_cells	reason	status	estimand	dataset	specification_id	minimum_cells	minimum_guides	on_target_rule	transfer_definition	model_family	covariate_set	cross_validation_seed	module_resolution	tail_cutoff	result_family	analysis	locus	eligible_strata	branch	denominator	subset	scope	metric	estimate	pairs	snps	mediators	trans_genes	source_chromosomes	bootstrap_ci_low	bootstrap_ci_high	bootstrap_finite_replicates	null_median	null_denominator_min	null_denominator_median	null_denominator_max	null_finite_replicates	permutation_p_upper	bh_family_slots	bh_available_slots	permutation_q_fixed_16	available	unavailable_reason	hypothesis	question	eligible_datasets	outcome_pairs_analyzed	effect_size	ci_low	ci_high	p_value	q_value	decision	hypothesis_id	complete_denominator	test_status	screened_candidates	metadata_advances	outcome_opened_confirmations	eligible_branch_datasets	required_branch_datasets	blocked_object_bytes	source_paths	rows	expected_direction	negative_control	standard_error	clusters	bootstrap_method	bootstrap_replicates	effect_measure	secondary_delta_auroc	direction_expected	supported
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	AARS	59.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	AARS2	95.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	AASDHPPT	62.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ABCB7	45.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ABCE1	54.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ABCF1	157.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ABCG1	134.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ABHD11	56.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ABHD17A	187.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	AC118549.1	62.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ACD	45.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ACIN1	162.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ACOT12	203.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ACTB	235.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ACTR6	104.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ACTR8	88.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ADAM10	384.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ADAT2	72.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ADAT3	286.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ADSL	127.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	AFG3L2	85.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	AGBL5	41.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	AHCTF1	79.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	AHCY	89.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ALDOA	73.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ALG1	82.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ALG14	115.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ALG1L	212.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ALG2	78.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ALYREF	54.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ANAPC1	76.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ANAPC11	84.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ANAPC13	116.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ANAPC2	30.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ANAPC5	40.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ANKLE2	49.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ANKRD39	41.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ANKRD49	92.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ANKS6	264.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	AP2M1	224.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	AP2S1	67.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	AQP7	192.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ARCN1	77.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ARFRP1	116.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ARGFX	108.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ARHGAP6	50.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ARID5B	118.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ARL2	215.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ARL4D	145.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ARMC6	91.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ARMC7	74.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ARPC4	84.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ASCC3	127.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ASF1B	162.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATF5	69.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATIC	86.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP11B	128.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP1A1	102.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP5F1B	108.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP5F1C	44.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP5PD	207.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP6AP1	178.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP6AP2	283.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP6V0B	115.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP6V0C	251.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP6V0D1	99.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP6V1A	79.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP6V1B2	163.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP6V1C1	46.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP6V1D	65.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP6V1E1	58.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP6V1F	41.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP6V1G1	135.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP6V1H	79.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATR	161.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATRIP	74.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATXN10	59.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	AURKA	35.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BAG6	71.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BANF1	33.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BANP	32.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BAP1	114.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BCAR1	922.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BCAS2	38.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BCS1L	106.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BDP1	47.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BET1	68.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BGLAP	59.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BMS1	53.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BNIP1	59.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BOD1L1	97.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BOP1	166.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BORA	73.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BPTF	101.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BRCA2	83.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BRF1	61.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BRF2	94.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BRIP1	110.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BRIX1	42.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BTF3	110.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BTF3L4	277.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BUB1	75.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BUB1B	106.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BUD13	36.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BUD31	45.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
