source_row,gene,bait_chr_grch37,bait_start_grch37,bait_end_grch37,prey_chr_grch37,prey_start_grch37,prey_end_grch37,bait_liftover_status,prey_liftover_status,bait_first_candidates,bait_last_candidates,prey_first_candidates,prey_last_candidates,chicago_activated,chicago_nonactivated,called_activated,called_nonactivated,differential_logfc,differential_fdr,bait_chr_grch38,bait_start_grch38,bait_end_grch38,bait_strand,prey_chr_grch38,prey_start_grch38,prey_end_grch38,prey_strand,liftover_status
12778,PTPN22,1,114407053,114415028,1,113162087,113162603,mapped,mapped,1,1,1,1,5.33267147229464,1.65045404009139,True,False,0.588278567397204,0.866357398071007,1,113864431,113872406,+,1,112619465,112619981,+,mapped
12779,PTPN22,1,114407053,114415028,1,113162604,113168347,mapped,mapped,1,1,1,1,6.46644003506102,1.93963787328943,True,False,0.584467638338087,0.816726769992538,1,113864431,113872406,+,1,112619982,112625725,+,mapped
12780,PTPN22,1,114407053,114415028,1,113246774,113258924,mapped,mapped,1,1,1,1,5.1602859671605,3.66921436774576,True,False,-0.108726203081357,0.97923516995236,1,113864431,113872406,+,1,112704152,112716302,+,mapped
12781,PTPN22,1,114407053,114415028,1,114444043,114444642,mapped,mapped,1,1,1,1,5.85993256743604,5.50018329881877,True,True,-0.225547161951558,0.763339207291065,1,113864431,113872406,+,1,113901421,113902020,+,mapped
12782,PTPN22,1,114407053,114415028,1,114470859,114473031,mapped,mapped,1,1,1,1,14.3957249845504,8.88784647020624,True,True,0.19465883671923,0.673191783448744,1,113864431,113872406,+,1,113928237,113930409,+,mapped
12783,PTPN22,1,114407053,114415028,1,114473032,114473189,mapped,mapped,1,1,1,1,9.37446953254483,6.19775949414542,True,True,0.124480566223858,0.925162305502058,1,113864431,113872406,+,1,113930410,113930567,+,mapped
12784,PTPN22,1,114407053,114415028,1,114473190,114473860,mapped,mapped,1,1,1,1,7.9175177367346,5.00405119220601,True,True,0.193490113102174,0.872234304369581,1,113864431,113872406,+,1,113930568,113931238,+,mapped
12785,PTPN22,1,114407053,114415028,1,114473861,114475662,mapped,mapped,1,1,1,1,8.40603212271552,5.36792040113676,True,True,0.211104983253935,0.84770359112544,1,113864431,113872406,+,1,113931239,113933040,+,mapped
12786,PTPN22,1,114407053,114415028,1,114489297,114489565,mapped,mapped,1,1,1,1,5.15941809793605,5.36781872968998,True,True,-0.386464697135385,0.686020802066558,1,113864431,113872406,+,1,113946675,113946943,+,mapped
12787,PTPN22,1,114407053,114415028,1,114489566,114492040,mapped,mapped,1,1,1,1,5.56157736048729,4.68124544988274,True,False,-0.10661518219103,0.954522637091631,1,113864431,113872406,+,1,113946944,113949418,+,mapped
